RBD,years_observed,n_years,n_dependency_values,n_region_values,n_comuna_values,dependency_values,region_values,comuna_values
1327,"2016,2017,2018",3,1,1,2,2,5,"5701,5706"
4662,"2016,2017,2018",3,1,1,2,2,8,"8101,8108"
4687,"2016,2017,2018",3,1,1,2,1,8,"8101,8108"
4694,"2016,2017,2018",3,1,1,2,1,8,"8101,8108"
4700,"2016,2017,2018",3,1,1,2,3,8,"8110,8112"
4740,"2016,2017,2018",3,1,1,2,3,8,"8110,8112"
4798,"2016,2017,2018",3,1,1,2,1,8,"8110,8112"
6586,"2016,2017,2018",3,1,1,2,3,9,"9111,9121"
6649,"2016,2017,2018",3,1,1,2,2,9,"9111,9121"
8511,"2016,2017,2018",3,1,1,2,3,13,"13119,13126"
8715,"2016,2017,2018",3,1,1,2,2,13,"13102,13106"
9259,"2016,2017,2018",3,2,1,1,"1,2",13,13120
9377,"2016,2017,2018",3,1,1,2,2,13,"13101,13110"
10512,"2016,2017,2018",3,2,1,1,"1,2",13,13201
10615,"2016,2017,2018",3,2,1,1,"1,2",13,13401
11715,"2016,2017",2,1,1,2,2,8,"8101,8108"
11776,"2016,2017,2018",3,1,1,2,1,13,"13114,13115"
12730,"2016,2017,2018",3,1,1,2,2,1,"1101,1107"
12759,"2016,2017",2,1,1,2,3,1,"1107,1402"
12781,"2016,2017,2018",3,2,1,1,"1,2",4,4101
13592,"2016,2017,2018",3,1,1,2,2,4,"4101,4102"
14249,"2016,2017,2018",3,1,1,2,1,5,"5103,5109"
14498,"2016,2017,2018",3,1,1,2,1,5,"5103,5109"
14552,"2016,2017,2018",3,1,1,2,2,5,"5109,5801"
14822,"2016,2017,2018",3,1,1,2,2,5,"5103,5109"
14902,"2016,2017,2018",3,2,1,1,"1,2",5,5502
15564,"2016,2017,2018",3,1,1,2,1,6,"6101,6108"
15720,"2016,2017,2018",3,1,1,2,3,6,"6102,6109"
17838,"2016,2017,2018",3,1,1,2,2,8,"8401,8406"
18097,"2016,2017,2018",3,1,1,2,2,8,"8101,8108"
20158,"2016,2017,2018",3,2,1,1,"1,2",9,9120
22196,"2016,2017,2018",3,1,1,2,2,10,"10201,10208"
22231,"2016,2017,2018",3,2,1,1,"1,2",14,14101
24303,"2016,2017,2018",3,2,1,1,"1,2",12,12101
24473,"2016,2017,2018",3,1,1,2,2,13,"13101,13114"
25054,"2016,2017,2018",3,1,1,2,1,13,"13120,13123"
25249,"2016,2017,2018",3,2,1,1,"1,2",13,13105
25270,"2016,2017,2018",3,1,1,2,2,13,"13101,13119"
25602,"2016,2017,2018",3,2,1,1,"1,2",13,13402
25630,"2016,2017",2,2,1,1,"2,3",13,13115
25675,"2016,2017,2018",3,2,1,1,"1,2",13,13130
25767,"2016,2017,2018",3,1,1,2,2,13,"13114,13132"
25842,"2016,2017,2018",3,2,1,1,"1,2",13,13110
25852,"2016,2017,2018",3,2,1,1,"1,2",13,13120
26272,"2016,2017,2018",3,2,1,1,"1,2",13,13125
31040,"2016,2017,2018",3,2,1,1,"1,2",13,13402
31187,"2016,2017,2018",3,1,1,2,2,13,"13303,13402"
31267,"2016,2017,2018",3,2,1,1,"1,2",13,13402
31392,"2016,2017,2018",3,2,1,1,"1,2",13,13401
40407,"2016,2017,2018",3,1,1,2,2,5,"5502,5802"
40455,"2016,2017,2018",3,1,1,2,2,10,"10201,10202"
