year,GRUPO_DEPENDENCIA,CODIGO_REGION,CODIGO_COMUNA,n_rbd,rbd_list
2016,2,13,13201,73,"10479,10482,10484,10487,10489,10492,10493,10496,10500,10501,10503,10505,10506,10507,10512,10513,10515,12077,24410,24438,24648,24713,24767,24814,24878,24892,24894,24935,24978,24995,25050,25059,25061,25070,25071,25084,25094,25136,25166,25171,25218,25223,25282,25330,25389,25439,25450,25475,25523,25540,25556,25558,25571,25580,25613,25615,25676,25735,25736,25737,25753,25781,25876,25936,25999,26054,26115,26381,31080,31327,31388,31395,31421"
2016,2,13,13119,64,"8681,9897,9905,9906,9907,9909,9910,9911,9913,9917,9924,9926,9937,9945,9950,9955,9957,9959,9967,9973,11936,20359,24626,24898,25025,25091,25160,25197,25198,25258,25300,25328,25368,25369,25471,25481,25501,25550,25633,25681,25700,25739,25749,25766,25775,25785,25790,25850,25885,25921,26085,26137,26201,26209,26214,26228,26268,26368,26371,26405,26436,26465,26538,31290"
2016,2,13,13110,61,"8724,9312,9317,9318,9324,9328,9330,9331,9332,9340,9347,9356,9362,9369,9373,9377,9385,9534,11793,11947,11952,12085,12234,13220,24405,24426,24448,24599,24756,24766,24800,24864,25068,25153,25196,25322,25342,25367,25382,25393,25577,25644,25703,25704,25709,25712,25713,25722,25724,25751,25842,25932,25950,26001,26028,26053,26087,26411,26519,31034,31252"
2016,2,9,9101,51,"5652,5653,5654,5655,5656,5658,5659,5661,5662,5666,5670,5684,5703,5713,5729,5813,5814,5816,13208,19959,19974,19981,19983,20012,20016,20037,20044,20047,20048,20063,20066,20078,20085,20114,20129,20131,20137,20159,20173,20176,20181,20212,20214,20226,20230,20232,20244,20258,20261,20270,40112"
2016,2,13,13101,48,"8592,8598,8601,8603,8604,8611,8615,8617,8618,8620,8625,8627,8639,8643,8646,8649,8652,8658,8666,8671,8675,8676,8680,8697,8740,8756,8768,8791,8811,11767,12260,20310,24473,24911,25185,25237,25269,25270,25359,25463,25509,25818,26023,26499,31039,31167,31295,31376"
2016,2,4,4101,47,"565,567,568,570,573,574,575,579,580,581,582,583,589,590,11157,12781,13305,13330,13333,13344,13356,13360,13372,13384,13388,13415,13416,13417,13420,13426,13446,13450,13475,13496,13503,13535,13565,13574,13582,20347,20356,31201,31222,40206,40231,40298,40321"
2016,2,5,5101,46,"1579,1580,1581,1582,1584,1585,1586,1587,1588,1590,1594,1597,1604,1607,1610,1617,1619,1632,1635,1653,1739,11217,14232,14315,14389,14413,14417,14467,14538,14541,14606,14609,14761,14764,14773,14779,14783,14791,14818,14846,14852,14910,14922,16887,16993,40329"
2016,1,13,13114,41,"8863,8867,8868,8870,8872,8873,8878,8883,8885,8888,8892,8893,8895,8900,8902,8911,8914,8921,8978,8979,8991,9038,11776,11968,12086,12265,12266,24409,24494,24666,24761,24795,24826,24832,24884,24908,25055,25142,26080,26134,31047"
2016,2,4,4102,38,"646,647,648,649,11103,11105,11133,11144,11145,13313,13314,13324,13332,13341,13361,13370,13373,13442,13445,13489,13491,13504,13525,13528,13553,13584,13592,13604,13612,13621,13626,13633,20326,40008,40064,40076,40208,40400"
2016,2,5,5109,36,"1734,1735,1738,1741,1742,1747,1749,1750,1755,1756,1761,1795,1801,12151,12301,12312,14225,14265,14284,14316,14387,14421,14490,14494,14552,14556,14592,14608,14629,14654,14703,14716,14822,14923,40155,40252"
2016,2,13,13401,34,"10594,10600,10606,10607,10608,10610,10611,10615,10618,10628,11843,11931,12111,12775,16799,16886,24686,25347,25418,25503,25557,25695,25714,25865,25882,26017,26150,26362,26367,26423,26454,31278,31392,31495"
2016,2,5,5801,31,"1757,1908,1909,1911,1918,1919,1923,1934,1941,14237,14299,14314,14336,14359,14365,14418,14527,14545,14599,14642,14659,14677,14687,14717,14771,14775,14790,14796,31445,40027,40436"
2016,2,6,6101,31,"2150,2153,2163,2164,2165,2166,2167,2171,2173,2183,11256,11265,15643,15662,15676,15682,15700,15707,15723,15726,15732,15746,15750,15756,15775,15777,15793,15810,15840,15854,40146"
2016,2,10,10101,30,"7699,7701,7705,7706,7707,16871,16923,22192,22200,22296,22306,22356,22361,22434,22467,22473,22482,22494,22499,22560,22609,22638,22692,22702,40256,40297,40308,40316,40343,40406"
2016,2,1,1101,29,"127,129,130,131,132,133,134,144,10901,12504,12509,12515,12518,12573,12590,12591,12594,12604,12631,12667,12669,12672,12682,12730,12735,12741,12762,40295,40320"
2016,2,8,8101,29,"4630,4632,4636,4646,4655,4659,4662,4663,4664,4666,4669,4670,4672,4868,11709,11715,17607,17635,17701,17750,17796,17841,17855,17879,17900,17912,18007,20406,31104"
2016,2,8,8401,29,"3711,3713,3718,3719,3724,3728,3730,3733,3734,3735,3865,12001,12050,16927,17734,17737,17754,17794,17800,17829,17838,17895,17907,17908,17920,18028,20316,20395,31116"
2016,1,5,5109,28,"1631,1774,1775,1776,1777,1780,1781,1787,1788,1789,1791,1792,1796,1839,1844,12294,14249,14250,14260,14280,14292,14324,14334,14428,14439,14498,14657,16896"
2016,2,7,7101,27,"2991,2992,2995,3003,3005,3006,3010,3013,16414,16427,16434,16441,16443,16446,16461,16462,16467,16488,16489,16497,16550,16604,16627,16656,16678,16749,16752"
2016,2,5,5601,26,"2040,2041,2042,2043,2044,2045,2047,2048,2049,2050,2052,2055,2057,14288,14348,14373,14492,14525,14547,14568,14625,14626,14699,14711,14749,14788"
2016,2,10,10301,26,"7388,7401,12183,22004,22007,22029,22114,22187,22191,22224,22230,22236,22270,22271,22276,22355,22397,22405,22410,22436,22466,22523,22542,22564,40284,40288"
2016,1,13,13123,24,"8761,8876,8950,8956,8959,8966,8974,8981,8984,8988,8992,8996,8998,9003,9004,9271,11871,24896,24933,24985,25054,25666,26030,26112"
2016,3,13,13101,24,"8485,8487,8488,8489,8490,8491,8492,8495,8496,8498,8499,8500,8501,8503,8504,8505,8506,8507,8535,8541,8554,8812,8814,24638"
2016,2,2,2101,23,"335,336,337,341,342,344,356,365,12802,12830,12855,12868,12885,12891,12935,12943,12958,12963,12970,12977,16935,31340,31342"
2016,2,7,7301,22,"2782,2785,2787,16415,16417,16448,16457,16494,16508,16509,16512,16535,16541,16549,16564,16582,16583,16588,16600,16652,16697,16730"
2016,2,8,8301,22,"4160,4262,4263,4269,4270,4271,4277,11716,12005,17600,17605,17687,17736,17795,17877,17918,18034,18050,18082,18090,18128,31124"
2016,2,13,13109,22,"9754,9757,9758,9759,9766,9767,9771,9779,9781,9782,9784,9797,9801,9827,9829,11918,25029,25265,25480,25727,25995,26384"
2016,2,13,13112,22,"9634,9656,9665,11805,24664,24689,24714,24885,24946,24956,25027,25082,25114,25250,25287,25365,25462,25562,25671,25779,25824,26063"
2016,2,13,13130,22,"9471,9472,9474,9484,9487,9489,9504,9519,9553,9564,9570,11812,16820,24625,25675,25718,25798,25832,25874,25894,26062,31030"
2016,2,14,14101,22,"6826,6828,6829,6830,6832,6835,6836,12185,22014,22160,22188,22231,22351,22374,22388,22398,22459,22496,22516,22633,22634,31012"
2016,2,15,15101,22,"45,50,52,56,60,67,10892,10906,10915,12505,12547,12587,12630,12658,12696,12712,12713,12716,12720,12750,30003,40230"
2016,1,13,13120,21,"8969,9135,9216,9217,9228,9230,9246,9249,9250,9263,9267,9270,9276,9278,12133,24801,24830,24842,25058,25686,31258"
2016,2,13,13125,21,"8645,10246,24769,25349,25386,25387,25542,25599,25829,25853,25929,25961,25969,25978,25988,26033,26083,26110,26168,26272,31083"
2016,3,8,8101,21,"4531,4533,4534,4535,4536,4553,4554,4555,4557,4558,4559,4561,4563,4564,4565,4572,4574,4577,4585,4588,4589"
2016,2,13,13105,19,"9768,9780,9824,9834,9841,9844,9852,10604,10626,10632,11818,25249,25256,25304,25464,25504,25645,25655,26025"
