year,RBD,GRUPO_DEPENDENCIA,CODIGO_REGION,CODIGO_COMUNA,avg_LENG_ACTUAL,LENG_ACTUAL_p10,LENG_ACTUAL_p25,LENG_ACTUAL_MEDIAN,LENG_ACTUAL_p75,LENG_ACTUAL_p90,n_Students_LENG,avg_MATE_ACTUAL,MATE_ACTUAL_p10,MATE_ACTUAL_p25,MATE_ACTUAL_MEDIAN,MATE_ACTUAL_p75,MATE_ACTUAL_p90,n_Students_MATE,avg_HCSO_ACTUAL,HCSO_ACTUAL_p10,HCSO_ACTUAL_p25,HCSO_ACTUAL_MEDIAN,HCSO_ACTUAL_p75,HCSO_ACTUAL_p90,n_Students_HCSO,avg_CIEN_ACTUAL,CIEN_ACTUAL_p10,CIEN_ACTUAL_p25,CIEN_ACTUAL_MEDIAN,CIEN_ACTUAL_p75,CIEN_ACTUAL_p90,n_Students_CIEN,avg_PTJE_NEM,PTJE_NEM_p10,PTJE_NEM_p25,PTJE_NEM_MEDIAN,PTJE_NEM_p75,PTJE_NEM_p90,n_Students_PTJE_NEM,n_Students_RBD
2016,1,3,15,15101,380.4736842105263,259.2,309.25,385,429.5,509.1,38,397.6756756756757,318,342,406,442,485.99999999999994,37,431.0357142857143,350.3,374,421,477,516.2,28,369,235.3,347.5,383.5,425,456.5,18,543.421052631579,455,500.5,542,579,643.3000000000002,38,38
2017,1,3,15,15101,407.8181818181818,331,368.75,410,443,484.90000000000003,44,411.69767441860466,268.8,371,421,469,504,43,442.5,390.5,420,447,471,518,36,381.26666666666665,288,312,353,456,506.4,15,580.5681818181819,451,498,580.5,672,700,44,45
2018,1,3,15,15101,377.14666666666665,279.8,321,362,442,481,75,417.30555555555554,312,363,429,481,518,72,411.91803278688525,329,382,411,466,483,61,380.92857142857144,283,323.75,371,429.5,474.2,28,535.0263157894736,425,457,537,617,647,76,76
2016,4,3,15,15101,510.0532319391635,394,446,507,567,615,263,504.4942965779468,386,425,516,573,612,263,482.7615894039735,337,421,486,554,592,151,488.990099009901,361,431,488,554,601.1,202,615.1679389312977,492,549.5,610,688,733.5000000000001,262,263
2017,4,3,15,15101,497.50174216027875,393,443,502,549,603,287,499.35540069686414,382,439,514,562,603.6000000000001,287,484.7391304347826,391,420,485,547,600,161,488.16964285714283,373,422,497,546,592.1000000000001,224,620.7979094076655,502,569,626,678,729,287,287
2018,4,3,15,15101,518.4071661237786,405,458,517,580,637,307,530.7947882736156,386,465,544,598.5,640,307,475.72903225806454,348,424,483,530,584,155,520.2775510204082,409,457,523,576,629.8,245,650.2801302931596,523,589,661,719,761.6000000000001,307,307
2016,5,3,15,15101,483.8196721311475,366,418.25,489.5,551,605.1000000000001,122,458.4793388429752,318,406,472,525,563,121,476.5,337,421,486,533.5,588.5,78,444.6375,300,387.25,464,510.5,554,80,528.188524590164,410,460,534,588,641.9,122,122
2017,5,3,15,15101,518.2608695652174,371,443,527,595,650,138,502.3284671532847,360,439,523,568,620,137,493.9886363636364,356,447,512,558,601.5,88,493.5061728395062,333,437,512,561,602,81,559.9782608695652,428.8,487.5,556,622,693.8,138,138
2018,5,3,15,15101,481.1796875,370.40000000000003,424,481,545.75,606.4,128,489.5,363,433.75,495,544,607.5,126,458.67088607594934,308,411,475,533,560,79,478.13253012048193,353.40000000000003,409,484,537,601,83,568.2713178294574,455,482,554,631,711.0000000000001,129,129
2016,7,3,15,15101,385.3953488372093,277.6,332,375,439,501,129,421.8125,310.8,386,425,485,516,128,401.53846153846155,293,356,392,469,495,91,398.811320754717,304.4,361,407,443,479.40000000000003,53,557.5153846153846,463.4,495,547.5,621,672,130,130
