"","student_id","school_id","student_pref","priority_level","is_pie","orden_pie","academic_order_transition","loteria_original","is_prioritario","is_high_achv","school_id_actual","my_da_school_id","same_assignment"
"1",3400,"40194_131000000133_2018",6,4,0,NA,NA,69,0,1,"40194_131000000133_2018","unmatched",0
"2",26775,"17912_131000000133_2018",2,4,0,NA,NA,29,1,1,"17912_131000000133_2018","unmatched",0
"3",558926,"14381_131000000133_2018",2,4,0,NA,NA,19,0,0,"14381_131000000133_2018","unmatched",0
"4",606200,"40194_131000000133_2018",6,4,0,NA,NA,63,0,0,"40194_131000000133_2018","unmatched",0
"5",941448,"22211_131000000133_2018",2,4,0,NA,NA,12,0,0,"22211_131000000133_2018","unmatched",0
"6",996305,"31110_131000000133_2018",5,4,0,NA,NA,58,0,0,"31110_131000000133_2018","unmatched",0
"7",1283563,"704_131000000133_2018",2,4,0,NA,NA,757,1,0,"704_131000000133_2018","unmatched",0
"8",1552176,"12963_131000000133_2018",3,4,0,NA,NA,91,0,0,"12963_131000000133_2018","unmatched",0
"9",1575805,"22065_131000000133_2018",2,4,1,NA,NA,106,0,0,"22065_131000000133_2018","unmatched",0
"10",2005982,"18128_131000000133_2018",2,4,0,NA,NA,65,0,0,"18128_131000000133_2018","unmatched",0
"11",2044254,"132_131000000133_2018",5,4,0,NA,NA,47,0,1,"132_131000000133_2018","unmatched",0
"12",2238499,"3795_131000000133_2018",3,4,0,NA,NA,93,0,1,"3795_131000000133_2018","unmatched",0
"13",2523651,"17800_131000000133_2018",3,4,0,NA,NA,126,0,1,"17800_131000000133_2018","unmatched",0
"14",2714621,"20137_131000000133_2018",5,4,0,NA,NA,80,0,0,"20137_131000000133_2018","unmatched",0
"15",2836246,"22065_131000000133_2018",3,4,0,NA,NA,124,0,0,"22065_131000000133_2018","unmatched",0
"16",2949642,"31110_131000000133_2018",3,4,0,NA,NA,38,0,0,"31110_131000000133_2018","unmatched",0
"17",3139774,"31110_131000000133_2018",2,4,0,NA,NA,17,0,0,"31110_131000000133_2018","unmatched",0
"18",3396067,"67_131000000131_2018",2,4,0,NA,NA,21,0,1,"67_131000000131_2018","unmatched",0
"19",3435178,"704_131000000133_2018",2,4,0,NA,NA,322,1,0,"704_131000000133_2018","unmatched",0
"20",3513597,"22759_131000000133_2018",2,4,0,NA,NA,8,1,0,"22759_131000000133_2018","unmatched",0
"21",3555334,"20137_131000000133_2018",6,4,0,NA,NA,114,0,1,"20137_131000000133_2018","unmatched",0
"22",3563949,"15627_131000000133_2018",4,4,0,NA,NA,24,1,0,"15627_131000000133_2018","unmatched",0
"23",3638753,"7707_131000000131_2018",2,4,0,NA,NA,54,0,0,"7707_131000000131_2018","unmatched",0
"24",3875578,"8455_131000000113_2018",2,4,0,NA,NA,20,0,0,"8455_131000000113_2018","unmatched",0
"25",3964634,"17876_131000000133_2018",2,4,0,NA,NA,45,0,0,"17876_131000000133_2018","unmatched",0
