RBD,Administration,HS_ENROLLED_EST
1,SLEP,482
4,SLEP,974
5,SLEP,518
7,SLEP,1084
8,SLEP,248
25,SLEP,173
45,Private subsidized,275
50,Private subsidized,218
52,Private subsidized,1630
56,Private subsidized,320
59,Fully private,154
60,Private subsidized,283
67,Private subsidized,173
69,Fully private,180
97,SLEP,338
103,SLEP,169
106,Delegated,446
107,SLEP,277
108,SLEP,468
109,SLEP,339
110,SLEP,224
124,SLEP,1115
125,SLEP,217
127,Private subsidized,300
132,Private subsidized,732
133,Private subsidized,188
191,Corp. municipal,716
199,Municipal,453
200,Municipal,559
208,Private subsidized,427
211,Municipal,230
217,Corp. municipal,1032
218,Corp. municipal,333
219,Corp. municipal,760
220,Corp. municipal,1048
253,Private subsidized,275
254,Private subsidized,183
255,Private subsidized,252
256,Private subsidized,521
257,Fully private,257
279,Corp. municipal,1850
280,Corp. municipal,1242
283,Corp. municipal,1054
284,Corp. municipal,281
285,Corp. municipal,400
286,Corp. municipal,599
287,Corp. municipal,984
304,Corp. municipal,492
320,Corp. municipal,221
329,Corp. municipal,149
336,Private subsidized,471
337,Private subsidized,271
341,Private subsidized,320
342,Private subsidized,503
344,Private subsidized,292
350,Private subsidized,257
356,Private subsidized,317
357,Fully private,262
358,Fully private,116
361,Fully private,224
364,Fully private,140
365,Private subsidized,280
366,Fully private,252
367,Municipal,647
372,Municipal,361
373,Municipal,392
379,SLEP,678
384,SLEP,501
392,Private subsidized,357
396,SLEP,638
399,SLEP,780
400,SLEP,661
415,SLEP,318
420,SLEP,400
429,Private subsidized,591
430,Private subsidized,273
431,Private subsidized,228
433,Private subsidized,336
437,Private subsidized,1230
438,SLEP,426
440,Private subsidized,378
448,SLEP,806
449,SLEP,626
478,Private subsidized,340
479,Private subsidized,533
486,SLEP,425
516,Corp. municipal,397
517,Corp. municipal,696
518,Corp. municipal,366
526,Corp. municipal,157
530,Corp. municipal,318
535,Corp. municipal,151
565,Private subsidized,292
567,Private subsidized,335
568,Private subsidized,180
570,Private subsidized,176
573,Private subsidized,301
574,Private subsidized,737
575,Private subsidized,695
578,Corp. municipal,206
579,Private subsidized,512
580,Fully private,457
581,Private subsidized,191
582,Fully private,227
583,Private subsidized,290
585,Fully private,206
589,Private subsidized,113
590,Fully private,302
591,Fully private,222
609,SLEP,748
610,SLEP,403
611,SLEP,190
613,SLEP,254
629,SLEP,205
646,Private subsidized,511
647,Private subsidized,153
648,Private subsidized,312
649,Private subsidized,438
656,SLEP,277
664,Private subsidized,228
665,Municipal,475
690,Private subsidized,301
701,Municipal,371
704,Municipal,656
705,Municipal,1078
763,Private subsidized,350
766,Private subsidized,535
767,Private subsidized,142
768,Private subsidized,932
769,Private subsidized,360
770,Fully private,153
772,Delegated,518
799,Municipal,264
802,Municipal,482
845,Municipal,489
967,Municipal,483
968,Municipal,586
987,Private subsidized,334
988,Private subsidized,204
1013,Municipal,378
1036,Private subsidized,358
1048,Municipal,595
1119,Private subsidized,144
1121,Municipal,485
1123,Municipal,189
1148,Municipal,203
1164,Private subsidized,146
1167,Municipal,423
1183,Municipal,340
1190,Private subsidized,124
1194,Municipal,960
1195,Delegated,803
1196,Municipal,351
1199,Municipal,173
1213,Private subsidized,1093
1214,Private subsidized,346
1225,Fully private,430
1255,Private subsidized,356
1260,Private subsidized,131
1261,Municipal,164
1262,Delegated,1164
1263,Municipal,279
1288,Fully private,243
1289,Private subsidized,219
1290,Private subsidized,194
1291,Private subsidized,143
1292,Private subsidized,390
1294,Private subsidized,268
1300,Delegated,494
1327,Private subsidized,237
1335,Municipal,583
1347,Private subsidized,507
1354,Municipal,361
1362,Private subsidized,231
1363,Municipal,228
1364,Municipal,204
1366,Municipal,419
1371,Municipal,246
1392,Private subsidized,448
1393,Private subsidized,296
1395,Private subsidized,290
1397,Private subsidized,597
1403,Fully private,184
1404,Fully private,545
1405,Private subsidized,257
1421,Private subsidized,115
1422,Municipal,186
1425,Municipal,153
1436,Private subsidized,418
1437,Private subsidized,210
1443,Delegated,753
1444,Municipal,146
1445,Municipal,180
1449,Private subsidized,358
1450,Private subsidized,203
1453,Municipal,259
1464,Municipal,752
1467,Municipal,155
1478,Private subsidized,167
1482,Private subsidized,307
1489,Municipal,232
1500,Private subsidized,293
1502,SLEP,785
1503,Delegated,1079
1504,SLEP,1033
1515,SLEP,1118
1516,SLEP,163
1520,SLEP,454
1521,SLEP,171
1525,SLEP,850
1549,SLEP,150
1579,Private subsidized,138
1581,Private subsidized,347
1582,Private subsidized,187
1585,Private subsidized,282
1586,Private subsidized,281
1587,Private subsidized,241
1588,Private subsidized,148
1590,Private subsidized,906
1594,Private subsidized,149
1604,Private subsidized,321
1610,Private subsidized,184
1631,Fully private,347
1632,Private subsidized,166
1634,Fully private,262
1635,Private subsidized,125
1641,Fully private,115
1653,Private subsidized,148
1657,Private subsidized,125
1663,Delegated,519
1664,Corp. municipal,320
1672,Corp. municipal,235
1674,Corp. municipal,267
1675,Corp. municipal,281
1676,Corp. municipal,664
1681,Corp. municipal,213
1734,Private subsidized,296
1735,Private subsidized,489
1738,Private subsidized,299
1739,Private subsidized,536
1741,Private subsidized,150
1742,Private subsidized,130
1743,Private subsidized,209
1747,Private subsidized,451
1749,Private subsidized,280
1750,Private subsidized,171
1755,Private subsidized,383
1756,Private subsidized,272
1757,Private subsidized,849
