outcome,feature,label,block,estimate,se,p,stars,schools,student_share,sample_schools
z_year_math_max,intercept,"Intercept (omitted: Municipal, no tracks, 100--249 students)",base,-0.17957671829576186,0.03349246005771812,8.2439715757975e-08,***,84,0.012502133978092486,3274
z_year_math_max,admin_1,Corporaci\'on Municipal,admin,0.09818098703060148,0.05338285623690706,0.06588787390147012,*,222,0.08838308645357322,3274
z_year_math_max,admin_3,Private subsidized,admin,0.11941391545165989,0.02903106793140493,3.900182993376792e-05,***,1795,0.5284007670410558,3274
z_year_math_max,admin_4,Fully private,admin,1.6148840242369304,0.07074606287288718,2.502844225630107e-115,***,476,0.10174542865499163,3274
z_year_math_max,admin_5,Delegated administration,admin,-0.10259936910475302,0.04787923790377702,0.032122890009193404,**,70,0.04446217796781764,3274
z_year_math_max,admin_6,SLEP,admin,0.05784797120536912,0.044249586163743714,0.1911071062628933,,176,0.053250859215675364,3274
z_year_math_max,tp,Technical-professional,track,-0.4947570353140076,0.026356205665199004,1.28127208512496e-78,***,931,0.4081648317763565,3274
z_year_math_max,artistic,Artistic,track,-0.7744177584960106,0.12716294333289258,1.1293601697713483e-09,***,2,0.00045789545426272926,3274
z_year_math_max,size_under100,Fewer than 100 students,size,-0.20799485301817955,0.04334243884228614,1.5956104582334508e-06,***,626,0.036290199846221234,3274
z_year_math_max,size_250_499,250--499 students,size,0.12588469494047333,0.03382497309465522,0.0001979256113857298,***,977,0.3677403388691041,3274
z_year_math_max,size_500_plus,500+ students,size,0.10619957540575514,0.04036203982181464,0.008509029949485426,***,466,0.3880055212133965,3274
z_year_leng_max,intercept,"Intercept (omitted: Municipal, no tracks, 100--249 students)",base,-0.08403861111732552,0.03711893444107278,0.023571888663359932,**,84,0.012501703815355383,3275
z_year_leng_max,admin_1,Corporaci\'on Municipal,admin,0.05010546251659448,0.06102846678114264,0.4116360828139204,,222,0.08838004544389848,3275
z_year_leng_max,admin_3,Private subsidized,admin,0.15257071363479122,0.03366930459293566,5.8580669939281904e-06,***,1795,0.5283825862792246,3275
z_year_leng_max,admin_4,Fully private,admin,1.399354115430522,0.05820616841312003,1.0284712856676338e-127,***,476,0.10174192788527067,3275
z_year_leng_max,admin_5,Delegated administration,admin,-0.1934800407556508,0.06701689794250652,0.0038889261281779197,***,70,0.04446064815121147,3275
z_year_leng_max,admin_6,SLEP,admin,0.08941007870645373,0.05468247822200824,0.10203284467295749,,177,0.05328343415067946,3275
