outcome,psu_score_bin,students,outcome_count,share,sample,se,lower,upper
Applied for any benefit,300,122,112,0.918032786885246,Lottery sample,0.0248352917003986,0.869355615152465,0.966709958618027
Applied for any benefit,325,287,263,0.916376306620209,Lottery sample,0.0163403234890204,0.884349272581729,0.948403340658689
Applied for any benefit,350,647,592,0.914992272024729,Lottery sample,0.0109644228770097,0.893502003185791,0.936482540863669
Applied for any benefit,375,1537,1373,0.893298633702017,Lottery sample,0.00787492436696242,0.877863781942771,0.908733485461263
Applied for any benefit,400,3299,2977,0.902394665050015,Lottery sample,0.00516706446448477,0.892267218699625,0.912522111400405
Applied for any benefit,425,5398,4854,0.899221934049648,Lottery sample,0.00409732124452288,0.891191184410383,0.907252683688913
Applied for any benefit,450,8346,7580,0.908219506350347,Lottery sample,0.00316032260141477,0.902025274051575,0.91441373864912
Applied for any benefit,475,9961,9102,0.913763678345548,Lottery sample,0.00281261693497097,0.908250949153005,0.919276407538091
Applied for any benefit,500,11483,10583,0.921623269180528,Lottery sample,0.00250808704856316,0.916707418565344,0.926539119795711
Applied for any benefit,525,10366,9671,0.932953887709821,Lottery sample,0.00245646899639465,0.928139208476887,0.937768566942754
Applied for any benefit,550,10695,9965,0.931743805516597,Lottery sample,0.00243853446584181,0.926964277963547,0.936523333069646
Applied for any benefit,575,8666,8196,0.945765058850681,Lottery sample,0.00243288665832406,0.940996601000366,0.950533516700996
Applied for any benefit,600,7595,7207,0.948913759052008,Lottery sample,0.00252639618309741,0.943962022533137,0.953865495570879
Applied for any benefit,625,5901,5616,0.951703101169293,Lottery sample,0.00279092109069622,0.946232895831529,0.957173306507058
Applied for any benefit,650,4938,4705,0.952814904819765,Lottery sample,0.00301738791079061,0.946900824514615,0.958728985124915
Applied for any benefit,675,3380,3232,0.956213017751479,Lottery sample,0.0035195852042656,0.949314630751119,0.96311140475184
Applied for any benefit,700,2690,2558,0.95092936802974,Lottery sample,0.00416494063597869,0.942766084383222,0.959092651676258
Applied for any benefit,725,1844,1780,0.96529284164859,Lottery sample,0.0042624432815089,0.956938452816832,0.973647230480347
Applied for any benefit,750,1403,1350,0.962223806129722,Lottery sample,0.0050900062136636,0.952247393950941,0.972200218308503
Applied for any benefit,775,921,891,0.96742671009772,Lottery sample,0.00584938266991772,0.955961920064681,0.978891500130759
Applied for any benefit,800,675,657,0.973333333333333,Lottery sample,0.00620102208487595,0.961179330046977,0.98548733661969
Applied for any benefit,825,413,395,0.956416464891041,Lottery sample,0.0100463828162656,0.936725554571161,0.976107375210922
