outcome,income_decile,students,outcome_count,share,sample,se,lower,upper
Applied for any benefit,1,16031,10959,0.683612999812863,Lottery sample,0.00367311194703384,0.676413700396676,0.690812299229049
Applied for any benefit,2,22652,17033,0.75194243333922,Lottery sample,0.00286955966915174,0.746318096387682,0.757566770290757
Applied for any benefit,3,14187,10295,0.725664340593501,Lottery sample,0.00374596519748475,0.718322248806431,0.733006432380571
Applied for any benefit,4,22704,17979,0.79188689217759,Lottery sample,0.00269420169768907,0.786606256850119,0.797167527505061
Applied for any benefit,5,14652,11350,0.774638274638275,Lottery sample,0.00345176404179853,0.767872817116349,0.7814037321602
Applied for any benefit,6,15430,12078,0.782760855476345,Lottery sample,0.00331971368310613,0.776254216657457,0.789267494295233
Applied for any benefit,7,13133,10645,0.810553567349425,Lottery sample,0.0034194172991674,0.803851509443057,0.817255625255793
Applied for any benefit,8,10615,8595,0.809703250117758,Lottery sample,0.00380994430866012,0.802235759272784,0.817170740962732
Applied for any benefit,9,6009,4781,0.795639873523049,Lottery sample,0.00520181915104313,0.785444307987004,0.805835439059093
Applied for any benefit,10,1368,1035,0.756578947368421,Lottery sample,0.0116028090647257,0.733837441601559,0.779320453135283
Applied for any benefit,1,67562,48629,0.719768508925136,Whole grade-8 universe,0.00172784046613914,0.716381941611503,0.723155076238768
Applied for any benefit,2,69211,53650,0.775165797344353,Whole grade-8 universe,0.00158686845935684,0.772055535164013,0.778276059524692
Applied for any benefit,3,71141,55685,0.782741316540392,Whole grade-8 universe,0.0015461004912051,0.77971095957763,0.785771673503154
Applied for any benefit,4,71241,57987,0.813955447003832,Whole grade-8 universe,0.0014579539037446,0.811097857352493,0.816813036655172
Applied for any benefit,5,72043,57871,0.803284149743903,Whole grade-8 universe,0.0014810113312076,0.800381367534736,0.80618693195307
Applied for any benefit,6,72467,58548,0.807926366484055,Whole grade-8 universe,0.00146335476293712,0.805058191148698,0.810794541819412
Applied for any benefit,7,73142,61476,0.840502037133248,Whole grade-8 universe,0.00135382814875764,0.837848533961683,0.843155540304813
Applied for any benefit,8,73605,62048,0.842986210175939,Whole grade-8 universe,0.00134098980093366,0.840357870166109,0.845614550185769
Applied for any benefit,9,74178,60878,0.820701555717329,Whole grade-8 universe,0.00140845614582769,0.817940981671506,0.823462129763151
Applied for any benefit,10,74028,44907,0.606621818771276,Whole grade-8 universe,0.00179542033324828,0.603102794918109,0.610140842624442
Assigned any benefit,1,16031,8180,0.510261368598341,Lottery sample,0.00394819159230016,0.502522913077432,0.517999824119249
Assigned any benefit,2,22652,13143,0.580213667667314,Lottery sample,0.00327910141211869,0.573786628899562,0.586640706435067
Assigned any benefit,3,14187,7656,0.539648974413195,Lottery sample,0.00418460963969278,0.531447139519397,0.547850809306993
Assigned any benefit,4,22704,14008,0.616983791402396,Lottery sample,0.0032262221227881,0.610660396041731,0.623307186763061
Assigned any benefit,5,14652,8239,0.562312312312312,Lottery sample,0.00409847703926465,0.554279297315354,0.570345327309271
Assigned any benefit,6,15430,8737,0.566234607906675,Lottery sample,0.00398972251210777,0.558414751782944,0.574054464030407
Assigned any benefit,7,13133,7885,0.600395949135765,Lottery sample,0.00427417053052257,0.592018574895941,0.608773323375589
Assigned any benefit,8,10615,6056,0.570513424399435,Lottery sample,0.00480449484336309,0.561096614506443,0.579930234292426
Assigned any benefit,9,6009,2990,0.497586952903977,Lottery sample,0.00645006133798146,0.484944832681534,0.510229073126421
Assigned any benefit,10,1368,570,0.416666666666667,Lottery sample,0.0133293731935749,0.39054109520726,0.442792238126073
Assigned any benefit,1,67562,37360,0.552973565021758,Whole grade-8 universe,0.00191279108725401,0.54922449449074,0.556722635552776
Assigned any benefit,2,69211,41956,0.606204216092818,Whole grade-8 universe,0.00185719474105321,0.602564114400353,0.609844317785282
Assigned any benefit,3,71141,43257,0.608045993168496,Whole grade-8 universe,0.00183031478090222,0.604458576197928,0.611633410139065
Assigned any benefit,4,71241,45776,0.642551339818363,Whole grade-8 universe,0.00179554275146821,0.639032076025485,0.646070603611241
Assigned any benefit,5,72043,43424,0.602751134738975,Whole grade-8 universe,0.0018230746672724,0.599177908391121,0.606324361086829
Assigned any benefit,6,72467,42765,0.590130680171664,Whole grade-8 universe,0.00182694999693537,0.586549858177671,0.593711502165658
Assigned any benefit,7,73142,45404,0.620765087090864,Whole grade-8 universe,0.00179404933688,0.61724875039058,0.624281423791149
Assigned any benefit,8,73605,42930,0.583248420623599,Whole grade-8 universe,0.00181723776851343,0.579686634597313,0.586810206649885
Assigned any benefit,9,74178,34215,0.461255358731699,Whole grade-8 universe,0.00183030992297816,0.457667951282662,0.464842766180737
Assigned any benefit,10,74028,13557,0.183133408980386,Whole grade-8 universe,0.00142154741143285,0.180347176053977,0.185919641906794
Assigned gratuidad,1,16031,7324,0.45686482440272,Lottery sample,0.00393430041679374,0.449153595585804,0.464576053219636
Assigned gratuidad,2,22652,11771,0.51964506445347,Lottery sample,0.00331956560105953,0.513138715875393,0.526151413031547
Assigned gratuidad,3,14187,6781,0.477972791992669,Lottery sample,0.00419375323906505,0.469753035644102,0.486192548341237
Assigned gratuidad,4,22704,12392,0.545806906272023,Lottery sample,0.00330436936681431,0.539330342313067,0.552283470230979
Assigned gratuidad,5,14652,7216,0.492492492492493,Lottery sample,0.00413021431726161,0.48439727243066,0.500587712554325
Assigned gratuidad,6,15430,7648,0.495657809462087,Lottery sample,0.00402504429220372,0.487768722649368,0.503546896274806
Assigned gratuidad,7,13133,6737,0.512982563009213,Lottery sample,0.00436155732431491,0.504433910653556,0.521531215364871
Assigned gratuidad,8,10615,5020,0.472915685350919,Lottery sample,0.00484587164132529,0.463417776933921,0.482413593767916
Assigned gratuidad,9,6009,2406,0.400399400898652,Lottery sample,0.00632086677136373,0.388010502026779,0.412788299770525
Assigned gratuidad,10,1368,453,0.331140350877193,Lottery sample,0.0127242004453055,0.306200918004394,0.356079783749992
Assigned gratuidad,1,67562,33473,0.495441224356887,Whole grade-8 universe,0.00192353770426631,0.491671090456525,0.499211358257249
Assigned gratuidad,2,69211,37428,0.540781089711173,Whole grade-8 universe,0.00189423155937474,0.537068395854799,0.544493783567548
Assigned gratuidad,3,71141,37998,0.534122376688548,Whole grade-8 universe,0.00187023564169461,0.530456714830827,0.53778803854627
Assigned gratuidad,4,71241,40246,0.564927499613986,Whole grade-8 universe,0.00185742878371776,0.5612869391979,0.568568060030073
Assigned gratuidad,5,72043,37517,0.520758435934095,Whole grade-8 universe,0.00186122767166072,0.51711042969764,0.52440644217055
Assigned gratuidad,6,72467,36682,0.506189023969531,Whole grade-8 universe,0.0018572338476865,0.502548845628065,0.509829202310996
Assigned gratuidad,7,73142,37900,0.518170134806267,Whole grade-8 universe,0.00184756459438491,0.514548908201273,0.521791361411262
Assigned gratuidad,8,73605,34554,0.469451803545955,Whole grade-8 universe,0.00183951896086524,0.465846346382659,0.473057260709251
Assigned gratuidad,9,74178,25877,0.348850063361104,Whole grade-8 universe,0.00174993672115735,0.345420187387636,0.352279939334573
Assigned gratuidad,10,74028,9380,0.126708812881612,Whole grade-8 universe,0.0012226015488273,0.124312513845911,0.129105111917314
