outcome,income_decile,students,assignments,share_assigned,sample,se,lower,upper
Any benefit,1,16031,8180,0.510261368598341,Lottery sample,0.00394819159230016,0.502522913077432,0.517999824119249
Any benefit,1,67562,37360,0.552973565021758,Whole grade-8 universe,0.00191279108725401,0.54922449449074,0.556722635552776
Any benefit,2,22652,13143,0.580213667667314,Lottery sample,0.00327910141211869,0.573786628899562,0.586640706435067
Any benefit,2,69211,41956,0.606204216092818,Whole grade-8 universe,0.00185719474105321,0.602564114400353,0.609844317785282
Any benefit,3,14187,7656,0.539648974413195,Lottery sample,0.00418460963969278,0.531447139519397,0.547850809306993
Any benefit,3,71141,43257,0.608045993168496,Whole grade-8 universe,0.00183031478090222,0.604458576197928,0.611633410139065
Any benefit,4,22704,14008,0.616983791402396,Lottery sample,0.0032262221227881,0.610660396041731,0.623307186763061
Any benefit,4,71241,45776,0.642551339818363,Whole grade-8 universe,0.00179554275146821,0.639032076025485,0.646070603611241
Any benefit,5,14652,8239,0.562312312312312,Lottery sample,0.00409847703926465,0.554279297315354,0.570345327309271
Any benefit,5,72043,43424,0.602751134738975,Whole grade-8 universe,0.0018230746672724,0.599177908391121,0.606324361086829
Any benefit,6,15430,8737,0.566234607906675,Lottery sample,0.00398972251210777,0.558414751782944,0.574054464030407
Any benefit,6,72467,42765,0.590130680171664,Whole grade-8 universe,0.00182694999693537,0.586549858177671,0.593711502165658
Any benefit,7,13133,7885,0.600395949135765,Lottery sample,0.00427417053052257,0.592018574895941,0.608773323375589
Any benefit,7,73142,45404,0.620765087090864,Whole grade-8 universe,0.00179404933688,0.61724875039058,0.624281423791149
Any benefit,8,10615,6056,0.570513424399435,Lottery sample,0.00480449484336309,0.561096614506443,0.579930234292426
Any benefit,8,73605,42930,0.583248420623599,Whole grade-8 universe,0.00181723776851343,0.579686634597313,0.586810206649885
Any benefit,9,6009,2990,0.497586952903977,Lottery sample,0.00645006133798146,0.484944832681534,0.510229073126421
Any benefit,9,74178,34215,0.461255358731699,Whole grade-8 universe,0.00183030992297816,0.457667951282662,0.464842766180737
Any benefit,10,1368,570,0.416666666666667,Lottery sample,0.0133293731935749,0.39054109520726,0.442792238126073
Any benefit,10,74028,13557,0.183133408980386,Whole grade-8 universe,0.00142154741143285,0.180347176053977,0.185919641906794
Gratuidad,1,16031,7324,0.45686482440272,Lottery sample,0.00393430041679374,0.449153595585804,0.464576053219636
Gratuidad,1,67562,33473,0.495441224356887,Whole grade-8 universe,0.00192353770426631,0.491671090456525,0.499211358257249
Gratuidad,2,22652,11771,0.51964506445347,Lottery sample,0.00331956560105953,0.513138715875393,0.526151413031547
Gratuidad,2,69211,37428,0.540781089711173,Whole grade-8 universe,0.00189423155937474,0.537068395854799,0.544493783567548
Gratuidad,3,14187,6781,0.477972791992669,Lottery sample,0.00419375323906505,0.469753035644102,0.486192548341237
Gratuidad,3,71141,37998,0.534122376688548,Whole grade-8 universe,0.00187023564169461,0.530456714830827,0.53778803854627
Gratuidad,4,22704,12392,0.545806906272023,Lottery sample,0.00330436936681431,0.539330342313067,0.552283470230979
Gratuidad,4,71241,40246,0.564927499613986,Whole grade-8 universe,0.00185742878371776,0.5612869391979,0.568568060030073
Gratuidad,5,14652,7216,0.492492492492493,Lottery sample,0.00413021431726161,0.48439727243066,0.500587712554325
Gratuidad,5,72043,37517,0.520758435934095,Whole grade-8 universe,0.00186122767166072,0.51711042969764,0.52440644217055
Gratuidad,6,15430,7648,0.495657809462087,Lottery sample,0.00402504429220372,0.487768722649368,0.503546896274806
Gratuidad,6,72467,36682,0.506189023969531,Whole grade-8 universe,0.0018572338476865,0.502548845628065,0.509829202310996
Gratuidad,7,13133,6737,0.512982563009213,Lottery sample,0.00436155732431491,0.504433910653556,0.521531215364871
Gratuidad,7,73142,37900,0.518170134806267,Whole grade-8 universe,0.00184756459438491,0.514548908201273,0.521791361411262
Gratuidad,8,10615,5020,0.472915685350919,Lottery sample,0.00484587164132529,0.463417776933921,0.482413593767916
Gratuidad,8,73605,34554,0.469451803545955,Whole grade-8 universe,0.00183951896086524,0.465846346382659,0.473057260709251
Gratuidad,9,6009,2406,0.400399400898652,Lottery sample,0.00632086677136373,0.388010502026779,0.412788299770525
Gratuidad,9,74178,25877,0.348850063361104,Whole grade-8 universe,0.00174993672115735,0.345420187387636,0.352279939334573
Gratuidad,10,1368,453,0.331140350877193,Lottery sample,0.0127242004453055,0.306200918004394,0.356079783749992
Gratuidad,10,74028,9380,0.126708812881612,Whole grade-8 universe,0.0012226015488273,0.124312513845911,0.129105111917314
BNM,1,16031,324,0.0202108414946042,Lottery sample,0.00111141999526793,0.0180324583038791,0.0223892246853293
BNM,1,67562,1474,0.0218169977206122,Whole grade-8 universe,0.000562025862074682,0.0207154270309458,0.0229185684102786
BNM,2,22652,365,0.0161133674730708,Lottery sample,0.000836589499737695,0.0144736520535849,0.0177530828925567
BNM,2,69211,1150,0.0166158558610625,Whole grade-8 universe,0.000485887131059183,0.0156635170841866,0.0175681946379385
BNM,3,14187,351,0.0247409600338338,Lottery sample,0.00130413629503593,0.0221848528955634,0.0272970671721042
BNM,3,71141,1650,0.0231933765339256,Whole grade-8 universe,0.000564321120185644,0.0220873071383617,0.0242994459294894
BNM,4,22704,330,0.0145348837209302,Lottery sample,0.000794282912534316,0.012978089212363,0.0160916782294975
BNM,4,71241,877,0.0123103269184879,Whole grade-8 universe,0.000413123639110425,0.0115006045858315,0.0131200492511444
BNM,5,14652,246,0.0167895167895168,Lottery sample,0.00106143619691863,0.0147091018435563,0.0188699317354773
BNM,5,72043,1162,0.0161292561386949,Whole grade-8 universe,0.000469332142380308,0.0152093651396295,0.0170491471377604
BNM,6,15430,186,0.0120544394037589,Lottery sample,0.000878530923880241,0.0103325187929536,0.0137763600145642
BNM,6,72467,760,0.0104875322560614,Whole grade-8 universe,0.00037842267275472,0.00974582381746213,0.0112292406946606
BNM,7,13133,174,0.013249067235209,Lottery sample,0.000997733266358901,0.0112935100331456,0.0152046244372725
BNM,7,73142,842,0.011511853654535,Whole grade-8 universe,0.000394434547880225,0.0107387619406898,0.0122849453683803
BNM,8,10615,106,0.00998586905322657,Lottery sample,0.000965058479235659,0.00809435443392468,0.0118773836725285
BNM,8,73605,541,0.00735004415460906,Whole grade-8 universe,0.000314839619834346,0.00673295849973374,0.00796712980948438
BNM,9,6009,47,0.00782160093193543,Lottery sample,0.0011364271710322,0.00559420367671233,0.0100489981871585
BNM,9,74178,375,0.00505540726360916,Whole grade-8 universe,0.00026039938984368,0.00454502445951554,0.00556579006770277
BNM,10,1368,5,0.00365497076023392,Lottery sample,0.00163156275966478,0.000457107751290941,0.0068528337691769
BNM,10,74028,89,0.00120224779813044,Whole grade-8 universe,0.00012736138265285,0.000952619488130852,0.00145187610813002
BBIC,1,16031,231,0.0144095814359678,Lottery sample,0.000941225342946486,0.0125647797637927,0.0162543831081429
BBIC,1,67562,1584,0.0234451318788668,Whole grade-8 universe,0.000582134604096155,0.0223041480548384,0.0245861157028953
BBIC,2,22652,514,0.0226911530990641,Lottery sample,0.00098944332184769,0.0207518441882426,0.0246304620098856
BBIC,2,69211,2131,0.0307899033390646,Whole grade-8 universe,0.000656637324928915,0.0295028941822039,0.0320769124959253
BBIC,3,14187,257,0.0181151758652287,Lottery sample,0.00111971183032527,0.0159205406777912,0.0203098110526663
BBIC,3,71141,2690,0.0378122320462181,Whole grade-8 universe,0.000715131799648745,0.0364105737189065,0.0392138903735296
BBIC,4,22704,685,0.0301708949964764,Lottery sample,0.00113524739575082,0.0279458101008048,0.032395979892148
BBIC,4,71241,3069,0.0430791257843096,Whole grade-8 universe,0.000760687800675153,0.0415881776949863,0.0445700738736329
BBIC,5,14652,462,0.0315315315315315,Lottery sample,0.0014436663060209,0.0287019455717306,0.0343611174913325
BBIC,5,72043,3439,0.047735380259012,Whole grade-8 universe,0.000794333946832525,0.0461784857232202,0.0492922747948037
BBIC,6,15430,506,0.0327932598833441,Lottery sample,0.00143373533754262,0.0299831386217606,0.0356033811449277
BBIC,6,72467,3563,0.0491672071425614,Whole grade-8 universe,0.000803192610477034,0.0475929496260265,0.0507414646590964
BBIC,7,13133,532,0.0405086423513287,Lottery sample,0.00172033254578484,0.0371367905615904,0.043880494141067
BBIC,7,73142,4564,0.0623991687402587,Whole grade-8 universe,0.000894365376763007,0.0606462126018032,0.0641521248787142
BBIC,8,10615,527,0.0496467263306642,Lottery sample,0.00210827785311076,0.0455145017385671,0.0537789509227613
BBIC,8,73605,5054,0.0686638135996196,Whole grade-8 universe,0.000932102216043462,0.0668368932561744,0.0704907339430648
BBIC,9,6009,259,0.0431020136461974,Lottery sample,0.00261987456383152,0.0379670595010876,0.0482369677913072
BBIC,9,74178,4759,0.0641564884467093,Whole grade-8 universe,0.00089967230079569,0.0623931307371497,0.0659198461562688
BBIC,10,1368,53,0.0387426900584795,Lottery sample,0.00521761061645702,0.0285161732502238,0.0489692068667353
BBIC,10,74028,2169,0.0292997244285946,Whole grade-8 universe,0.000619835343143535,0.0280848471560333,0.0305146017011559
