income_decile,students,benefit_applications,share_applied,sample,se,lower,upper
1,16031,10959,0.683612999812863,Lottery sample,0.00367311194703384,0.676413700396676,0.690812299229049
1,67562,48629,0.719768508925136,Whole grade-8 universe,0.00172784046613914,0.716381941611503,0.723155076238768
2,22652,17033,0.75194243333922,Lottery sample,0.00286955966915174,0.746318096387682,0.757566770290757
2,69211,53650,0.775165797344353,Whole grade-8 universe,0.00158686845935684,0.772055535164013,0.778276059524692
3,14187,10295,0.725664340593501,Lottery sample,0.00374596519748475,0.718322248806431,0.733006432380571
3,71141,55685,0.782741316540392,Whole grade-8 universe,0.0015461004912051,0.77971095957763,0.785771673503154
4,22704,17979,0.79188689217759,Lottery sample,0.00269420169768907,0.786606256850119,0.797167527505061
4,71241,57987,0.813955447003832,Whole grade-8 universe,0.0014579539037446,0.811097857352493,0.816813036655172
5,14652,11350,0.774638274638275,Lottery sample,0.00345176404179853,0.767872817116349,0.7814037321602
5,72043,57871,0.803284149743903,Whole grade-8 universe,0.0014810113312076,0.800381367534736,0.80618693195307
6,15430,12078,0.782760855476345,Lottery sample,0.00331971368310613,0.776254216657457,0.789267494295233
6,72467,58548,0.807926366484055,Whole grade-8 universe,0.00146335476293712,0.805058191148698,0.810794541819412
7,13133,10645,0.810553567349425,Lottery sample,0.0034194172991674,0.803851509443057,0.817255625255793
7,73142,61476,0.840502037133248,Whole grade-8 universe,0.00135382814875764,0.837848533961683,0.843155540304813
8,10615,8595,0.809703250117758,Lottery sample,0.00380994430866012,0.802235759272784,0.817170740962732
8,73605,62048,0.842986210175939,Whole grade-8 universe,0.00134098980093366,0.840357870166109,0.845614550185769
9,6009,4781,0.795639873523049,Lottery sample,0.00520181915104313,0.785444307987004,0.805835439059093
9,74178,60878,0.820701555717329,Whole grade-8 universe,0.00140845614582769,0.817940981671506,0.823462129763151
10,1368,1035,0.756578947368421,Lottery sample,0.0116028090647257,0.733837441601559,0.779320453135283
10,74028,44907,0.606621818771276,Whole grade-8 universe,0.00179542033324828,0.603102794918109,0.610140842624442
