outcome,psu_score_bin,students,benefit_assignments,share,sample,se,lower,upper
Beca Nuevo Milenio,340,108,8,0.0740740740740741,Lottery sample,0.0252005117570286,0.0246810710302981,0.12346707711785
Beca Nuevo Milenio,350,169,14,0.0828402366863906,Lottery sample,0.0212031218914012,0.0412821177792442,0.124398355593537
Beca Nuevo Milenio,355,120,7,0.0583333333333333,Lottery sample,0.0213952010887869,0.0163987391993109,0.100267927467356
Beca Nuevo Milenio,360,162,9,0.0555555555555556,Lottery sample,0.0179967651075472,0.020281895944763,0.0908292151663481
Beca Nuevo Milenio,365,197,12,0.0609137055837564,Lottery sample,0.0170402965310779,0.0275147243828437,0.094312686784669
Beca Nuevo Milenio,370,305,16,0.0524590163934426,Lottery sample,0.0127661267978174,0.0274374078697205,0.0774806249171647
Beca Nuevo Milenio,375,261,17,0.0651340996168582,Lottery sample,0.0152742049205144,0.0351966579726499,0.0950715412610665
Beca Nuevo Milenio,380,365,20,0.0547945205479452,Lottery sample,0.0119120154679727,0.0314469702307186,0.0781420708651718
Beca Nuevo Milenio,385,409,28,0.0684596577017115,Lottery sample,0.0124869548525324,0.0439852261907479,0.0929340892126751
Beca Nuevo Milenio,390,516,22,0.0426356589147287,Lottery sample,0.00889406424999363,0.0252032929847412,0.0600680248447162
Beca Nuevo Milenio,395,523,21,0.0401529636711281,Lottery sample,0.00858438076261413,0.0233275773764044,0.0569783499658518
Beca Nuevo Milenio,400,695,40,0.0575539568345324,Lottery sample,0.00883432635461734,0.0402386771794824,0.0748692364895824
Beca Nuevo Milenio,405,659,20,0.0303490136570562,Lottery sample,0.00668247442052956,0.0172513637928182,0.0434466635212941
Beca Nuevo Milenio,410,906,31,0.0342163355408389,Lottery sample,0.00603938306599904,0.0223791447314807,0.046053526350197
Beca Nuevo Milenio,415,805,26,0.0322981366459627,Lottery sample,0.00623105496537842,0.020085268913821,0.0445110043781044
Beca Nuevo Milenio,420,1068,39,0.0365168539325843,Lottery sample,0.005739619624826,0.0252671994679253,0.0477665083972432
Beca Nuevo Milenio,425,1023,45,0.0439882697947214,Lottery sample,0.00641153819367721,0.0314216549351141,0.0565548846543288
Beca Nuevo Milenio,430,1328,48,0.036144578313253,Lottery sample,0.00512186928854038,0.0261057145077139,0.0461834421187922
Beca Nuevo Milenio,435,1174,32,0.0272572402044293,Lottery sample,0.00475232240014781,0.0179426883001396,0.036571792108719
Beca Nuevo Milenio,440,1455,40,0.0274914089347079,Lottery sample,0.00428660756049094,0.0190896581161457,0.0358931597532702
Beca Nuevo Milenio,445,1593,39,0.0244821092278719,Lottery sample,0.00387198928708662,0.0168930102251822,0.0320712082305617
Beca Nuevo Milenio,450,1789,58,0.0324203465623253,Lottery sample,0.00418742479078513,0.0242129939723865,0.0406276991522642
Beca Nuevo Milenio,455,1690,42,0.0248520710059172,Lottery sample,0.00378680718057579,0.0174299289319886,0.0322742130798457
Beca Nuevo Milenio,460,1819,53,0.0291368884002199,Lottery sample,0.00394352170787203,0.0214075858527907,0.0368661909476491
Beca Nuevo Milenio,465,1830,50,0.0273224043715847,Lottery sample,0.00381081941125702,0.0198531983255209,0.0347916104176485
Beca Nuevo Milenio,470,1975,57,0.0288607594936709,Lottery sample,0.00376713409217337,0.0214771766730111,0.0362443423143307
Beca Nuevo Milenio,475,1620,38,0.0234567901234568,Lottery sample,0.0037603001850687,0.0160866017607221,0.0308269784861915
