outcome,outcome_label,treatment_va,treatment_label,outcome_mean,beta,se,p_value,n_obs,treatment_sd,effect_per_treatment_sd,first_stage,first_stage_f
math,Math,math,Math,-0.295303602625178,0.885831075993178,0.0619516960730381,2.22813202517183e-46,78877,0.126165699292114,0.111761497157365,0.531424566666336,3781.34996458701
math,Math,highpay_field,High-premium field,-0.295394902990526,0.189503627491654,0.103806930499782,0.0679196916813442,78904,0.0701313393547845,0.0132901432085798,0.51388777579782,5725.70116594664
math,Math,any_postulacion,Any postulacion,-0.295394902990526,0.800453314635885,0.155057457625039,2.43932248515234e-07,78904,0.0550595957334975,0.0440726359073899,0.457670178655676,2598.88228897391
math,Math,grat_asignacion,Gratuidad assignment,-0.295394902990526,0.21210672777379,0.114163285809432,0.0631797838385633,78904,0.077845412214412,0.0165115356570008,0.525919892498076,5020.68189217757
highpay_field,High-premium field,math,Math,0.301458857730351,-0.167929316799249,0.0402277152714797,2.98682978835364e-05,112828,0.130557402242512,-0.0219244153616699,0.502772382500932,4238.30661668903
highpay_field,High-premium field,highpay_field,High-premium field,0.300931207385987,0.664924881367687,0.066298790824848,1.13413744356454e-23,113079,0.0743921425998642,0.0494651865929028,0.490513813930005,7123.00205418677
highpay_field,High-premium field,any_postulacion,Any postulacion,0.300931207385987,0.20724764432077,0.0946923130678451,0.0286228161887835,113079,0.0652359869666923,0.0135200046237874,0.442830928738298,3040.17447460019
highpay_field,High-premium field,grat_asignacion,Gratuidad assignment,0.300931207385987,0.258806692329543,0.0731913459275087,0.00040619071927141,113079,0.0784448375502019,0.0203020489366961,0.499901348979603,6139.38406531341
any_postulacion,Any postulacion,math,Math,0.77197967506853,-0.0545806648777472,0.0322570353606383,0.0906355647541522,119656,0.12967580765059,-0.00707779180012805,0.501964432576271,4535.81244866595
any_postulacion,Any postulacion,highpay_field,High-premium field,0.770975623994062,0.140595812352897,0.0574356137898967,0.0143697269717304,119913,0.0742189970947376,0.0104348801885519,0.491817648294137,7623.92971188739
any_postulacion,Any postulacion,any_postulacion,Any postulacion,0.770975623994062,0.740338879369702,0.0842667447194943,1.55450576578586e-18,119913,0.0650120917288414,0.0481309791360107,0.445239681974695,3317.71211032883
any_postulacion,Any postulacion,grat_asignacion,Gratuidad assignment,0.770975623994062,0.434788225198503,0.0617707322571852,1.93983668346966e-12,119913,0.0783689394601375,0.0340738920985621,0.50055679167455,6514.55036514976
grat_asignacion,Gratuidad assignment,math,Math,0.485566958614696,-0.102387377650253,0.041591299276649,0.0138261033586756,119656,0.12967580765059,-0.0132771658900225,0.501964432576271,4535.81244866595
grat_asignacion,Gratuidad assignment,highpay_field,High-premium field,0.484893214246996,0.111761842398969,0.0694019466113794,0.107320156406424,119913,0.0742189970947376,0.00829485185631157,0.491817648294137,7623.92971188739
grat_asignacion,Gratuidad assignment,any_postulacion,Any postulacion,0.484893214246996,0.426361728269534,0.10182366971761,2.82347832730252e-05,119913,0.0650120917288414,0.0277186677879263,0.445239681974695,3317.71211032883
grat_asignacion,Gratuidad assignment,grat_asignacion,Gratuidad assignment,0.484893214246996,0.856533192525333,0.0761271231565534,2.28064478620283e-29,119913,0.0783689394601375,0.0671255979106161,0.50055679167455,6514.55036514976
