outcome,outcome_label,treatment_va,treatment_label,outcome_mean,beta,se,p_value,n_obs,treatment_sd,effect_per_treatment_sd,first_stage,first_stage_f
math,Math,math,Math,-0.343757310458041,0.932691530742636,0.0679899384167844,7.91314139117197e-43,56144,0.12715302902136,0.118594553276495,0.529597950393703,2703.47638145596
math,Math,highpay_field,High-premium field,-0.343921106881886,0.163566228244225,0.113460605520914,0.149411717470179,56171,0.0744501604573671,0.0121775319381889,0.511175434198074,3713.77886268862
math,Math,any_postulacion,Any postulacion,-0.343921106881886,0.431625592102289,0.177369400762076,0.014954297901081,56171,0.0563528218900913,0.0243233201149455,0.452889179726745,2118.89564900138
math,Math,grat_asignacion,Gratuidad assignment,-0.343921106881886,-0.0533701668222184,0.132635966565875,0.687403795342555,56171,0.0771422250955289,-0.0041170934223855,0.519012241512165,3107.83121919112
highpay_field,High-premium field,math,Math,0.295043540571068,-0.0941473775520514,0.0458792566244578,0.0401630052538597,82337,0.124763985457128,-0.0117462020437309,0.495971709380664,3071.11932401015
highpay_field,High-premium field,highpay_field,High-premium field,0.293846191016937,0.648542101373877,0.0733429301436568,9.35175961068716e-19,82778,0.0777004812863785,0.0503920334112296,0.487491787893692,4898.1769536969
highpay_field,High-premium field,any_postulacion,Any postulacion,0.293846191016937,0.137161678096719,0.112619884214059,0.223255493120727,82778,0.0665078624264481,0.00912233001703735,0.436639026247307,2499.3030256035
highpay_field,High-premium field,grat_asignacion,Gratuidad assignment,0.293846191016937,0.215413474514339,0.087681422182544,0.0140190688022748,82778,0.0780973945429673,0.0168232311090177,0.486072582909765,3881.54595521935
any_postulacion,Any postulacion,math,Math,0.775503210034499,-0.0503163811816627,0.0362744195485613,0.165410147229189,87538,0.124264065559044,-0.00625251808985199,0.496384413364036,3305.40042199198
any_postulacion,Any postulacion,highpay_field,High-premium field,0.77297936176016,0.143112346202694,0.0632271892199051,0.0236072186630037,87992,0.0775368817369062,0.0110964850626094,0.487608622779441,5234.49411798918
any_postulacion,Any postulacion,any_postulacion,Any postulacion,0.77297936176016,0.681438326697837,0.10035715526224,1.12031029735135e-11,87992,0.0663131433475181,0.0451883174408065,0.44088868545366,2740.46773529612
any_postulacion,Any postulacion,grat_asignacion,Gratuidad assignment,0.77297936176016,0.341926937707584,0.0735532222164832,3.34032012365726e-06,87992,0.0781765647134209,0.0267306733729587,0.487337391196279,4137.41232945235
grat_asignacion,Gratuidad assignment,math,Math,0.510064200689986,-0.159567145211099,0.0474441211118424,0.000770264248626256,87538,0.124264065559044,-0.0198284621935815,0.496384413364036,3305.40042199198
grat_asignacion,Gratuidad assignment,highpay_field,High-premium field,0.508193926720611,0.117780073131923,0.0773903626204194,0.128035174568097,87992,0.0775368817369062,0.00913229960139408,0.487608622779441,5234.49411798918
grat_asignacion,Gratuidad assignment,any_postulacion,Any postulacion,0.508193926720611,0.396503479653182,0.119868681960246,0.000940267458132663,87992,0.0663131433475181,0.0262933920840312,0.44088868545366,2740.46773529612
grat_asignacion,Gratuidad assignment,grat_asignacion,Gratuidad assignment,0.508193926720611,0.810144764135249,0.0914759884434931,8.26657178709358e-19,87992,0.0781765647134209,0.0633343345806584,0.487337391196279,4137.41232945235
