dfe_minus_simce4,N,share,label
-9,907,0.00232425243380237,0.2%
-8,2524,0.00646793069781387,0.6%
-7,4601,0.0117903918940735,1.2%
-6,10738,0.0275168937532192,2.8%
-5,21617,0.0553951101008885,5.5%
-4,32824,0.0841138499306824,8.4%
-3,40904,0.104819428392781,10.5%
-2,45846,0.117483657199673,11.7%
-1,45986,0.117842417222531,11.8%
0,49419,0.126639725497331,12.7%
1,42800,0.109678064130917,11.0%
2,42923,0.109993260436713,11.0%
3,37036,0.0949074014755287,9.5%
4,8041,0.0206056381700164,2.1%
5,3294,0.00844111082353363,0.8%
6,647,0.00165798381992297,0.2%
7,102,0.000261382302368072,0.0%
8,20,5.12514318368769e-05,0.0%
9,4,1.02502863673754e-05,0.0%
