income_decile,students,gratuidad_assignments,share_gratuidad,sample,se,lower,upper
1,16031,7324,0.45686482440272,Lottery sample,0.00393430041679374,0.449153595585804,0.464576053219636
1,67562,33473,0.495441224356887,Whole grade-8 universe,0.00192353770426631,0.491671090456525,0.499211358257249
2,22652,11771,0.51964506445347,Lottery sample,0.00331956560105953,0.513138715875393,0.526151413031547
2,69211,37428,0.540781089711173,Whole grade-8 universe,0.00189423155937474,0.537068395854799,0.544493783567548
3,14187,6781,0.477972791992669,Lottery sample,0.00419375323906505,0.469753035644102,0.486192548341237
3,71141,37998,0.534122376688548,Whole grade-8 universe,0.00187023564169461,0.530456714830827,0.53778803854627
4,22704,12392,0.545806906272023,Lottery sample,0.00330436936681431,0.539330342313067,0.552283470230979
4,71241,40246,0.564927499613986,Whole grade-8 universe,0.00185742878371776,0.5612869391979,0.568568060030073
5,14652,7216,0.492492492492493,Lottery sample,0.00413021431726161,0.48439727243066,0.500587712554325
5,72043,37517,0.520758435934095,Whole grade-8 universe,0.00186122767166072,0.51711042969764,0.52440644217055
6,15430,7648,0.495657809462087,Lottery sample,0.00402504429220372,0.487768722649368,0.503546896274806
6,72467,36682,0.506189023969531,Whole grade-8 universe,0.0018572338476865,0.502548845628065,0.509829202310996
7,13133,6737,0.512982563009213,Lottery sample,0.00436155732431491,0.504433910653556,0.521531215364871
7,73142,37900,0.518170134806267,Whole grade-8 universe,0.00184756459438491,0.514548908201273,0.521791361411262
8,10615,5020,0.472915685350919,Lottery sample,0.00484587164132529,0.463417776933921,0.482413593767916
8,73605,34554,0.469451803545955,Whole grade-8 universe,0.00183951896086524,0.465846346382659,0.473057260709251
9,6009,2406,0.400399400898652,Lottery sample,0.00632086677136373,0.388010502026779,0.412788299770525
9,74178,25877,0.348850063361104,Whole grade-8 universe,0.00174993672115735,0.345420187387636,0.352279939334573
10,1368,453,0.331140350877193,Lottery sample,0.0127242004453055,0.306200918004394,0.356079783749992
10,74028,9380,0.126708812881612,Whole grade-8 universe,0.0012226015488273,0.124312513845911,0.129105111917314
