simce4_income_decile,dfe_income_decile,N,row_total,share_from_start,label
6,5,6268,42757,0.146595879037351,15%
9,2,2058,34116,0.0603236018290538,6%
6,4,25575,42757,0.598147671726267,60%
4,4,30680,45771,0.67029341722925,67%
7,2,2187,45383,0.0481898508251989,5%
4,3,1536,45771,0.0335583666513731,3%
2,3,1162,41949,0.0277003027485757,3%
2,8,128,41949,0.00305132422703759,0%
3,4,26994,43245,0.624210891432536,62%
8,5,7019,42905,0.163593986714835,16%
2,4,30068,41949,0.71677513170755,72%
5,3,1825,43418,0.0420332580957207,4%
5,4,25872,43418,0.595881892302732,60%
10,8,810,13339,0.0607241922183072,6%
1,2,1350,37350,0.036144578313253,4%
8,7,2149,42905,0.0500874024006526,5%
7,4,24030,45383,0.529493422647247,53%
2,6,2804,41949,0.0668430713485423,7%
2,5,4844,41949,0.115473551216954,12%
4,5,6178,45771,0.134976295033973,13%
1,4,26664,37350,0.713895582329317,71%
8,6,5330,42905,0.124227945460902,12%
7,5,7274,45383,0.16028028116255,16%
9,6,4423,34116,0.129645913940673,13%
3,5,6262,43245,0.144802867383513,14%
5,5,6458,43418,0.148740153853241,15%
6,1,965,42757,0.0225694038403069,2%
8,8,1334,42905,0.0310919473254865,3%
8,4,20531,42905,0.4785223167463,48%
1,5,4103,37350,0.109852744310576,11%
7,6,5364,45383,0.118194037414891,12%
9,5,5380,34116,0.157697268143979,16%
5,1,1141,43418,0.026279423280667,3%
1,6,2562,37350,0.0685943775100402,7%
6,7,1329,42757,0.0310826297448371,3%
8,2,2360,42905,0.0550052441440392,6%
6,6,4420,42757,0.103374885983582,10%
10,7,869,13339,0.0651473123922333,7%
5,6,4654,43418,0.107190566124649,11%
9,4,13853,34116,0.406055809590808,41%
10,4,4480,13339,0.335857260664218,34%
8,3,2629,42905,0.061274909684186,6%
5,8,383,43418,0.00882122621954028,1%
9,1,1571,34116,0.0460487747684371,5%
2,2,1478,41949,0.0352332594340747,4%
7,8,850,45383,0.0187294802018377,2%
6,3,1844,42757,0.0431274411207522,4%
4,2,1717,45771,0.0375128356382863,4%
3,3,1636,43245,0.0378309631171234,4%
5,2,1873,43418,0.0431387903634437,4%
3,6,4222,43245,0.0976297837900335,10%
9,3,2509,34116,0.0735432055340603,7%
9,8,1767,34116,0.0517938797045375,5%
6,2,1824,42757,0.0426596814556681,4%
7,1,1389,45383,0.0306061741180618,3%
7,7,1823,45383,0.0401692263622943,4%
4,6,3747,45771,0.081864062397588,8%
4,1,846,45771,0.0184833191322016,2%
8,1,1344,42905,0.0313250203938935,3%
10,10,238,13339,0.0178424169727866,2%
9,7,2107,34116,0.0617598780630789,6%
3,2,1827,43245,0.0422476586888658,4%
10,5,1983,13339,0.148661818727041,15%
1,3,1063,37350,0.0284605087014726,3%
2,7,523,41949,0.0124675200839114,1%
10,1,907,13339,0.0679961016567959,7%
10,6,1619,13339,0.121373416298073,12%
10,3,1199,13339,0.0898867981108029,9%
3,1,1208,43245,0.0279338651867268,3%
10,9,281,13339,0.0210660469300547,2%
7,3,2329,45383,0.0513187757530353,5%
1,7,492,37350,0.0131726907630522,1%
3,7,884,43245,0.0204416695571742,2%
1,1,1020,37350,0.0273092369477912,3%
2,1,922,41949,0.0219790698228802,2%
10,2,953,13339,0.0714446360296874,7%
1,8,79,37350,0.00211512717536814,0%
7,9,105,45383,0.00231364167199172,0%
5,7,1166,43418,0.0268552213367728,3%
9,9,332,34116,0.00973150427951694,1%
9,10,116,34116,0.00340016414585532,0%
6,8,470,42757,0.0109923521294759,1%
3,8,185,43245,0.00427795120823217,0%
4,7,841,45771,0.018374079657425,2%
7,10,32,45383,0.000705109842892713,0%
4,8,201,45771,0.00439142688601953,0%
6,9,50,42757,0.0011693991627102,0%
8,9,167,42905,0.00389232024239599,0%
6,10,12,42757,0.000280655799050448,0%
8,10,42,42905,0.000978906887309171,0%
3,9,17,43245,0.000393109029945658,0%
4,9,15,45771,0.000327718424329816,0%
4,10,10,45771,0.000218478949553211,0%
1,10,4,37350,0.000107095046854083,0%
2,10,7,41949,0.000166869293666118,0%
3,10,10,43245,0.000231240605850387,0%
5,9,37,43418,0.000852181123036529,0%
1,9,13,37350,0.00034805890227577,0%
5,10,9,43418,0.000207287300198075,0%
2,9,13,41949,0.000309900116808506,0%
