simce4_income_decile,application_outcome,N,row_total,share_from_start,label
5,Did not apply,14172,72008,0.196811465392734,20%
6,SE4 decile 5,7893,72443,0.108954626395925,11%
9,SE4 decile 2,1989,74048,0.0268609550561798,3%
6,SE4 decile 4,33478,72443,0.4621288461273,46%
2,Did not apply,15561,69183,0.224925198386887,22%
4,SE4 decile 4,38044,71222,0.534160793013395,53%
3,SE4 decile 8,1278,71113,0.0179713976347503,2%
7,SE4 decile 2,2080,73103,0.0284530046646512,3%
4,SE4 decile 3,1518,71222,0.0213136390441156,2%
9,SE4 decile 6,5222,74048,0.0705218236819361,7%
9,Did not apply,13300,74048,0.179613223854797,18%
2,SE4 decile 3,1118,69183,0.0161600393160169,2%
2,SE4 decile 8,727,69183,0.0105083618808089,1%
10,Did not apply,29121,73743,0.394898498840568,39%
3,SE4 decile 4,34150,71113,0.480221619113242,48%
8,Did not apply,11557,73544,0.157144022625911,16%
8,SE4 decile 5,8383,73544,0.113986185140868,11%
10,SE4 decile 10,14366,73743,0.194811710942056,19%
3,Did not apply,15456,71113,0.217344226793976,22%
4,Did not apply,13254,71222,0.186094184381231,19%
2,SE4 decile 4,37883,69183,0.547576716823497,55%
8,SE4 decile 9,6224,73544,0.0846296094854781,8%
1,Did not apply,18933,67542,0.280314470995825,28%
9,SE4 decile 9,12389,74048,0.167310393258427,17%
7,SE4 decile 5,8670,73103,0.118599783866599,12%
5,SE4 decile 3,1745,72008,0.0242334185090545,2%
1,SE4 decile 7,975,67542,0.0144354623789642,1%
5,SE4 decile 4,33764,72008,0.468892345294967,47%
9,SE4 decile 4,18479,74048,0.249554343128781,25%
1,SE4 decile 4,34506,67542,0.510882117793373,51%
10,SE4 decile 9,13869,73743,0.188072088198202,19%
1,SE4 decile 2,1250,67542,0.0185070030499541,2%
8,SE4 decile 7,3097,73544,0.0421108452083107,4%
6,Did not apply,13919,72443,0.192137266540591,19%
7,SE4 decile 4,30086,73103,0.411556297279181,41%
2,SE4 decile 5,5859,69183,0.0846884350201639,8%
4,SE4 decile 5,7476,71222,0.104967566201455,10%
9,SE4 decile 7,3058,74048,0.04129753673293,4%
7,SE4 decile 9,3913,73103,0.0535272150253752,5%
6,SE4 decile 7,2188,72443,0.0302030561959057,3%
9,SE4 decile 10,4804,74048,0.0648768366464996,6%
8,SE4 decile 6,6284,73544,0.0854454476231916,9%
4,SE4 decile 6,4550,71222,0.0638847547106231,6%
8,SE4 decile 4,26117,73544,0.355120744044382,36%
3,SE4 decile 5,7461,71113,0.104917525628226,10%
5,SE4 decile 5,7809,72008,0.10844628374625,11%
6,SE4 decile 1,912,72443,0.012589208067032,1%
8,SE4 decile 8,3692,73544,0.0502012400739693,5%
1,SE4 decile 5,4994,67542,0.0739391785851766,7%
7,SE4 decile 6,6319,73103,0.0864396809980439,9%
9,SE4 decile 5,6562,74048,0.0886181936041487,9%
7,Did not apply,11666,73103,0.15958305404703,16%
5,SE4 decile 1,1066,72008,0.0148039106765915,1%
1,SE4 decile 6,3146,67542,0.0465784252761245,5%
7,SE4 decile 7,2653,73103,0.036291260276596,4%
1,SE4 decile 8,682,67542,0.010097420864055,1%
8,SE4 decile 2,2262,73544,0.0307570977917981,3%
6,SE4 decile 8,1870,72443,0.0258133981199012,3%
10,SE4 decile 7,1260,73743,0.017086367519629,2%
2,SE4 decile 6,3476,69183,0.0502435569431797,5%
6,SE4 decile 9,2138,72443,0.0295128583852132,3%
6,SE4 decile 6,5440,72443,0.0750935218033489,8%
5,SE4 decile 6,5517,72008,0.0766164870569937,8%
10,SE4 decile 4,6119,73743,0.0829773673433411,8%
2,SE4 decile 10,488,69183,0.00705375598051545,1%
8,SE4 decile 3,2581,73544,0.0350946372239748,4%
5,SE4 decile 8,1661,72008,0.0230668814576158,2%
9,SE4 decile 1,1493,74048,0.0201625972342264,2%
2,SE4 decile 2,1418,69183,0.0204963647138748,2%
7,SE4 decile 8,2783,73103,0.0380695730681367,4%
6,SE4 decile 3,1807,72443,0.0249437488784286,2%
4,SE4 decile 2,1680,71222,0.0235882171239224,2%
7,SE4 decile 10,1366,73103,0.0186859636403431,2%
3,SE4 decile 3,1516,71113,0.0213181837357445,2%
5,SE4 decile 2,1777,72008,0.0246778135762693,2%
6,SE4 decile 10,1028,72443,0.0141904669878387,1%
3,SE4 decile 6,5046,71113,0.0709574901916668,7%
9,SE4 decile 3,2425,74048,0.0327490276577355,3%
6,SE4 decile 2,1770,72443,0.0244330024985161,2%
2,SE4 decile 7,1039,69183,0.015018140294581,2%
10,SE4 decile 5,2376,73743,0.0322200073227289,3%
7,SE4 decile 1,1331,73103,0.0182071871195437,2%
5,SE4 decile 10,846,72008,0.0117486945894901,1%
3,SE4 decile 7,1469,71113,0.0206572637914305,2%
9,SE4 decile 8,4327,74048,0.0584350691443388,6%
5,SE4 decile 7,1865,72008,0.0258999000111099,3%
4,SE4 decile 1,820,71222,0.0115132964533431,1%
8,SE4 decile 1,1299,73544,0.0176628956814968,2%
1,SE4 decile 9,701,67542,0.0103787273104143,1%
4,SE4 decile 10,557,71222,0.00782061722501474,1%
10,SE4 decile 6,1888,73743,0.0256024300611584,3%
10,SE4 decile 1,868,73743,0.0117706087357444,1%
8,SE4 decile 10,2048,73544,0.02784727510062,3%
4,SE4 decile 8,970,71222,0.013619387267979,1%
4,SE4 decile 9,932,71222,0.0130858442616046,1%
10,SE4 decile 8,1791,73743,0.0242870509743298,2%
3,SE4 decile 10,669,71113,0.00940756261161813,1%
10,SE4 decile 3,1172,73743,0.0158930339150835,2%
3,SE4 decile 1,1138,71113,0.0160026999282832,2%
2,SE4 decile 9,737,69183,0.0106529060607375,1%
7,SE4 decile 3,2236,73103,0.0305869800145001,3%
4,SE4 decile 7,1421,71222,0.0199517003173177,2%
1,SE4 decile 1,923,67542,0.0136655710520861,1%
1,SE4 decile 3,999,67542,0.0147907968375233,1%
5,SE4 decile 9,1786,72008,0.0248027996889235,2%
2,SE4 decile 1,877,69183,0.0126765245797378,1%
3,SE4 decile 9,1216,71113,0.0170995457933149,2%
10,SE4 decile 2,913,73743,0.0123808361471597,1%
3,SE4 decile 2,1714,71113,0.0241024847777481,2%
1,SE4 decile 10,433,67542,0.0064108258565041,1%
