ID_IFP,FUNCTION,N_PERSON_YEARS,N_PEOPLE_EVER_IN_FUNCTION,SHARE_OF_PERSON_YEARS,SHARE_OF_EVER_ORIENTADORES
9,Orientador,17399,4723,0.559993562922433,1
1,Classroom teacher,7682,2064,0.2472481493402,0.437010374761804
5,Other function in school,1579,670,0.0508207273897651,0.1418589879314
8,Inspector general,1099,406,0.0353717412294818,0.0859623120897735
2,Technical-pedagogical staff,799,374,0.0257161248793048,0.0791869574423036
3,Management staff,787,371,0.0253299002252977,0.0785517679441033
4,Director,683,258,0.0219826198905697,0.0546262968452255
7,Head of UTP,556,224,0.0178950756356614,0.0474274825322888
11,Technical-pedagogical,185,99,0.00595429674927583,0.0209612534406098
15,Deputy director,112,51,0.00360476343739942,0.010798221469405
10,Management,80,42,0.00257483102671387,0.00889265297480415
16,Teacher in charge of school,51,27,0.00164145477953009,0.00571670548380267
6,Other function outside school,27,17,0.000869005471515932,0.00359940715646835
17,Traditional educator,18,5,0.000579336981010621,0.00105864916366716
12,Supervision,13,6,0.000418410041841004,0.00127037899640059
