ID_IFP,FUNCION_PRINCIPAL,N_PERSON_YEARS,N_PEOPLE_EVER_IN_FUNCTION,SHARE_OF_PERSON_YEARS,SHARE_OF_COHORT
1,docente_de_aula,1682988,315092,0.926973467880388,1
5,otra_en_establecimiento,49389,20422,0.0272029821990083,0.0648128165742069
2,planta_tecnico_pedagogica,17387,7591,0.00957659097155554,0.0240913764868673
7,jefe_unidad_tecnico_pedagogica,14850,5728,0.00817923597674123,0.0181788176151727
4,director,11569,4085,0.00637209299763766,0.0129644675205972
8,inspector_general,10184,3983,0.00560924843010994,0.0126407525421147
3,planta_directiva,9262,4011,0.00510141977216008,0.0127296154773844
9,orientador,5260,2064,0.00289715698570093,0.00655046779988067
16,profesor_encargado_establecimiento,5126,1750,0.00282335108530475,0.00555393345435619
11,tecnico_pedagogica,4603,2353,0.00253528775763905,0.00746766023891435
17,educador_tradicional,1534,675,0.000844912322445861,0.00214223147525167
6,otra_fuera_establecimiento,1296,634,0.000713824230697416,0.00201211074860676
15,subdirector,1102,513,0.00060697091221339,0.00162809592119127
10,directiva,708,388,0.000389959533436551,0.00123138638873726
12,supervision,315,149,0.000173498944961178,0.000472877762685184
