FROM_ID_IFP,FROM_FUNCTION,TO_ID_IFP,TO_FUNCTION,N,SHARE_WITHIN_START_FUNCTION
1,docente_de_aula,1,docente_de_aula,1326432,0.975891701000588
1,docente_de_aula,5,otra_en_establecimiento,12428,0.00914361389052384
1,docente_de_aula,2,planta_tecnico_pedagogica,5030,0.00370070629782225
1,docente_de_aula,7,jefe_unidad_tecnico_pedagogica,3595,0.00264493819894055
1,docente_de_aula,3,planta_directiva,2509,0.00184593878752207
1,docente_de_aula,8,inspector_general,2480,0.00182460270747499
1,docente_de_aula,4,director,1971,0.00145011771630371
1,docente_de_aula,9,orientador,1353,0.000995438493231313
1,docente_de_aula,11,tecnico_pedagogica,1298,0.000954973513831666
1,docente_de_aula,16,profesor_encargado_establecimiento,986,0.000725426721600942
1,docente_de_aula,6,otra_fuera_establecimiento,373,0.000274426133019423
1,docente_de_aula,17,educador_tradicional,231,0.000169952913478517
1,docente_de_aula,15,subdirector,226,0.00016627427898764
1,docente_de_aula,10,directiva,220,0.000161859917598587
1,docente_de_aula,12,supervision,68,5.0029429075927e-05
2,planta_tecnico_pedagogica,2,planta_tecnico_pedagogica,9582,0.734646937054359
2,planta_tecnico_pedagogica,1,docente_de_aula,2129,0.163229318408342
2,planta_tecnico_pedagogica,7,jefe_unidad_tecnico_pedagogica,458,0.0351146208694319
2,planta_tecnico_pedagogica,5,otra_en_establecimiento,247,0.0189373610365713
2,planta_tecnico_pedagogica,3,planta_directiva,136,0.0104270489917964
2,planta_tecnico_pedagogica,4,director,135,0.0103503795139155
2,planta_tecnico_pedagogica,11,tecnico_pedagogica,110,0.00843364256689412
2,planta_tecnico_pedagogica,8,inspector_general,104,0.00797362569960899
2,planta_tecnico_pedagogica,9,orientador,62,0.00475350762861305
2,planta_tecnico_pedagogica,15,subdirector,24,0.00184006746914054
2,planta_tecnico_pedagogica,16,profesor_encargado_establecimiento,22,0.00168672851337882
2,planta_tecnico_pedagogica,6,otra_fuera_establecimiento,15,0.00115004216821283
2,planta_tecnico_pedagogica,10,directiva,11,0.000843364256689412
2,planta_tecnico_pedagogica,17,educador_tradicional,6,0.000460016867285134
2,planta_tecnico_pedagogica,12,supervision,2,0.000153338955761711
3,planta_directiva,3,planta_directiva,5128,0.752899721039495
3,planta_directiva,1,docente_de_aula,844,0.123917192776391
3,planta_directiva,8,inspector_general,156,0.0229041256790486
3,planta_directiva,2,planta_tecnico_pedagogica,147,0.0215827338129496
3,planta_directiva,5,otra_en_establecimiento,138,0.0202613419468507
3,planta_directiva,4,director,137,0.0201145206283952
3,planta_directiva,7,jefe_unidad_tecnico_pedagogica,124,0.0182058434884745
3,planta_directiva,15,subdirector,47,0.00690060196740567
3,planta_directiva,9,orientador,39,0.00572603141976215
3,planta_directiva,11,tecnico_pedagogica,18,0.00264278373219792
3,planta_directiva,10,directiva,16,0.00234914109528704
3,planta_directiva,16,profesor_encargado_establecimiento,9,0.00132139186609896
3,planta_directiva,6,otra_fuera_establecimiento,6,0.000880927910732638
3,planta_directiva,12,supervision,2,0.000293642636910879
4,director,4,director,7247,0.804507104795737
4,director,1,docente_de_aula,1190,0.132104795737123
4,director,7,jefe_unidad_tecnico_pedagogica,115,0.0127664298401421
4,director,3,planta_directiva,92,0.0102131438721137
4,director,8,inspector_general,80,0.0088809946714032
4,director,16,profesor_encargado_establecimiento,67,0.00743783303730018
4,director,2,planta_tecnico_pedagogica,65,0.0072158081705151
4,director,5,otra_en_establecimiento,65,0.0072158081705151
4,director,15,subdirector,37,0.00410746003552398
4,director,9,orientador,19,0.00210923623445826
4,director,11,tecnico_pedagogica,12,0.00133214920071048
4,director,6,otra_fuera_establecimiento,12,0.00133214920071048
4,director,10,directiva,7,0.00077708703374778
5,otra_en_establecimiento,5,otra_en_establecimiento,27851,0.718197993759509
5,otra_en_establecimiento,1,docente_de_aula,9497,0.2449005905258
5,otra_en_establecimiento,2,planta_tecnico_pedagogica,390,0.0100569896077774
5,otra_en_establecimiento,3,planta_directiva,243,0.00626627814023054
5,otra_en_establecimiento,8,inspector_general,235,0.0060599809175069
5,otra_en_establecimiento,7,jefe_unidad_tecnico_pedagogica,122,0.0031460326465355
5,otra_en_establecimiento,11,tecnico_pedagogica,117,0.00301709688233322
5,otra_en_establecimiento,9,orientador,112,0.00288816111813095
5,otra_en_establecimiento,4,director,73,0.00188246215735321
5,otra_en_establecimiento,6,otra_fuera_establecimiento,58,0.00149565486474638
5,otra_en_establecimiento,10,directiva,29,0.000747827432373192
5,otra_en_establecimiento,15,subdirector,17,0.000438381598287733
5,otra_en_establecimiento,16,profesor_encargado_establecimiento,16,0.000412594445447278
5,otra_en_establecimiento,12,supervision,13,0.000335232986925914
5,otra_en_establecimiento,17,educador_tradicional,6,0.000154722917042729
6,otra_fuera_establecimiento,6,otra_fuera_establecimiento,649,0.65489404641776
6,otra_fuera_establecimiento,1,docente_de_aula,235,0.237134207870838
6,otra_fuera_establecimiento,5,otra_en_establecimiento,51,0.0514631685166499
6,otra_fuera_establecimiento,2,planta_tecnico_pedagogica,12,0.012108980827447
6,otra_fuera_establecimiento,8,inspector_general,10,0.0100908173562059
6,otra_fuera_establecimiento,4,director,10,0.0100908173562059
6,otra_fuera_establecimiento,7,jefe_unidad_tecnico_pedagogica,9,0.00908173562058527
