FROM_ID_IFP,FROM_FUNCTION,TO_ID_IFP,TO_FUNCTION,OBSERVED_NEXT,N,SHARE_WITHIN_START_FUNCTION
1,Classroom teacher,1,Classroom teacher,TRUE,1326432,0.906307650680944
1,Classroom teacher,,,FALSE,104356,0.071303045459142
1,Classroom teacher,5,Other function in school,TRUE,12428,0.00849164637362698
1,Classroom teacher,2,Technical-pedagogical staff,TRUE,5030,0.0034368346684377
1,Classroom teacher,7,Head of UTP,TRUE,3595,0.00245634605030487
1,Classroom teacher,3,Management staff,TRUE,2509,0.00171431773024059
1,Classroom teacher,8,Inspector general,TRUE,2480,0.00169450297767902
1,Classroom teacher,4,Director,TRUE,1971,0.001346719906857
1,Classroom teacher,9,Orientador,TRUE,1353,0.00092446069709666
1,Classroom teacher,11,Technical-pedagogical,TRUE,1298,0.00088688099396265
1,Classroom teacher,16,Teacher in charge of school,TRUE,986,0.000673701587093354
1,Classroom teacher,6,Other function outside school,TRUE,373,0.000254858713981563
1,Classroom teacher,17,Traditional educator,TRUE,231,0.000157834753162844
1,Classroom teacher,15,Deputy director,TRUE,226,0.000154418416514298
1,Classroom teacher,10,Management,TRUE,220,0.000150318812536042
1,Classroom teacher,12,Supervision,TRUE,68,4.64621784202313e-05
2,Technical-pedagogical staff,2,Technical-pedagogical staff,TRUE,23510,0.762099257674479
2,Technical-pedagogical staff,,,FALSE,2241,0.0726441699893027
2,Technical-pedagogical staff,1,Classroom teacher,TRUE,2129,0.0690135822879186
2,Technical-pedagogical staff,7,Head of UTP,TRUE,1014,0.0328697850821745
2,Technical-pedagogical staff,5,Other function in school,TRUE,480,0.0155596615773607
2,Technical-pedagogical staff,4,Director,TRUE,390,0.0126422250316056
2,Technical-pedagogical staff,3,Management staff,TRUE,371,0.012026321760835
2,Technical-pedagogical staff,8,Inspector general,TRUE,219,0.00709909559467082
2,Technical-pedagogical staff,11,Technical-pedagogical,TRUE,176,0.00570520924503225
2,Technical-pedagogical staff,9,Orientador,TRUE,134,0.00434373885701319
2,Technical-pedagogical staff,15,Deputy director,TRUE,80,0.00259327692956012
2,Technical-pedagogical staff,16,Teacher in charge of school,TRUE,37,0.00119939057992155
2,Technical-pedagogical staff,6,Other function outside school,TRUE,31,0.00100489481020454
2,Technical-pedagogical staff,10,Management,TRUE,19,0.000615903270770527
2,Technical-pedagogical staff,17,Traditional educator,TRUE,11,0.000356575577814516
2,Technical-pedagogical staff,12,Supervision,TRUE,7,0.00022691173133651
3,Management staff,3,Management staff,TRUE,19792,0.791806689070251
3,Management staff,,,FALSE,1900,0.0760121619459113
3,Management staff,1,Classroom teacher,TRUE,844,0.0337654024643943
3,Management staff,4,Director,TRUE,626,0.0250440070411266
3,Management staff,8,Inspector general,TRUE,448,0.0179228676588254
3,Management staff,5,Other function in school,TRUE,361,0.0144423107697232
3,Management staff,2,Technical-pedagogical staff,TRUE,312,0.0124819971195391
3,Management staff,7,Head of UTP,TRUE,267,0.0106817090734518
3,Management staff,15,Deputy director,TRUE,205,0.00820131220995359
3,Management staff,9,Orientador,TRUE,115,0.00460073611777884
3,Management staff,11,Technical-pedagogical,TRUE,37,0.00148023683789406
3,Management staff,10,Management,TRUE,36,0.0014402304368699
3,Management staff,6,Other function outside school,TRUE,23,0.000920147223555769
3,Management staff,16,Teacher in charge of school,TRUE,22,0.000880140822531605
3,Management staff,12,Supervision,TRUE,8,0.000320051208193311
4,Director,4,Director,TRUE,55959,0.881896837028982
4,Director,,,FALSE,3476,0.0547807038280302
4,Director,1,Classroom teacher,TRUE,1190,0.0187540384221392
4,Director,3,Management staff,TRUE,620,0.00977101161489606
4,Director,8,Inspector general,TRUE,517,0.00814776291113107
4,Director,7,Head of UTP,TRUE,426,0.00671363056120278
4,Director,5,Other function in school,TRUE,336,0.00529525790742755
4,Director,15,Deputy director,TRUE,261,0.00411328069594818
4,Director,2,Technical-pedagogical staff,TRUE,244,0.00384536586134619
4,Director,16,Teacher in charge of school,TRUE,193,0.00304162135754023
4,Director,9,Orientador,TRUE,87,0.00137109356531606
4,Director,6,Other function outside school,TRUE,73,0.00115045781917325
4,Director,10,Management,TRUE,35,0.000551589365357036
4,Director,11,Technical-pedagogical,TRUE,33,0.00052006997305092
4,Director,12,Supervision,TRUE,2,3.15193923061163e-05
4,Director,17,Traditional educator,TRUE,1,1.57596961530582e-05
5,Other function in school,5,Other function in school,TRUE,61269,0.74533776139557
5,Other function in school,1,Classroom teacher,TRUE,9497,0.115531063343187
5,Other function in school,,,FALSE,8305,0.10103037602034
5,Other function in school,2,Technical-pedagogical staff,TRUE,787,0.00957385983479922
5,Other function in school,3,Management staff,TRUE,556,0.00676374341569043
5,Other function in school,8,Inspector general,TRUE,555,0.0067515784095471
5,Other function in school,7,Head of UTP,TRUE,261,0.00317506660340863
