FROM_YEAR,TO_YEAR,FROM_ID_IFP,FROM_FUNCTION,STATUS,N,SHARE_OF_STARTERS
2018,2019,1,Classroom teacher,changed_function_changed_school,1789,0.00900692259282568
2018,2019,1,Classroom teacher,changed_function_same_school,3084,0.0155267463813719
2018,2019,1,Classroom teacher,not_observed_next_year,13539,0.0681636249213342
2018,2019,1,Classroom teacher,same_function_changed_school,20911,0.105278791692889
2018,2019,1,Classroom teacher,same_function_same_school,159302,0.80202391441158
2018,2019,2,Technical-pedagogical staff,changed_function_changed_school,293,0.0763020833333333
2018,2019,2,Technical-pedagogical staff,changed_function_same_school,461,0.120052083333333
2018,2019,2,Technical-pedagogical staff,not_observed_next_year,278,0.0723958333333333
2018,2019,2,Technical-pedagogical staff,same_function_changed_school,30,0.0078125
2018,2019,2,Technical-pedagogical staff,same_function_same_school,2778,0.7234375
2018,2019,3,Management staff,changed_function_changed_school,145,0.0450031036623215
2018,2019,3,Management staff,changed_function_same_school,300,0.0931098696461825
2018,2019,3,Management staff,not_observed_next_year,269,0.0834885164494103
2018,2019,3,Management staff,same_function_changed_school,45,0.0139664804469274
2018,2019,3,Management staff,same_function_same_school,2463,0.764432029795158
2018,2019,4,Director,changed_function_changed_school,354,0.0389524647887324
2018,2019,4,Director,changed_function_same_school,325,0.0357614436619718
2018,2019,4,Director,not_observed_next_year,504,0.0554577464788732
2018,2019,4,Director,same_function_changed_school,264,0.0290492957746479
2018,2019,4,Director,same_function_same_school,7641,0.840779049295775
2018,2019,5,Other function in school,changed_function_changed_school,1040,0.094024048458548
2018,2019,5,Other function in school,changed_function_same_school,1042,0.094204863936353
2018,2019,5,Other function in school,not_observed_next_year,1095,0.0989964740981828
2018,2019,5,Other function in school,same_function_changed_school,164,0.0148268691800018
2018,2019,5,Other function in school,same_function_same_school,7720,0.697947744326914
2018,2019,6,Other function outside school,changed_function_changed_school,27,0.0710526315789474
2018,2019,6,Other function outside school,changed_function_same_school,38,0.1
2018,2019,6,Other function outside school,not_observed_next_year,57,0.15
2018,2019,6,Other function outside school,same_function_changed_school,5,0.0131578947368421
2018,2019,6,Other function outside school,same_function_same_school,253,0.66578947368421
2018,2019,7,Head of UTP,changed_function_changed_school,346,0.0727655099894848
2018,2019,7,Head of UTP,changed_function_same_school,401,0.0843322818086225
2018,2019,7,Head of UTP,not_observed_next_year,229,0.0481598317560463
2018,2019,7,Head of UTP,same_function_changed_school,90,0.0189274447949527
2018,2019,7,Head of UTP,same_function_same_school,3689,0.775814931650894
2018,2019,8,Inspector general,changed_function_changed_school,238,0.0568426080726057
2018,2019,8,Inspector general,changed_function_same_school,289,0.0690231669453069
2018,2019,8,Inspector general,not_observed_next_year,256,0.0611416288512061
2018,2019,8,Inspector general,same_function_changed_school,109,0.0260329591593026
2018,2019,8,Inspector general,same_function_same_school,3295,0.786959636971579
2018,2019,9,Orientador,changed_function_changed_school,91,0.0418006430868167
2018,2019,9,Orientador,changed_function_same_school,133,0.0610932475884244
2018,2019,9,Orientador,not_observed_next_year,166,0.0762517225539734
2018,2019,9,Orientador,same_function_changed_school,54,0.0248047772163528
2018,2019,9,Orientador,same_function_same_school,1733,0.796049609554433
2018,2019,10,Management,changed_function_changed_school,10,0.0684931506849315
2018,2019,10,Management,changed_function_same_school,21,0.143835616438356
2018,2019,10,Management,not_observed_next_year,18,0.123287671232877
2018,2019,10,Management,same_function_same_school,97,0.664383561643836
2018,2019,11,Technical-pedagogical,changed_function_changed_school,71,0.0958164642375169
2018,2019,11,Technical-pedagogical,changed_function_same_school,117,0.157894736842105
2018,2019,11,Technical-pedagogical,not_observed_next_year,104,0.140350877192982
2018,2019,11,Technical-pedagogical,same_function_same_school,449,0.605937921727395
2018,2019,12,Supervision,changed_function_changed_school,8,0.0930232558139535
2018,2019,12,Supervision,changed_function_same_school,13,0.151162790697674
2018,2019,12,Supervision,not_observed_next_year,13,0.151162790697674
2018,2019,12,Supervision,same_function_same_school,52,0.604651162790698
2018,2019,15,Deputy director,changed_function_changed_school,41,0.0642633228840125
2018,2019,15,Deputy director,changed_function_same_school,73,0.114420062695925
2018,2019,15,Deputy director,not_observed_next_year,52,0.0815047021943574
2018,2019,15,Deputy director,same_function_changed_school,4,0.00626959247648903
2018,2019,15,Deputy director,same_function_same_school,468,0.733542319749216
2018,2019,16,Teacher in charge of school,changed_function_changed_school,165,0.0693568726355612
2018,2019,16,Teacher in charge of school,changed_function_same_school,81,0.0340479192938209
2018,2019,16,Teacher in charge of school,not_observed_next_year,100,0.0420344682639765
2018,2019,16,Teacher in charge of school,same_function_changed_school,28,0.0117696511139134
