TO_ID_IFP,TO_FUNCTION,N,SHARE_AMONG_OBSERVED_NEXT,SHARE_AMONG_ALL_STARTERS
9,Orientador,12426,0.890625,0.818684938727105
1,Classroom teacher,482,0.0345470183486239,0.0317564896560812
5,Other function in school,275,0.0197104357798165,0.0181183291606272
8,Inspector general,191,0.0136897935779817,0.012584003162472
3,Management staff,167,0.0119696100917431,0.0110027671629991
2,Technical-pedagogical staff,149,0.0106794724770642,0.00981684016339439
7,Head of UTP,91,0.0065223623853211,0.00599551983133483
4,Director,75,0.00537557339449541,0.00494136249835288
11,Technical-pedagogical,35,0.00250860091743119,0.00230596916589801
15,Deputy director,22,0.00157683486238532,0.00144946633285018
10,Management,21,0.00150516055045872,0.00138358149953881
16,Teacher in charge of school,12,0.000860091743119266,0.000790617999736461
6,Other function outside school,5,0.000358371559633028,0.000329424166556859
12,Supervision,1,7.16743119266055e-05,6.58848333113717e-05
