income_measure_key,income_measure_label,income_measure_order,outcome,outcome_key,outcome_label,plot_order,target_percentile,target_percentile_label,window_lower_percentile,window_upper_percentile,n_students_total,n_students,cohort_min,cohort_max,income_4to_cutpoint,log_income_4to_cutpoint,mean_income_4to,mean_log_income_4to,mean_attended_va_eb,sd_attended_va_eb,se_attended_va_eb
direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,10,p10,7.5,12.5,798568,39929,2017,2020,150000,11.9183905730784,150000,11.9183905730784,-0.101789942301556,0.11088600491376,0.000554922737236452
direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,25,p25,22.5,27.5,798568,39929,2017,2020,250000,12.4292161968444,250000,12.4292161968444,-0.0956053910974175,0.118554963075021,0.000593301604415485
direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,50,p50,47.5,52.5,798568,39929,2017,2020,350000,12.7656884334656,350000,12.7656884334656,-0.0809372214773576,0.128110780694195,0.000641123152985916
direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,75,p75,72.5,77.5,798568,39929,2017,2020,7e+05,13.4588356140255,660755.966841143,13.3957718312974,-0.031066079569349,0.161045580172006,0.00080594349339564
direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,90,p90,87.5,92.5,798568,39929,2017,2020,1500000,14.2209756660724,1526574.67003932,14.2279985540765,0.110202305304401,0.234341430869022,0.00117274843084916
school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,10,p10,7.5,12.5,1580206,79010,2013,2020,250000,12.4292161968444,249379.825338565,12.4264484373166,-0.105943892610679,0.111354837416958,0.000396157659563648
school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,25,p25,22.5,27.5,1580206,79010,2013,2020,250000,12.4292161968444,250000,12.4292161968444,-0.107158496387565,0.110864073560415,0.000394411710619566
school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,50,p50,47.5,52.5,1580206,79011,2013,2020,350000,12.7656884334656,350000,12.7656884334656,-0.0811285117984434,0.128047937885633,0.000455542404326965
school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,75,p75,72.5,77.5,1580206,79010,2013,2020,450000,13.0170028617465,488615.99797494,13.0945776168415,-0.0367518833320557,0.145192330708722,0.000516538439230833
school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,90,p90,87.5,92.5,1580206,79010,2013,2020,1100000,13.9108207377686,1166333.37552209,13.9475919546558,0.109880995291523,0.206923799327047,0.000736155248850798
direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,10,p10,7.5,12.5,798644,39932,2017,2020,150000,11.9183905730784,150000,11.9183905730784,-0.0838870881441449,0.104333141978154,0.000522109691901503
direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,25,p25,22.5,27.5,798644,39933,2017,2020,250000,12.4292161968444,250000,12.4292161968444,-0.0741022962340835,0.110001391043666,0.000550468165519709
direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,50,p50,47.5,52.5,798644,39933,2017,2020,350000,12.7656884334656,350000,12.7656884334656,-0.0572025743192306,0.116034185543367,0.000580657432125344
direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,75,p75,72.5,77.5,798644,39933,2017,2020,7e+05,13.4588356140255,660684.771993089,13.395657364916,-0.00722609188927075,0.127390722511097,0.00063748773228765
direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,90,p90,87.5,92.5,798644,39932,2017,2020,1500000,14.2209756660724,1526422.41811079,14.2278926040693,0.0887582651916288,0.144963009748004,0.000725431928164236
school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,10,p10,7.5,12.5,1580488,79025,2013,2020,250000,12.4292161968444,249350.838342297,12.4263190720908,-0.0860378388580267,0.105252164423519,0.000374411158327794
school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,25,p25,22.5,27.5,1580488,79025,2013,2020,250000,12.4292161968444,250000,12.4292161968444,-0.0871219731986223,0.105354474240467,0.000374775102739593
school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,50,p50,47.5,52.5,1580488,79025,2013,2020,350000,12.7656884334656,350000,12.7656884334656,-0.0548392720319565,0.115863024114875,0.00041215693096491
school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,75,p75,72.5,77.5,1580488,79025,2013,2020,450000,13.0170028617465,488535.27364758,13.094415610873,-0.0095657820126041,0.118118555289082,0.000420180481304273
school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,90,p90,87.5,92.5,1580488,79025,2013,2020,1100000,13.9108207377686,1166070.23093958,13.947377878189,0.0906653864872957,0.128101478822707,0.000455692510764138
direct_or_school_median,Direct income + school median fallback,1,admission_exam_taker,exam_taking,Exam taking,3,10,p10,7.5,12.5,800041,40002,2017,2020,150000,11.9183905730784,150000,11.9183905730784,-0.0398077402778709,0.11110947081988,0.000555533465936349
direct_or_school_median,Direct income + school median fallback,1,admission_exam_taker,exam_taking,Exam taking,3,25,p25,22.5,27.5,800041,40002,2017,2020,250000,12.4292161968444,250000,12.4292161968444,-0.0265423461705329,0.108633166064739,0.000543152251687133
direct_or_school_median,Direct income + school median fallback,1,admission_exam_taker,exam_taking,Exam taking,3,50,p50,47.5,52.5,800041,40002,2017,2020,350000,12.7656884334656,350000,12.7656884334656,-0.00668346524178615,0.103830743336178,0.00051914073832466
direct_or_school_median,Direct income + school median fallback,1,admission_exam_taker,exam_taking,Exam taking,3,75,p75,72.5,77.5,800041,40002,2017,2020,7e+05,13.4588356140255,659567.646617669,13.3938612569523,0.0276685464300399,0.0884338823458279,0.000442158357908363
direct_or_school_median,Direct income + school median fallback,1,admission_exam_taker,exam_taking,Exam taking,3,90,p90,87.5,92.5,800041,40002,2017,2020,1500000,14.2209756660724,1523861.30693465,14.226111368196,0.0538607248076693,0.0608075855676116,0.000304030327174886
school_median_for_everyone,School median for everyone,2,admission_exam_taker,exam_taking,Exam taking,3,10,p10,7.5,12.5,1585608,79281,2013,2020,250000,12.4292161968444,249006.067027409,12.4247804021789,-0.0407755560162687,0.11016028733059,0.000391237522698157
