cohort_gr8,income_measure_key,income_measure_label,income_measure_order,outcome,outcome_key,outcome_label,plot_order,target_percentile,target_percentile_label,window_lower_percentile,window_upper_percentile,n_students_total,n_students,income_4to_cutpoint,log_income_4to_cutpoint,mean_income_4to,mean_log_income_4to,mean_attended_va_eb,sd_attended_va_eb,se_attended_va_eb
2017,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,10,p10,7.5,12.5,187315,9366,150000,11.9183905730784,150000,11.9183905730784,-0.101510549711147,0.112627904352719,0.00116377474034347
2018,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,10,p10,7.5,12.5,201681,10084,150000,11.9183905730784,150000,11.9183905730784,-0.101729763370401,0.11183391101182,0.00111367147148084
2019,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,10,p10,7.5,12.5,202873,10144,150000,11.9183905730784,150000,11.9183905730784,-0.103104912380816,0.11011996084916,0.00109335558582218
2020,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,10,p10,7.5,12.5,206699,10335,150000,11.9183905730784,150000,11.9183905730784,-0.100308991980312,0.111266773559307,0.00109448611001766
2017,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,25,p25,22.5,27.5,187315,9366,250000,12.4292161968444,201137.091607944,12.179822107343,-0.0944663533294074,0.116764551036009,0.00120651836544602
2018,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,25,p25,22.5,27.5,201681,10084,250000,12.4292161968444,250000,12.4292161968444,-0.0951665289312794,0.120398298021825,0.00119895788771603
2019,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,25,p25,22.5,27.5,202873,10144,250000,12.4292161968444,250000,12.4292161968444,-0.0982756562618719,0.115292398674275,0.00114471152297288
2020,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,25,p25,22.5,27.5,206699,10335,250000,12.4292161968444,250000,12.4292161968444,-0.0978379991226612,0.116862503553403,0.001149529035754
2017,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,50,p50,47.5,52.5,187315,9366,350000,12.7656884334656,345537.048900278,12.7507530521684,-0.0794612205073367,0.13004119861302,0.00134370485733154
2018,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,50,p50,47.5,52.5,201681,10084,350000,12.7656884334656,350000,12.7656884334656,-0.0807657081858933,0.12732316019046,0.00126791748477716
2019,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,50,p50,47.5,52.5,202873,10144,350000,12.7656884334656,350000,12.7656884334656,-0.0838369784830218,0.127412176693953,0.00126504599180629
2020,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,50,p50,47.5,52.5,206699,10334,350000,12.7656884334656,350000,12.7656884334656,-0.0854641459285091,0.12581442978993,0.00123764538015932
2017,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,75,p75,72.5,77.5,187315,9366,550000,13.2176735572087,611955.477258168,13.3173109428045,-0.0309869153906118,0.161515959352141,0.00166893093444853
2018,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,75,p75,72.5,77.5,201681,10084,550000,13.2176735572087,618864.042046807,13.3284175658773,-0.0333484040272666,0.157228656543698,0.00156572427547015
2019,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,75,p75,72.5,77.5,202873,10144,7e+05,13.4588356140255,679793.473974763,13.4263808037731,-0.0310379850234708,0.161345203055662,0.00160195915114936
2020,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,75,p75,72.5,77.5,206699,10335,7e+05,13.4588356140255,7e+05,13.4588356140255,-0.0319898982038049,0.160783250681319,0.00158155960638504
2017,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,90,p90,87.5,92.5,187315,9366,1500000,14.2209756660724,1499476.83109118,14.2081486704195,0.118196758331616,0.239202290980657,0.00247165731863194
