cohort_gr8,income_measure_key,income_measure_label,income_measure_order,outcome,outcome_key,outcome_label,plot_order,target_percentile,target_percentile_label,window_lower_percentile,window_upper_percentile,n_students_total,n_students,income_4to_cutpoint,log_income_4to_cutpoint,mean_income_4to,mean_log_income_4to,mean_attended_va_eb,sd_attended_va_eb,se_attended_va_eb
2017,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,10,p10,7.5,12.5,167892,8395,150000,11.9183905730784,150000,11.9183905730784,-0.104132730880521,0.110059481387194,0.00120120494612657
2018,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,10,p10,7.5,12.5,181669,9083,150000,11.9183905730784,150000,11.9183905730784,-0.103457339667548,0.11061621319053,0.00116065762738147
2019,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,10,p10,7.5,12.5,182771,9139,150000,11.9183905730784,150000,11.9183905730784,-0.105061866066231,0.106730314197415,0.00111644786942066
2020,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,10,p10,7.5,12.5,186218,9311,150000,11.9183905730784,150000,11.9183905730784,-0.102716402262909,0.106782334399022,0.00110662696282521
2017,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,25,p25,22.5,27.5,167892,8395,150000,11.9183905730784,150000,11.9183905730784,-0.101443627107727,0.110605474789254,0.00120716399633143
2018,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,25,p25,22.5,27.5,181669,9083,250000,12.4292161968444,237592.20521854,12.3661608510322,-0.0979826475152516,0.115940988286191,0.00121652864891268
2019,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,25,p25,22.5,27.5,182771,9139,250000,12.4292161968444,250000,12.4292161968444,-0.0982143121570266,0.114647580323158,0.00119926609181784
2020,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,25,p25,22.5,27.5,186218,9310,250000,12.4292161968444,250000,12.4292161968444,-0.100189614888986,0.113192434624488,0.00117312032874566
2017,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,50,p50,47.5,52.5,167892,8395,250000,12.4292161968444,250000,12.4292161968444,-0.0959702130319549,0.1155225734387,0.00126082991537686
2018,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,50,p50,47.5,52.5,181669,9084,350000,12.7656884334656,312032.144429767,12.6380487821517,-0.0881671370255578,0.119159003899523,0.00125022535222404
2019,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,50,p50,47.5,52.5,182771,9138,350000,12.7656884334656,350000,12.7656884334656,-0.0860817188140242,0.12396903738506,0.00129684374623257
2020,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,50,p50,47.5,52.5,186218,9311,350000,12.7656884334656,350000,12.7656884334656,-0.0884094339560981,0.121247913753225,0.00125653940139796
2017,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,75,p75,72.5,77.5,167892,8395,450000,13.0170028617465,462108.397855867,13.0413098467919,-0.0646428776533862,0.132819819344755,0.00144961453506469
2018,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,75,p75,72.5,77.5,181669,9083,450000,13.0170028617465,487570.186061874,13.0924057271495,-0.0607758545603986,0.13666082821256,0.00143393475562183
2019,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,75,p75,72.5,77.5,182771,9139,550000,13.2176735572087,542635.955793851,13.2029103748386,-0.0600186315863985,0.138401521593974,0.00144774317465573
2020,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,75,p75,72.5,77.5,186218,9310,550000,13.2176735572087,550000,13.2176735572087,-0.0621667860387731,0.136307481402723,0.00141268343528554
2017,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,90,p90,87.5,92.5,167892,8395,9e+05,13.7101500423064,833353.186420488,13.6264157065357,-0.0219765403861916,0.151819379126864,0.00165697845225603
2018,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,90,p90,87.5,92.5,181669,9083,9e+05,13.7101500423064,844302.543212595,13.6401855764342,-0.0211621463059942,0.154187803004428,0.00161783923391079
2019,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,90,p90,87.5,92.5,182771,9139,9e+05,13.7101500423064,912145.748987854,13.7222365073225,-0.0207441119877925,0.154319275994779,0.00161425016117007
2020,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,90,p90,87.5,92.5,186218,9311,9e+05,13.7101500423064,941746.32155515,13.7520401371197,-0.0189876137980173,0.154423866765926,0.00160035473684556
2013,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,10,p10,7.5,12.5,173498,8675,250000,12.4292161968444,224109.510086455,12.2996168770827,-0.104665979234896,0.111310132207752,0.00119508819599573
2014,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,10,p10,7.5,12.5,180590,9029,250000,12.4292161968444,223612.803189722,12.2972077468899,-0.106243976718268,0.109206681464487,0.00114928935346848
2015,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,10,p10,7.5,12.5,177157,8858,250000,12.4292161968444,227178.82140438,12.3151643340233,-0.105447466679679,0.108577393165102,0.00115364336460783
2016,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,10,p10,7.5,12.5,177685,8884,250000,12.4292161968444,228663.890139577,12.3231135507732,-0.107122977433515,0.106357614085415,0.00112840320582037
2017,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,10,p10,7.5,12.5,165434,8272,250000,12.4292161968444,238201.160541586,12.3714023459453,-0.106516481183068,0.108224178144041,0.001189923478136
2018,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,10,p10,7.5,12.5,179328,8967,250000,12.4292161968444,244318.055090889,12.4027716116452,-0.107584551864719,0.107730734908274,0.00113766929685378
2019,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,10,p10,7.5,12.5,180726,9036,250000,12.4292161968444,247449.092518814,12.4178318257559,-0.108309713727277,0.105090850678369,0.00110554594608289
2020,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,10,p10,7.5,12.5,184108,9205,250000,12.4292161968444,248533.40575774,12.4226709758933,-0.107317166962105,0.108294353527716,0.0011287400024123
2013,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,25,p25,22.5,27.5,173498,8674,250000,12.4292161968444,250000,12.4292161968444,-0.10822595844707,0.109244230967772,0.00117297512671127
2014,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,25,p25,22.5,27.5,180590,9030,250000,12.4292161968444,250000,12.4292161968444,-0.108171154809445,0.107273717483218,0.00112888435909005
2015,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,25,p25,22.5,27.5,177157,8858,250000,12.4292161968444,250000,12.4292161968444,-0.106794056781998,0.110649595875485,0.00117566068181603
2016,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,25,p25,22.5,27.5,177685,8884,250000,12.4292161968444,250000,12.4292161968444,-0.108438904680526,0.10678556495341,0.00113294355900083
2017,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,25,p25,22.5,27.5,165434,8272,250000,12.4292161968444,250000,12.4292161968444,-0.10718186376714,0.109929934790206,0.00120867825101639
