income_measure_key,income_measure_label,income_measure_order,outcome,outcome_key,outcome_label,plot_order,target_percentile,target_percentile_label,window_lower_percentile,window_upper_percentile,n_students_total,n_students,cohort_min,cohort_max,income_4to_cutpoint,log_income_4to_cutpoint,mean_income_4to,mean_log_income_4to,mean_attended_va_eb,sd_attended_va_eb,se_attended_va_eb
direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,10,p10,7.5,12.5,718550,35927,2017,2020,150000,11.9183905730784,150000,11.9183905730784,-0.103896216176674,0.107476135943588,0.000567024164063695
direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,25,p25,22.5,27.5,718550,35928,2017,2020,250000,12.4292161968444,250000,12.4292161968444,-0.0976065760828099,0.114601644445609,0.000604608611299802
direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,50,p50,47.5,52.5,718550,35927,2017,2020,350000,12.7656884334656,350000,12.7656884334656,-0.0850680748282456,0.122591870586671,0.000646771977147535
direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,75,p75,72.5,77.5,718550,35928,2017,2020,550000,13.2176735572087,522957.025161434,13.163418539887,-0.0609667671410181,0.135733023757896,0.000716092298664475
direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,90,p90,87.5,92.5,718550,35927,2017,2020,9e+05,13.7101500423064,883872.85328583,13.6892864291269,-0.0212879694604977,0.153454061890414,0.000809595175725908
school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,10,p10,7.5,12.5,1418526,70926,2013,2020,250000,12.4292161968444,235806.333361532,12.3593101040423,-0.106687981236763,0.10852402098907,0.000407495805580627
school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,25,p25,22.5,27.5,1418526,70926,2013,2020,250000,12.4292161968444,250000,12.4292161968444,-0.108233645374105,0.108601774613984,0.000407787761921095
school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,50,p50,47.5,52.5,1418526,70927,2013,2020,350000,12.7656884334656,342182.807675497,12.7404094863712,-0.0869133187293049,0.121362765261228,0.000455700670817856
school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,75,p75,72.5,77.5,1418526,70926,2013,2020,450000,13.0170028617465,443149.197755407,13.0002263331563,-0.0553876219358659,0.129805011769809,0.000487403593761683
school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,90,p90,87.5,92.5,1418526,70926,2013,2020,7e+05,13.4588356140255,658176.127231199,13.391847809751,-0.0140359196519039,0.151283753953508,0.00056805391678912
direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,10,p10,7.5,12.5,718626,35932,2017,2020,150000,11.9183905730784,150000,11.9183905730784,-0.0852435638970229,0.102982481738814,0.000543278674703042
direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,25,p25,22.5,27.5,718626,35932,2017,2020,250000,12.4292161968444,250000,12.4292161968444,-0.0755894903113732,0.108735260510722,0.000573627157030248
direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,50,p50,47.5,52.5,718626,35931,2017,2020,350000,12.7656884334656,350000,12.7656884334656,-0.0597060365507572,0.113316443127726,0.000597803263957685
direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,75,p75,72.5,77.5,718626,35932,2017,2020,550000,13.2176735572087,522921.07313815,13.1633463933417,-0.0329317809924514,0.117787147480985,0.000621379911418501
direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,90,p90,87.5,92.5,718626,35932,2017,2020,9e+05,13.7101500423064,883791.606367583,13.6891914669847,0.00437936704474616,0.122502776251921,0.000646256963377331
school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,10,p10,7.5,12.5,1418808,70941,2013,2020,250000,12.4292161968444,235744.491901721,12.358993652522,-0.0871178407246359,0.102948773409824,0.000386520491848472
school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,25,p25,22.5,27.5,1418808,70941,2013,2020,250000,12.4292161968444,250000,12.4292161968444,-0.0875401259889425,0.104664557063239,0.000392962390276768
school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,50,p50,47.5,52.5,1418808,70941,2013,2020,350000,12.7656884334656,342046.912222833,12.7399522324225,-0.0613615320931939,0.112986681117351,0.000424207750236661
school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,75,p75,72.5,77.5,1418808,70941,2013,2020,450000,13.0170028617465,443075.936341467,13.0000421235064,-0.0263640344825796,0.113000509818282,0.000424259670003244
school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,90,p90,87.5,92.5,1418808,70941,2013,2020,7e+05,13.4588356140255,658113.079883283,13.3917463917718,0.0198212257879655,0.119468259174546,0.000448542792371144
direct_or_school_median,Direct income + school median fallback,1,admission_exam_taker,exam_taking,Exam taking,3,10,p10,7.5,12.5,720010,36001,2017,2020,150000,11.9183905730784,150000,11.9183905730784,-0.039970835561086,0.110849166343958,0.000584218289876412
direct_or_school_median,Direct income + school median fallback,1,admission_exam_taker,exam_taking,Exam taking,3,25,p25,22.5,27.5,720010,36000,2017,2020,250000,12.4292161968444,250000,12.4292161968444,-0.0274075638678792,0.10896231330867,0.000574281815293789
direct_or_school_median,Direct income + school median fallback,1,admission_exam_taker,exam_taking,Exam taking,3,50,p50,47.5,52.5,720010,36001,2017,2020,350000,12.7656884334656,350000,12.7656884334656,-0.00661548925724747,0.103965391378082,0.000547938114110546
direct_or_school_median,Direct income + school median fallback,1,admission_exam_taker,exam_taking,Exam taking,3,75,p75,72.5,77.5,720010,36000,2017,2020,550000,13.2176735572087,522191.666666667,13.161882665056,0.0160885390734166,0.0954717220016028,0.000503180156105791
direct_or_school_median,Direct income + school median fallback,1,admission_exam_taker,exam_taking,Exam taking,3,90,p90,87.5,92.5,720010,36001,2017,2020,9e+05,13.7101500423064,882694.925140968,13.6879214532753,0.0395982426405963,0.0813899855196138,0.00042895693058973
school_median_for_everyone,School median for everyone,2,admission_exam_taker,exam_taking,Exam taking,3,10,p10,7.5,12.5,1423792,71190,2013,2020,250000,12.4292161968444,235039.331366765,12.3554019151848,-0.0448692200486536,0.111490050111782,0.000417855972681296
school_median_for_everyone,School median for everyone,2,admission_exam_taker,exam_taking,Exam taking,3,25,p25,22.5,27.5,1423792,71189,2013,2020,250000,12.4292161968444,250000,12.4292161968444,-0.0407730454768715,0.109562628204433,0.000410635030472356
school_median_for_everyone,School median for everyone,2,admission_exam_taker,exam_taking,Exam taking,3,50,p50,47.5,52.5,1423792,71189,2013,2020,350000,12.7656884334656,340225.315708888,12.7338232588687,-0.00685896350466197,0.103501091327054,0.000387916705609726
school_median_for_everyone,School median for everyone,2,admission_exam_taker,exam_taking,Exam taking,3,75,p75,72.5,77.5,1423792,71189,2013,2020,450000,13.0170028617465,441925.71886106,12.9971505903498,0.0187052855317443,0.0966720211045396,0.000362321705700747
school_median_for_everyone,School median for everyone,2,admission_exam_taker,exam_taking,Exam taking,3,90,p90,87.5,92.5,1423792,71190,2013,2020,7e+05,13.4588356140255,657113.358617784,13.3901382032261,0.0483611620271254,0.0740476770234102,0.000277524891919819
direct_or_school_median,Direct income + school median fallback,1,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,10,p10,7.5,12.5,720010,36001,2017,2020,150000,11.9183905730784,150000,11.9183905730784,-0.011358086239235,0.0543961117635574,0.000286688699956685
direct_or_school_median,Direct income + school median fallback,1,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,25,p25,22.5,27.5,720010,36000,2017,2020,250000,12.4292161968444,250000,12.4292161968444,-0.00825333257405639,0.0530863566318607,0.000279789666061108
direct_or_school_median,Direct income + school median fallback,1,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,50,p50,47.5,52.5,720010,36001,2017,2020,350000,12.7656884334656,350000,12.7656884334656,-0.00122595973784133,0.0503506637971131,0.000265367613198066
direct_or_school_median,Direct income + school median fallback,1,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,75,p75,72.5,77.5,720010,36000,2017,2020,550000,13.2176735572087,522191.666666667,13.161882665056,0.00653215195225856,0.045895627721294,0.000241891197070754
direct_or_school_median,Direct income + school median fallback,1,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,90,p90,87.5,92.5,720010,36001,2017,2020,9e+05,13.7101500423064,882694.925140968,13.6879214532753,0.0119271629771101,0.0408670313462714,0.000215385175666192
school_median_for_everyone,School median for everyone,2,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,10,p10,7.5,12.5,1423792,71190,2013,2020,250000,12.4292161968444,235039.331366765,12.3554019151848,-0.0145635271364218,0.0547256229905194,0.000205107347268801
school_median_for_everyone,School median for everyone,2,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,25,p25,22.5,27.5,1423792,71189,2013,2020,250000,12.4292161968444,250000,12.4292161968444,-0.0139148804446018,0.0543930080026025,0.000203862164176599
school_median_for_everyone,School median for everyone,2,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,50,p50,47.5,52.5,1423792,71189,2013,2020,350000,12.7656884334656,340225.315708888,12.7338232588687,-0.0005847996936272,0.0497040435015777,0.00018628816917194
school_median_for_everyone,School median for everyone,2,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,75,p75,72.5,77.5,1423792,71189,2013,2020,450000,13.0170028617465,441925.71886106,12.9971505903498,0.00852593661381764,0.0440671955416329,0.000165161556277249
school_median_for_everyone,School median for everyone,2,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,90,p90,87.5,92.5,1423792,71190,2013,2020,7e+05,13.4588356140255,657113.358617784,13.3901382032261,0.0143945926498574,0.0393093196427615,0.000147328250173871
direct_or_school_median,Direct income + school median fallback,1,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,10,p10,7.5,12.5,718647,35932,2017,2020,150000,11.9183905730784,150000,11.9183905730784,0.0089096737170596,0.0682848011432298,0.000360232882729925
direct_or_school_median,Direct income + school median fallback,1,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,25,p25,22.5,27.5,718647,35932,2017,2020,250000,12.4292161968444,250000,12.4292161968444,0.00850865590874789,0.0678711968235936,0.000358050934860449
direct_or_school_median,Direct income + school median fallback,1,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,50,p50,47.5,52.5,718647,35932,2017,2020,350000,12.7656884334656,350000,12.7656884334656,0.00720221573753262,0.0668345468215642,0.00035258214221024
direct_or_school_median,Direct income + school median fallback,1,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,75,p75,72.5,77.5,718647,35932,2017,2020,550000,13.2176735572087,522915.507068908,13.1633352238718,0.00384118803581379,0.0618237569180383,0.000326147983195631
direct_or_school_median,Direct income + school median fallback,1,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,90,p90,87.5,92.5,718647,35932,2017,2020,9e+05,13.7101500423064,883780.4742291,13.6891802975148,-0.00268135492653451,0.0513733443856221,0.000271017380642174
school_median_for_everyone,School median for everyone,2,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,10,p10,7.5,12.5,1418847,70942,2013,2020,250000,12.4292161968444,235748.921654309,12.3590162442084,0.00965268136481833,0.0700935053811921,0.000263163749586622
school_median_for_everyone,School median for everyone,2,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,25,p25,22.5,27.5,1418847,70942,2013,2020,250000,12.4292161968444,250000,12.4292161968444,0.0100303552673174,0.0708961929636971,0.000266177413588869
school_median_for_everyone,School median for everyone,2,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,50,p50,47.5,52.5,1418847,70942,2013,2020,350000,12.7656884334656,342048.433931944,12.7399573381207,0.00762213942006279,0.0680883491714182,0.000255635456861051
school_median_for_everyone,School median for everyone,2,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,75,p75,72.5,77.5,1418847,70942,2013,2020,450000,13.0170028617465,443061.937921119,13.000006937248,0.00536440000605998,0.0622078120792312,0.000233557174681453
school_median_for_everyone,School median for everyone,2,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,90,p90,87.5,92.5,1418847,70942,2013,2020,7e+05,13.4588356140255,658105.212708974,13.3917337397602,-0.00281335587938743,0.047153109453572,0.000177034791183379
direct_or_school_median,Direct income + school median fallback,1,log_program_income_clp_m1,program_income,Program income,6,10,p10,7.5,12.5,718647,35932,2017,2020,150000,11.9183905730784,150000,11.9183905730784,-0.018035881556564,0.0549867333677621,0.000290079624474891
direct_or_school_median,Direct income + school median fallback,1,log_program_income_clp_m1,program_income,Program income,6,25,p25,22.5,27.5,718647,35932,2017,2020,250000,12.4292161968444,250000,12.4292161968444,-0.0143138056300841,0.0551597945014964,0.000290992599398298
direct_or_school_median,Direct income + school median fallback,1,log_program_income_clp_m1,program_income,Program income,6,50,p50,47.5,52.5,718647,35932,2017,2020,350000,12.7656884334656,350000,12.7656884334656,-0.00894376764695435,0.0559916207450516,0.00029538085506617
direct_or_school_median,Direct income + school median fallback,1,log_program_income_clp_m1,program_income,Program income,6,75,p75,72.5,77.5,718647,35932,2017,2020,550000,13.2176735572087,522915.507068908,13.1633352238718,-0.00281776506851912,0.0547233807509249,0.000288690321573668
direct_or_school_median,Direct income + school median fallback,1,log_program_income_clp_m1,program_income,Program income,6,90,p90,87.5,92.5,718647,35932,2017,2020,9e+05,13.7101500423064,883780.4742291,13.6891802975148,0.0028876440488024,0.0525220100891682,0.000277077106243681
school_median_for_everyone,School median for everyone,2,log_program_income_clp_m1,program_income,Program income,6,10,p10,7.5,12.5,1418847,70942,2013,2020,250000,12.4292161968444,235748.921654309,12.3590162442084,-0.0188250761942124,0.0544738143890682,0.000204520135937722
school_median_for_everyone,School median for everyone,2,log_program_income_clp_m1,program_income,Program income,6,25,p25,22.5,27.5,1418847,70942,2013,2020,250000,12.4292161968444,250000,12.4292161968444,-0.0173195765171297,0.054831744654959,0.000205863973292554
school_median_for_everyone,School median for everyone,2,log_program_income_clp_m1,program_income,Program income,6,50,p50,47.5,52.5,1418847,70942,2013,2020,350000,12.7656884334656,342048.433931944,12.7399573381207,-0.00687778763249315,0.0562857754795836,0.00021132308397252
school_median_for_everyone,School median for everyone,2,log_program_income_clp_m1,program_income,Program income,6,75,p75,72.5,77.5,1418847,70942,2013,2020,450000,13.0170028617465,443061.937921119,13.000006937248,-0.000184645061060034,0.0548601872167914,0.000205970759951018
school_median_for_everyone,School median for everyone,2,log_program_income_clp_m1,program_income,Program income,6,90,p90,87.5,92.5,1418847,70942,2013,2020,7e+05,13.4588356140255,658105.212708974,13.3917337397602,0.00897498090737619,0.0496693981190275,0.000186482113822507
direct_or_school_median,Direct income + school median fallback,1,program_certified_years_m1,program_certified_years,Program-certified years,7,10,p10,7.5,12.5,718647,35932,2017,2020,150000,11.9183905730784,150000,11.9183905730784,-0.0122637910602092,0.102670934874078,0.000541635125577758
direct_or_school_median,Direct income + school median fallback,1,program_certified_years_m1,program_certified_years,Program-certified years,7,25,p25,22.5,27.5,718647,35932,2017,2020,250000,12.4292161968444,250000,12.4292161968444,-0.0145325065118415,0.103768819422936,0.000547426957864278
direct_or_school_median,Direct income + school median fallback,1,program_certified_years_m1,program_certified_years,Program-certified years,7,50,p50,47.5,52.5,718647,35932,2017,2020,350000,12.7656884334656,350000,12.7656884334656,-0.0163600734791409,0.105789119183709,0.000558084943164334
