cohort_gr8,income_measure_key,income_measure_label,income_measure_order,outcome,outcome_key,outcome_label,plot_order,rho,n_students,mean_log_income_4to,mean_attended_va_eb,sd_log_income_4to,sd_attended_va_eb,n_students_with_income_and_rbd,va_match_rate_among_income_rbd
2017,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,0.509930269174522,187315,12.7752873666235,-0.0273901154062659,0.927306372387445,0.208327444360049,187754,0.99766183410207
2018,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,0.502159199008914,201681,12.8186856351212,-0.0294600884780336,0.894152064235847,0.206416693584423,202043,0.998208302193098
2019,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,0.498518817628145,202873,12.8876029451503,-0.0296261174573682,0.878533253140358,0.206064605267166,203184,0.998469367666745
2020,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,0.494773862134015,206699,12.9433051167465,-0.0290367496062258,0.856498983470652,0.206209954028425,207113,0.998001091191765
2013,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,0.626888007659337,193870,12.8466557076697,-0.0333916346178748,0.685208440511911,0.207783614160659,197202,0.983103619638746
2014,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,0.617663724295835,201208,12.8501520474779,-0.0341140824996048,0.685532006703134,0.205384881200319,204007,0.98627988255305
2015,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,0.623648961665893,197501,12.8645785534914,-0.0313015149173595,0.69208335141792,0.207457752922126,199483,0.990064316257526
2016,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,0.619750515915832,198143,12.869073880936,-0.0304003423191899,0.695175247923997,0.207426465464014,199123,0.995078418866731
2017,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,0.624458524623425,184836,12.8932302469677,-0.0264110648646296,0.701388233583136,0.209213942637569,185256,0.997732866951678
2018,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,0.619748174773027,199313,12.8877714337931,-0.0286201884862869,0.68957795852357,0.207131509942715,199665,0.998237047053815
2019,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,0.623794181637179,200799,12.8885587716496,-0.0288868560793457,0.687092014584806,0.206723254665896,201100,0.998503232222775
2020,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,0.619709316981531,204536,12.8931055499616,-0.0282743508721643,0.684741773598454,0.206866691499391,204934,0.998057911327549
2017,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,0.50649317958666,187334,12.7752374951951,-0.0233010389217998,0.927298388394723,0.147224171126339,187754,0.997763030348221
2018,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,0.494164948099614,201702,12.8186026454426,-0.0247594941528708,0.894164289699153,0.145721563449136,202043,0.998312240463664
2019,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,0.494625146234068,202888,12.8875943805608,-0.0245644490454745,0.878491952510963,0.145846895640001,203184,0.998543192377353
2020,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,0.492999225712262,206720,12.9432191498261,-0.0245653756176577,0.856537557010381,0.145195063737886,207113,0.99810248511682
2013,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,0.599465177941493,193933,12.8465249883234,-0.0299109330430285,0.685163333778615,0.146867799162955,197202,0.983423089015324
2014,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,0.593065242956552,201268,12.8500191975132,-0.0292925549716992,0.685494873954596,0.14631408425768,204007,0.986573990108183
2015,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,0.599434820674974,197533,12.8645159459378,-0.027165594434336,0.69205595166937,0.146369057225769,199483,0.990224730929453
2016,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,0.598118034242867,198196,12.868928988939,-0.0261026352616821,0.695170788041497,0.146135069202757,199123,0.995344586009652
2017,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,0.601499946184364,184854,12.8931803036794,-0.0225481730196534,0.701382190531108,0.147631971527694,185256,0.997830029796606
2018,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,0.593489888187532,199333,12.8877079735515,-0.0241194828111987,0.6895774619311,0.146061491047735,199665,0.998337214834848
2019,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,0.596302708526471,200814,12.8885235314445,-0.0239890473482126,0.687082920079582,0.146150856481376,201100,0.998577821979115
2020,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,0.595666208274177,204557,12.8930499588764,-0.0239826122216176,0.684734447510202,0.145499220117424,204934,0.99816038334293
2017,direct_or_school_median,Direct income + school median fallback,1,admission_exam_taker,exam_taking,Exam taking,3,0.314672157262587,187728,12.7737505112515,-0.00151566884275405,0.927537311199514,0.103575855171637,187754,0.999861520926319
2018,direct_or_school_median,Direct income + school median fallback,1,admission_exam_taker,exam_taking,Exam taking,3,0.304720158603525,202030,12.8174520991248,-0.00167095978023787,0.894414669885793,0.102964213411714,202043,0.999935657261078
2019,direct_or_school_median,Direct income + school median fallback,1,admission_exam_taker,exam_taking,Exam taking,3,0.306479989760036,203178,12.8865334266367,-0.00109486357688224,0.87879388066622,0.102297110529392,203184,0.999970470115757
2020,direct_or_school_median,Direct income + school median fallback,1,admission_exam_taker,exam_taking,Exam taking,3,0.307756723268914,207105,12.9421129777525,-0.00243893170092814,0.856643424497764,0.104184584231699,207113,0.999961373742836
2013,school_median_for_everyone,School median for everyone,2,admission_exam_taker,exam_taking,Exam taking,3,0.331002131942457,195007,12.8446043832924,-0.0126763733793687,0.684449725605566,0.107981032675588,197202,0.988869281244612
2014,school_median_for_everyone,School median for everyone,2,admission_exam_taker,exam_taking,Exam taking,3,0.331757887163636,202366,12.8481956286025,-0.0109507342653843,0.684864354596046,0.107583067982567,204007,0.991956158367115
2015,school_median_for_everyone,School median for everyone,2,admission_exam_taker,exam_taking,Exam taking,3,0.330485693893797,198472,12.8628573690004,-0.0080342798441075,0.691521737202075,0.106344556875676,199483,0.994931898958809
2016,school_median_for_everyone,School median for everyone,2,admission_exam_taker,exam_taking,Exam taking,3,0.326369082749151,198852,12.8675274574465,-0.00577581799163724,0.694780000823521,0.10514569597038,199123,0.998639032156004
