predictor,predictor_label,outcome,outcome_label,treatment,instrument,risk_control,beta,se,z_stat,p_value,n_obs,first_stage_f,p90_p10_predictor,implied_p90_p10_effect
math,Math VA,math,Math score,d_math_adj_eb,z_math_adj_eb,expected_math_adj_eb,0.883729682006546,0.0725667738861095,12.1781586073197,4.06352780885753e-34,93438,3229.95832206819,0.492036601084492,0.43482734901198
math,Math VA,field,High-premium field,d_math_adj_eb,z_math_adj_eb,expected_math_adj_eb,-0.184137006737128,0.0541692308213593,-3.39929151559083,0.000675606651978943,90312,3108.26941449794,0.492036601084492,-0.0906021469288087
field,High-premium-field VA,math,Math score,d_highpay_adj_eb,z_highpay_adj_eb,expected_highpay_adj_eb,0.0994146368598372,0.125810770471825,0.790191781570092,0.42941577492547,93464,5225.10514825612,0.123228130861863,0.0122506798805486
field,High-premium-field VA,field,High-premium field,d_highpay_adj_eb,z_highpay_adj_eb,expected_highpay_adj_eb,0.802515221753,0.0997459319376969,8.04559350103887,8.58284425370836e-16,90338,5004.92124124193,0.123228130861863,0.0988924507648156
field,High-premium-field VA,income,Log projected income,d_highpay_adj_eb,z_highpay_adj_eb,expected_highpay_adj_eb,0.376505708973088,0.0959814642958417,3.92269186280168,8.75651121424686e-05,95650,5387.18064303622,0.123228130861863,0.0463960947755742
institution,High-premium-institution VA,income,Log projected income,d_highinst_adj_eb,z_highinst_adj_eb,expected_highinst_adj_eb,0.244051074472736,0.137415307972509,1.77601082494798,0.0757311329558831,95651,1321.09130560104,0.233561234085609,0.0570008701337711
math,Math VA,income,Log projected income,d_math_adj_eb,z_math_adj_eb,expected_math_adj_eb,-0.11531465428925,0.0514108981210866,-2.24300019069211,0.0248968022074039,95622,3300.38522176804,0.492036601084492,-0.0567390305517158
verbal,Verbal VA,income,Log projected income,d_leng_adj_eb,z_leng_adj_eb,expected_leng_adj_eb,-0.216265616048076,0.0579649585743793,-3.73097163125838,0.000190742703688449,95623,4321.02166673947,0.373898002204025,-0.0808612817857985
income,Projected-income VA,income,Log projected income,d_program_income_full_adj_eb,z_program_income_full_adj_eb,expected_program_income_full_adj_eb,0.311071039322201,0.103026395667943,3.0193334174748,0.00253331565334852,95651,5729.82436286965,0.183789356723761,0.0571715462124191
verbal,Verbal VA,math,Math score,d_leng_adj_eb,z_leng_adj_eb,expected_leng_adj_eb,0.727003080579387,0.0802487423428283,9.05937039453626,1.31205684001151e-19,93438,4227.04989702782,0.373898002204025,0.271824999424805
institution,High-premium-institution VA,math,Math score,d_highinst_adj_eb,z_highinst_adj_eb,expected_highinst_adj_eb,0.189102935039884,0.19096746172127,0.990236416902754,0.322058576525136,93465,1298.56308104171,0.233561234085609,0.044167114877126
income,Projected-income VA,math,Math score,d_program_income_full_adj_eb,z_program_income_full_adj_eb,expected_program_income_full_adj_eb,0.45877790268829,0.139319094075651,3.29300090366056,0.000991241560213857,93465,5647.31205201226,0.183789356723761,0.0843184956141571
verbal,Verbal VA,field,High-premium field,d_leng_adj_eb,z_leng_adj_eb,expected_leng_adj_eb,-0.284511583499121,0.0609134019322119,-4.67075511257347,3.00094528228569e-06,90313,4038.0306504925,0.373898002204025,-0.106378312674225
institution,High-premium-institution VA,field,High-premium field,d_highinst_adj_eb,z_highinst_adj_eb,expected_highinst_adj_eb,0.248873016399017,0.142200050740622,1.75016123484351,0.0800904958325022,90338,1219.6493082935,0.233561234085609,0.0581270888407624
income,Projected-income VA,field,High-premium field,d_program_income_full_adj_eb,z_program_income_full_adj_eb,expected_program_income_full_adj_eb,0.156474488687084,0.108649985659693,1.44017035747417,0.149819207455441,90338,5417.12103872811,0.183789356723761,0.0287583456194786
