variable_1,variable_2,weighted_correlation
math_va,math_va,1
math_va,highinst_va,0.573861188988714
math_va,highpay_va,0.20373240010334
math_va,income_va,0.576025217057883
math_va,math_va_joint,1
math_va,highinst_va_joint,0.573861188988714
math_va,highpay_va_joint,0.20373240010334
highinst_va,math_va,0.573861188988714
highinst_va,highinst_va,1
highinst_va,highpay_va,0.164479794863082
highinst_va,income_va,0.543086555152919
highinst_va,math_va_joint,0.573861188988714
highinst_va,highinst_va_joint,1
highinst_va,highpay_va_joint,0.164479794863082
highpay_va,math_va,0.20373240010334
highpay_va,highinst_va,0.164479794863082
highpay_va,highpay_va,1
highpay_va,income_va,0.56146163556723
highpay_va,math_va_joint,0.20373240010334
highpay_va,highinst_va_joint,0.164479794863082
highpay_va,highpay_va_joint,1
income_va,math_va,0.576025217057883
income_va,highinst_va,0.543086555152919
income_va,highpay_va,0.561461635567229
income_va,income_va,1
income_va,math_va_joint,0.576025217057883
income_va,highinst_va_joint,0.543086555152919
income_va,highpay_va_joint,0.561461635567229
math_va_joint,math_va,1
math_va_joint,highinst_va,0.573861188988714
math_va_joint,highpay_va,0.20373240010334
math_va_joint,income_va,0.576025217057883
math_va_joint,math_va_joint,1
math_va_joint,highinst_va_joint,0.573861188988714
math_va_joint,highpay_va_joint,0.20373240010334
highinst_va_joint,math_va,0.573861188988714
highinst_va_joint,highinst_va,1
highinst_va_joint,highpay_va,0.164479794863082
highinst_va_joint,income_va,0.543086555152919
highinst_va_joint,math_va_joint,0.573861188988714
highinst_va_joint,highinst_va_joint,1
highinst_va_joint,highpay_va_joint,0.164479794863082
highpay_va_joint,math_va,0.20373240010334
highpay_va_joint,highinst_va,0.164479794863082
highpay_va_joint,highpay_va,1
highpay_va_joint,income_va,0.56146163556723
highpay_va_joint,math_va_joint,0.20373240010334
highpay_va_joint,highinst_va_joint,0.164479794863082
highpay_va_joint,highpay_va_joint,1
