variable_1,variable_2,weighted_correlation
math_va,math_va,1
math_va,highinst_va,0.573861188988714
math_va,highpay_va,0.20373240010334
math_va,income_va,0.576025217057883
math_va,math_highinst_highpay_math_orth_va,1
math_va,math_highinst_highpay_highinst_orth_va,7.54271704974396e-16
math_va,math_highinst_highpay_highpay_orth_va,3.39209104840946e-16
highinst_va,math_va,0.573861188988714
highinst_va,highinst_va,1
highinst_va,highpay_va,0.164479794863082
highinst_va,income_va,0.543086555152919
highinst_va,math_highinst_highpay_math_orth_va,0.573861188988714
highinst_va,math_highinst_highpay_highinst_orth_va,0.818952584569131
highinst_va,math_highinst_highpay_highpay_orth_va,9.15016980279869e-17
highpay_va,math_va,0.20373240010334
highpay_va,highinst_va,0.164479794863082
highpay_va,highpay_va,1
highpay_va,income_va,0.56146163556723
highpay_va,math_highinst_highpay_math_orth_va,0.20373240010334
highpay_va,math_highinst_highpay_highinst_orth_va,0.0580811128757595
highpay_va,math_highinst_highpay_highpay_orth_va,0.977302252875356
income_va,math_va,0.576025217057883
income_va,highinst_va,0.543086555152919
income_va,highpay_va,0.561461635567229
income_va,income_va,1
income_va,math_highinst_highpay_math_orth_va,0.576025217057883
income_va,math_highinst_highpay_highinst_orth_va,0.259512019632268
income_va,math_highinst_highpay_highpay_orth_va,0.438998157846077
math_highinst_highpay_math_orth_va,math_va,1
math_highinst_highpay_math_orth_va,highinst_va,0.573861188988714
math_highinst_highpay_math_orth_va,highpay_va,0.20373240010334
math_highinst_highpay_math_orth_va,income_va,0.576025217057883
math_highinst_highpay_math_orth_va,math_highinst_highpay_math_orth_va,1
math_highinst_highpay_math_orth_va,math_highinst_highpay_highinst_orth_va,7.54263836355243e-16
math_highinst_highpay_math_orth_va,math_highinst_highpay_highpay_orth_va,3.39210069344195e-16
math_highinst_highpay_highinst_orth_va,math_va,7.56401054847752e-16
math_highinst_highpay_highinst_orth_va,highinst_va,0.818952584569131
math_highinst_highpay_highinst_orth_va,highpay_va,0.0580811128757595
math_highinst_highpay_highinst_orth_va,income_va,0.259512019632268
math_highinst_highpay_highinst_orth_va,math_highinst_highpay_math_orth_va,7.56368565065444e-16
math_highinst_highpay_highinst_orth_va,math_highinst_highpay_highinst_orth_va,1
math_highinst_highpay_highinst_orth_va,math_highinst_highpay_highpay_orth_va,-1.32189129818026e-16
math_highinst_highpay_highpay_orth_va,math_va,3.41473115467832e-16
math_highinst_highpay_highpay_orth_va,highinst_va,8.96386785273038e-17
math_highinst_highpay_highpay_orth_va,highpay_va,0.977302252875356
math_highinst_highpay_highpay_orth_va,income_va,0.438998157846077
math_highinst_highpay_highpay_orth_va,math_highinst_highpay_math_orth_va,3.41486940014404e-16
math_highinst_highpay_highpay_orth_va,math_highinst_highpay_highinst_orth_va,-1.33201616633442e-16
math_highinst_highpay_highpay_orth_va,math_highinst_highpay_highpay_orth_va,1
