variable_1,variable_2,weighted_correlation
program_income_full_va_weighted_centered,program_income_full_va_weighted_centered,1
program_income_full_va_weighted_centered,exam_taking_va_weighted_centered,0.192601670138311
program_income_full_va_weighted_centered,math_va_weighted_centered,0.512650922448644
program_income_full_va_weighted_centered,institution_income_va_weighted_centered,0.854822542659163
program_income_full_va_weighted_centered,area_income_va_weighted_centered,0.937778040436037
program_income_full_va_weighted_centered,exam_taking_va_orthogonalized,0.192601670138311
program_income_full_va_weighted_centered,math_va_orthogonalized,0.476983198449159
program_income_full_va_weighted_centered,institution_income_va_orthogonalized,0.229050334560164
program_income_full_va_weighted_centered,area_income_va_orthogonalized,0.797729704371916
exam_taking_va_weighted_centered,program_income_full_va_weighted_centered,0.192601670138311
exam_taking_va_weighted_centered,exam_taking_va_weighted_centered,1
exam_taking_va_weighted_centered,math_va_weighted_centered,0.296722746796034
exam_taking_va_weighted_centered,institution_income_va_weighted_centered,0.203828122007989
exam_taking_va_weighted_centered,area_income_va_weighted_centered,0.238617405260795
exam_taking_va_weighted_centered,exam_taking_va_orthogonalized,1
exam_taking_va_weighted_centered,math_va_orthogonalized,-7.39192693976064e-17
exam_taking_va_weighted_centered,institution_income_va_orthogonalized,-3.24154528084776e-16
exam_taking_va_weighted_centered,area_income_va_orthogonalized,3.23423775801832e-16
math_va_weighted_centered,program_income_full_va_weighted_centered,0.512650922448644
math_va_weighted_centered,exam_taking_va_weighted_centered,0.296722746796034
math_va_weighted_centered,math_va_weighted_centered,1
math_va_weighted_centered,institution_income_va_weighted_centered,0.370098300331993
math_va_weighted_centered,area_income_va_weighted_centered,0.418352077437936
math_va_weighted_centered,exam_taking_va_orthogonalized,0.296722746796034
math_va_weighted_centered,math_va_orthogonalized,0.954963670269093
math_va_weighted_centered,institution_income_va_orthogonalized,1.62432114146768e-15
math_va_weighted_centered,area_income_va_orthogonalized,1.40903518303136e-15
institution_income_va_weighted_centered,program_income_full_va_weighted_centered,0.854822542659163
institution_income_va_weighted_centered,exam_taking_va_weighted_centered,0.203828122007989
institution_income_va_weighted_centered,math_va_weighted_centered,0.370098300331993
institution_income_va_weighted_centered,institution_income_va_weighted_centered,1
institution_income_va_weighted_centered,area_income_va_weighted_centered,0.739416396368517
institution_income_va_weighted_centered,exam_taking_va_orthogonalized,0.203828122007989
institution_income_va_weighted_centered,math_va_orthogonalized,0.32421951717625
institution_income_va_weighted_centered,institution_income_va_orthogonalized,0.66977813206159
institution_income_va_weighted_centered,area_income_va_orthogonalized,0.636186336832838
area_income_va_weighted_centered,program_income_full_va_weighted_centered,0.937778040436037
area_income_va_weighted_centered,exam_taking_va_weighted_centered,0.238617405260795
area_income_va_weighted_centered,math_va_weighted_centered,0.418352077437936
area_income_va_weighted_centered,institution_income_va_weighted_centered,0.739416396368517
area_income_va_weighted_centered,area_income_va_weighted_centered,1
area_income_va_weighted_centered,exam_taking_va_orthogonalized,0.238617405260795
area_income_va_weighted_centered,math_va_orthogonalized,0.363939358465518
area_income_va_weighted_centered,institution_income_va_orthogonalized,8.51363330942548e-16
area_income_va_weighted_centered,area_income_va_orthogonalized,0.900338756950023
exam_taking_va_orthogonalized,program_income_full_va_weighted_centered,0.192601670138311
exam_taking_va_orthogonalized,exam_taking_va_weighted_centered,1
exam_taking_va_orthogonalized,math_va_weighted_centered,0.296722746796034
exam_taking_va_orthogonalized,institution_income_va_weighted_centered,0.203828122007989
exam_taking_va_orthogonalized,area_income_va_weighted_centered,0.238617405260795
exam_taking_va_orthogonalized,exam_taking_va_orthogonalized,1
exam_taking_va_orthogonalized,math_va_orthogonalized,-7.39192693976064e-17
exam_taking_va_orthogonalized,institution_income_va_orthogonalized,-3.24154528084776e-16
exam_taking_va_orthogonalized,area_income_va_orthogonalized,3.23423775801832e-16
math_va_orthogonalized,program_income_full_va_weighted_centered,0.476983198449159
math_va_orthogonalized,exam_taking_va_weighted_centered,-7.5124136908635e-17
math_va_orthogonalized,math_va_weighted_centered,0.954963670269093
math_va_orthogonalized,institution_income_va_weighted_centered,0.32421951717625
math_va_orthogonalized,area_income_va_weighted_centered,0.363939358465518
math_va_orthogonalized,exam_taking_va_orthogonalized,-7.5124136908635e-17
math_va_orthogonalized,math_va_orthogonalized,1
math_va_orthogonalized,institution_income_va_orthogonalized,1.80235861902249e-15
math_va_orthogonalized,area_income_va_orthogonalized,1.37435785462881e-15
institution_income_va_orthogonalized,program_income_full_va_weighted_centered,0.229050334560164
institution_income_va_orthogonalized,exam_taking_va_weighted_centered,-3.24331227628662e-16
institution_income_va_orthogonalized,math_va_weighted_centered,1.62360471833273e-15
institution_income_va_orthogonalized,institution_income_va_weighted_centered,0.66977813206159
institution_income_va_orthogonalized,area_income_va_weighted_centered,8.52580879790874e-16
institution_income_va_orthogonalized,exam_taking_va_orthogonalized,-3.24331227628662e-16
institution_income_va_orthogonalized,math_va_orthogonalized,1.8042233500897e-15
institution_income_va_orthogonalized,institution_income_va_orthogonalized,1
institution_income_va_orthogonalized,area_income_va_orthogonalized,3.03427576938174e-16
area_income_va_orthogonalized,program_income_full_va_weighted_centered,0.797729704371916
area_income_va_orthogonalized,exam_taking_va_weighted_centered,3.23781012356951e-16
area_income_va_orthogonalized,math_va_weighted_centered,1.40712024796934e-15
area_income_va_orthogonalized,institution_income_va_weighted_centered,0.636186336832838
area_income_va_orthogonalized,area_income_va_weighted_centered,0.900338756950023
area_income_va_orthogonalized,exam_taking_va_orthogonalized,3.23781012356951e-16
area_income_va_orthogonalized,math_va_orthogonalized,1.37357594807863e-15
area_income_va_orthogonalized,institution_income_va_orthogonalized,3.02905962830998e-16
area_income_va_orthogonalized,area_income_va_orthogonalized,1
