school_rbd,exam_taking_va,area_income_va,program_income_full_va,institution_income_va,math_va,exam_taking_n,area_income_n,program_income_full_n,institution_income_n,math_n,complete_decomposition_input,decomposition_order,program_income_full_component_exam_taking_va,program_income_full_component_math_va,program_income_full_component_area_income_va,program_income_full_component_institution_income_va,program_income_full_component_residual_va,program_income_full_component_sum_va,reconstruction_error
1,-0.209150079188134,0.0045951818330543,0.0054347963171835,0.0240361035975013,-0.0996487509669161,318,125,125,125,119,TRUE,exam_math_area_institution,-0.028066987020146,0.0100042986878647,0.0293415486298674,0.00957468173325122,-0.0154188323563268,0.00543470967451055,-8.67361737988404e-19
3,-0.0418816803343554,-0.0118595084503176,-0.0177153721118902,-0.0189368326144964,-0.0887969106826794,6,2,2,2,2,TRUE,exam_math_area_institution,-0.00798911263924129,-0.00416390979008897,-0.00208152254788989,-0.00325041109766108,-0.000230502679681926,-0.0177154587545632,0
4,0.118699027726122,0.0361396557517976,0.0144194316048091,0.0525049121210373,-0.0078223990245143,849,795,795,795,789,TRUE,exam_math_area_institution,0.0112860122888896,-0.00943255180057612,0.0356333289916685,0.009676333843626,-0.0327437783614718,0.0144193449621361,1.73472347597681e-18
5,0.0805872051935758,0.043059500377932,0.0272762728923685,0.0554844946980476,-0.0263717143911494,428,372,372,372,372,TRUE,exam_math_area_institution,0.00671130247831311,-0.00810309642006963,0.0477303766543885,0.00893172735068728,-0.0279941238136237,0.0272761862496955,-3.46944695195361e-18
7,-0.0346016715352076,-0.0337139800654997,-0.0360761984073711,-0.0033306597579831,-0.2402814147129,728,449,449,449,442,TRUE,exam_math_area_institution,-0.00711526495992593,-0.0227274427191974,-0.0156749207068126,0.0107828132951277,-0.00134146995923579,-0.0360762850500441,0
8,-0.0065370238623261,-0.0158780072236691,-0.0299741073834693,0.0224827977451698,-0.002865335547609,167,106,106,106,104,TRUE,exam_math_area_institution,-0.00374655649866396,0.00272042228039897,-0.0160234915487058,0.0142085111468255,-0.027133079405997,-0.0299741940261423,0
15,0.0475880429510321,-0.0652957872795659,-0.0791684827591251,-0.0212689174083387,-0.139814781475206,85,63,63,63,63,TRUE,exam_math_area_institution,0.00275028510311797,-0.018453322389225,-0.0657872551292977,0.0126133052033506,-0.0102915821897439,-0.079168569401798,0
22,-0.0575471081849559,,,,,1,,,,,FALSE,,,,,,,,
25,0.0969938957906726,0.0325479281608405,0.0307769549429836,0.0570398955603879,-0.0419571296341978,107,85,85,85,83,TRUE,exam_math_area_institution,0.00868066115617576,-0.0114592311240838,0.0357244857248325,0.0129040584384276,-0.0150731058950414,0.0307768683003106,3.46944695195361e-18
28,-0.273388139880916,-0.0068686931867898,-0.0120249947151359,-0.0067155651272195,0.0492415360457394,27,2,2,2,1,TRUE,exam_math_area_institution,-0.0357777304833515,0.033522412976745,0.00869611507407861,6.17045895641596e-05,-0.0185275835148452,-0.0120250813578089,1.73472347597681e-18
32,-0.0001799358868074,0.0258216209743998,0.0312906548296226,0.0606228207542118,-0.178045652723901,72,47,47,47,45,TRUE,exam_math_area_institution,-0.00298349058379022,-0.0185564634546171,0.0455754744989904,0.0175411928214313,-0.0102861450950647,0.0312905681869497,0
45,0.086957752786625,0.0406104414625018,0.0327685735165597,0.0376538696010381,0.0150443270875534,227,208,208,208,207,TRUE,exam_math_area_institution,0.00747598400325931,-0.00380006628304452,0.0411597598920816,0.00221784360903948,-0.0142850343474492,0.0327684868738867,0
50,0.163129274300061,-0.0103817261461727,-0.0148939678654756,0.0019333879559028,0.0939689205604996,193,179,179,179,178,TRUE,exam_math_area_institution,0.0166191470324342,-0.00151429837492747,-0.0291828591808596,0.00308008117333202,-0.00389612515812771,-0.0148940545081486,1.73472347597681e-18
52,0.0372696026482095,-0.0160877884681943,-0.028388503463374,0.0041550729514112,-0.0930968013192692,1331,1055,1055,1055,1036,TRUE,exam_math_area_institution,0.00151172271101879,-0.0119826151431921,-0.0120974363077078,0.0072221009985254,-0.0130423623646912,-0.028388590106047,0
56,0.0588221106770381,0.075281938600794,0.0799740292889243,0.0885977300235926,0.193932689410934,287,269,269,269,269,TRUE,exam_math_area_institution,0.00409875380452821,0.0199263509154856,0.068780496935421,0.0110454809834681,-0.0238771399926515,0.0799739426462514,0
59,0.0726134731201237,0.0077867767119579,0.0084014897856832,-0.0012600381651466,0.190083287160044,131,127,127,127,127,TRUE,exam_math_area_institution,0.00575418450495513,0.0181978672141748,-0.00964605106809235,-0.004192804957602,-0.00171179255042533,0.00840140314301024,0
60,0.144265924293993,-0.0234412486541185,-0.0328357847763497,-0.0086831383960033,-0.022790638726971,256,245,245,245,243,TRUE,exam_math_area_institution,0.0143549060017303,-0.0135618839465463,-0.0336017498108908,0.00360105656437568,-0.00362820022769157,-0.0328358714190227,0
67,0.0641106814661065,0.0514890033043708,0.059547513929288,0.0856369975924065,0.0741896857844953,156,148,148,148,146,TRUE,exam_math_area_institution,0.00473356145908261,0.00529559527433321,0.0505569788385119,0.0179864198581288,-0.0190251281434415,0.0595474272866151,-6.93889390390723e-18
69,0.0689028887925771,0.0582558975776791,0.0714469560448885,0.0452060812065539,0.548447327802635,162,158,158,158,157,TRUE,exam_math_area_institution,0.00530878868291847,0.0608652593965231,0.0201557464568579,-0.00323932587055058,-0.0116435992635334,0.0714468694022156,0
72,-0.0101274740698137,-0.0018589860012185,-0.004131717278142,8.77319724649e-05,-0.141335930757123,2,1,1,1,1,TRUE,exam_math_area_institution,-0.00417753215653372,-0.0133020423182387,0.0114362943197378,0.00152055540011264,0.000390920834107047,-0.00413180392081496,0
78,0.0363027227374393,-0.021032994144876,-0.032173938260881,-0.0163921975125775,-0.0471973464852701,25,22,22,22,22,TRUE,exam_math_area_institution,0.00139566436692694,-0.00647234368570038,-0.0213938248201323,0.000188354505903087,-0.00589187527055128,-0.032174024903554,0
97,-0.174687133242576,0.0790759199362237,0.081890226267825,0.0494006289356316,-0.110146290185357,197,95,95,95,92,TRUE,exam_math_area_institution,-0.0239302660122783,0.00558128950023448,0.113618430042235,-0.00359565829120185,-0.00978365561383715,0.0818901396251521,0
103,-0.0242514472403086,-0.0427510469924805,-0.0601607066700013,-0.0643132272573009,-0.121815778090473,138,98,98,98,93,TRUE,exam_math_area_institution,-0.00587288741203756,-0.00969203946892325,-0.0362650681424717,-0.0118049185771589,0.00347412028791716,-0.0601607933126743,6.93889390390723e-18
106,-0.312370149947154,0.0010175778785153,0.0012130347944452,-0.0186266120638522,-0.231658728234902,280,89,89,89,82,TRUE,exam_math_area_institution,-0.0404568922771418,0.00394722915323676,0.0429144152856584,-0.00553121577653596,0.000339411766554874,0.00121294815177224,0
107,0.0011438638719386,0.06392117313545,0.0636196489754342,0.0182917542392788,-0.11740500132726,131,92,92,92,88,TRUE,exam_math_area_institution,-0.00282458976663821,-0.0115167601315219,0.0845458111820737,-0.0119427949081638,0.00535789595701148,0.0636195623327613,0
108,-0.177700490981809,-0.0086940220275711,-0.0103166763092427,0.0303171396450218,-0.152186463846987,273,119,119,119,114,TRUE,exam_math_area_institution,-0.0242919710239102,0.000894456814811882,0.0160425196382947,0.0164995259681448,-0.0194612943492568,-0.0103167629519157,0
109,-0.0607299559671893,-0.0193018097415802,-0.0302160638079779,-0.0408633667105922,-0.249695576848696,177,105,105,105,101,TRUE,exam_math_area_institution,-0.0102515442344855,-0.02142594633779,0.00349579612867315,-0.00882949990642088,0.00679504389937246,-0.0302161504506509,3.46944695195361e-18
110,0.0088784935871396,-0.0103352066693317,-0.0267193389250699,-0.04269053454679,-0.0421751193944949,159,115,115,115,113,TRUE,exam_math_area_institution,-0.00189617217629364,-0.00334613360236965,-0.00756619831541488,-0.0137799923206919,-0.000130929152972754,-0.0267194255677429,0
124,-0.159077723356744,0.0732032673952268,0.0657482863932607,-0.0220962810427643,-0.225759169336809,752,359,359,359,342,TRUE,exam_math_area_institution,-0.0220566080290883,-0.00951496872394093,0.1150000938773,-0.0301275783576011,0.0124472609839179,0.0657481997505878,0
125,0.0499870141569321,0.0968754468935558,0.108755730423961,0.0595874568548621,-0.0342857122409779,139,101,101,101,100,TRUE,exam_math_area_institution,0.00303824291729884,-0.00621137190821317,0.112498150102133,-0.00617920279882399,0.00560982546889349,0.108755643781288,0
127,0.106599896606627,0.0378695984421189,0.0315026296789669,-0.009113916759239,-0.124504145788864,277,258,258,258,254,TRUE,exam_math_area_institution,0.00983370667467924,-0.0220957293075622,0.0477819311010252,-0.0151491346649753,0.011131769233127,0.031502543036294,0
129,-0.105928815266722,0.0152225959588095,0.0167409396634222,-0.0008318350144108,-0.0480680619286286,31,15,15,15,15,TRUE,exam_math_area_institution,-0.0156769385432427,0.00656213979535424,0.0303142640259364,-0.0044565060569076,-2.10620039111514e-06,0.0167408530207492,0
130,0.0968497969804087,0.0380161266758887,0.0362398845151372,-0.0131356254631328,-0.0380287331321354,93,88,88,88,88,TRUE,exam_math_area_institution,0.00866336441733721,-0.0109819572268856,0.04172207880872,-0.0172867964297441,0.0141231083030367,0.0362397978724642,0
