variable_1,variable_2,weighted_correlation
program_income_full_va_weighted_centered,program_income_full_va_weighted_centered,1
program_income_full_va_weighted_centered,math_va_weighted_centered,0.512650922448644
program_income_full_va_weighted_centered,institution_income_va_weighted_centered,0.854822542659163
program_income_full_va_weighted_centered,area_income_va_weighted_centered,0.937778040436037
program_income_full_va_weighted_centered,math_va_orthogonalized,0.512650922448644
program_income_full_va_weighted_centered,institution_income_va_orthogonalized,0.227717209799761
program_income_full_va_weighted_centered,area_income_va_orthogonalized,0.796346418480427
math_va_weighted_centered,program_income_full_va_weighted_centered,0.512650922448644
math_va_weighted_centered,math_va_weighted_centered,1
math_va_weighted_centered,institution_income_va_weighted_centered,0.370098300331993
math_va_weighted_centered,area_income_va_weighted_centered,0.418352077437936
math_va_weighted_centered,math_va_orthogonalized,1
math_va_weighted_centered,institution_income_va_orthogonalized,-6.33502902425048e-16
math_va_weighted_centered,area_income_va_orthogonalized,-8.88848073824527e-16
institution_income_va_weighted_centered,program_income_full_va_weighted_centered,0.854822542659163
institution_income_va_weighted_centered,math_va_weighted_centered,0.370098300331993
institution_income_va_weighted_centered,institution_income_va_weighted_centered,1
institution_income_va_weighted_centered,area_income_va_weighted_centered,0.739416396368517
institution_income_va_weighted_centered,math_va_orthogonalized,0.370098300331993
institution_income_va_weighted_centered,institution_income_va_orthogonalized,0.669916508715257
institution_income_va_weighted_centered,area_income_va_orthogonalized,0.64361410755369
area_income_va_weighted_centered,program_income_full_va_weighted_centered,0.937778040436037
area_income_va_weighted_centered,math_va_weighted_centered,0.418352077437936
area_income_va_weighted_centered,institution_income_va_weighted_centered,0.739416396368517
area_income_va_weighted_centered,area_income_va_weighted_centered,1
area_income_va_weighted_centered,math_va_orthogonalized,0.418352077437936
area_income_va_weighted_centered,institution_income_va_orthogonalized,2.88568208286622e-15
area_income_va_weighted_centered,area_income_va_orthogonalized,0.908284943893359
math_va_orthogonalized,program_income_full_va_weighted_centered,0.512650922448644
math_va_orthogonalized,math_va_weighted_centered,1
math_va_orthogonalized,institution_income_va_weighted_centered,0.370098300331993
math_va_orthogonalized,area_income_va_weighted_centered,0.418352077437936
math_va_orthogonalized,math_va_orthogonalized,1
math_va_orthogonalized,institution_income_va_orthogonalized,-6.33502902425048e-16
math_va_orthogonalized,area_income_va_orthogonalized,-8.88848073824527e-16
institution_income_va_orthogonalized,program_income_full_va_weighted_centered,0.227717209799761
institution_income_va_orthogonalized,math_va_weighted_centered,-6.31135465994845e-16
institution_income_va_orthogonalized,institution_income_va_weighted_centered,0.669916508715257
institution_income_va_orthogonalized,area_income_va_weighted_centered,2.88476920936181e-15
institution_income_va_orthogonalized,math_va_orthogonalized,-6.31135465994845e-16
institution_income_va_orthogonalized,institution_income_va_orthogonalized,1
institution_income_va_orthogonalized,area_income_va_orthogonalized,3.46504216136305e-15
area_income_va_orthogonalized,program_income_full_va_weighted_centered,0.796346418480427
area_income_va_orthogonalized,math_va_weighted_centered,-8.87092395886953e-16
area_income_va_orthogonalized,institution_income_va_weighted_centered,0.64361410755369
area_income_va_orthogonalized,area_income_va_weighted_centered,0.908284943893359
area_income_va_orthogonalized,math_va_orthogonalized,-8.87092395886953e-16
area_income_va_orthogonalized,institution_income_va_orthogonalized,3.47223730570739e-15
area_income_va_orthogonalized,area_income_va_orthogonalized,1
