school_rbd,area_income_va,program_income_full_va,institution_income_va,math_va,area_income_n,program_income_full_n,institution_income_n,math_n,complete_decomposition_input,program_income_full_component_math_va,program_income_full_component_institution_income_va,program_income_full_component_area_income_va,program_income_full_component_residual_va,program_income_full_component_sum_va,reconstruction_error
1,0.0045951818330543,0.0054347963171835,0.0240361035975013,-0.0996487509669161,125,125,125,119,TRUE,-0.01189892286293,0.0285795616907535,-0.00599876898671557,-0.00524716016659739,0.00543470967451054,3.46944695195361e-18
3,-0.0118595084503176,-0.0177153721118902,-0.0189368326144964,-0.0887969106826794,2,2,2,2,TRUE,-0.0105834618769989,-0.0114127750058349,0.00206272316742426,0.0022180549608464,-0.0177154587545632,0
4,0.0361396557517976,0.0144194316048091,0.0525049121210373,-0.0078223990245143,795,795,795,789,TRUE,-0.000767724808340825,0.0483960299276651,0.00323711531275901,-0.0364460754699472,0.0144193449621361,1.73472347597681e-18
5,0.043059500377932,0.0272762728923685,0.0554844946980476,-0.0263717143911494,372,372,372,372,TRUE,-0.00301627436688762,0.0523691963371254,0.0079061112961516,-0.0299828470166938,0.0272761862496956,-6.93889390390723e-18
7,-0.0337139800654997,-0.0360761984073711,-0.0033306597579831,-0.2402814147129,449,449,449,442,TRUE,-0.0289464261121378,0.0130614990000526,-0.0201615418842765,-2.98160536823314e-05,-0.0360762850500441,0
8,-0.0158780072236691,-0.0299741073834693,0.0224827977451698,-0.002865335547609,106,106,106,104,TRUE,-0.000166829159505576,0.0206332363160352,-0.0245772053261677,-0.0258633958565042,-0.0299741940261423,0
15,-0.0652957872795659,-0.0791684827591251,-0.0212689174083387,-0.139814781475206,63,63,63,63,TRUE,-0.0167678524370341,-0.0101026717795567,-0.0396531753967387,-0.0126448697884685,-0.079168569401798,0
25,0.0325479281608405,0.0307769549429836,0.0570398955603879,-0.0419571296341978,85,85,85,83,TRUE,-0.0049055397048181,0.05484132749324,-0.00118850871395458,-0.0179704107741567,0.0307768683003106,0
28,-0.0068686931867898,-0.0120249947151359,-0.0067155651272195,0.0492415360457394,2,2,2,1,TRUE,0.00614957016859168,-0.00955682017920238,-0.0035302496310574,-0.00508758171614076,-0.0120250813578089,0
32,0.0258216209743998,0.0312906548296226,0.0606228207542118,-0.178045652723901,47,47,47,45,TRUE,-0.0214022018440066,0.067292724108814,-0.00515013003870697,-0.0094498240391507,0.0312905681869497,-6.93889390390723e-18
45,0.0406104414625018,0.0327685735165597,0.0376538696010381,0.0150443270875534,208,208,208,207,TRUE,0.00200418164148884,0.033285815275894,0.0139415251693877,-0.0164630352128837,0.0327684868738867,0
