score_year,outcome,score_scale,n_students,mean,sd,min,p01,p05,p25,median,p75,p95,p99,max,share_gt_850,share_gt_1000
2021,math_max,raw,1235,423.3344129554656,82.41378230205274,179,213,270,371,431,484,540,586,744,0,0
2022,math_max,raw,142969,503.8853317852122,109.5765135024445,150,247,325,434,501,579,683,765,850,0,0
2023,math_max,raw,160873,559.0994511198274,129.1076991806704,100,374,413,480,526,609,846,971,1000,0.047055752052861576,0
2024,math_max,raw,166045,599.448968653076,140.31529547667967,100,378,424,498,575,669,897,990,1000,0.07715980607666596,0
2025,math_max,raw,168416,621.5291183735512,148.64956488392582,100,391,422,510,589,710,938,1000,1000,0.10065551966558997,0
2021,math_max,scale1000,1235,498.04048582995955,96.95739094359145,210.58823529411765,250.58823529411765,317.64705882352945,436.47058823529414,507.05882352941177,569.4117647058823,635.2941176470589,689.4117647058823,875.2941176470589,8.097165991902834e-4,0
2022,math_max,scale1000,142969,592.8062726884849,128.91354529699353,176.47058823529412,290.5882352941177,382.3529411764706,510.5882352941177,589.4117647058823,681.1764705882354,803.5294117647059,900,1000,0.024173072484244836,0
2023,math_max,scale1000,160873,559.0994511198274,129.1076991806704,100,374,413,480,526,609,846,971,1000,0.047055752052861576,0
2024,math_max,scale1000,166045,599.448968653076,140.31529547667967,100,378,424,498,575,669,897,990,1000,0.07715980607666596,0
2025,math_max,scale1000,168416,621.5291183735512,148.64956488392582,100,391,422,510,589,710,938,1000,1000,0.10065551966558997,0
2021,math_max,z_year,1235,-2.6648648269318046e-16,0.9999999999999999,-2.96472757505488,-2.552175219729318,-1.8605433299188163,-0.6350201567458224,0.0930134114757582,0.7361097300714877,1.4156077270782963,1.9737667960481746,3.8909218590316703,0,0
2022,math_max,z_year,142969,-2.1668216201648416e-16,1,-3.229572838866766,-2.3443466448627373,-1.6325152723646525,-0.6377765595147646,-0.02633166262538399,0.6854997098727009,1.6346082065368142,2.3829437519835186,3.158657427141688,0,0
2023,math_max,z_year,160873,-3.908299891852972e-17,0.9999999999999998,-3.5559416985455994,-1.4336825169566645,-1.1316091297961957,-0.6126625415974415,-0.2563708541774013,0.38650327747180163,2.222180014831574,3.190363948038205,3.414982620542143,0,0
2024,math_max,z_year,166045,-2.2102104285357789e-16,1,-3.5594762991186815,-1.5782240125765956,-1.2503909004149554,-0.7230071982418822,-0.1742430757104411,0.4956767621850844,2.12058870942104,2.7833817405304426,2.854649808391669,0,0
2025,math_max,z_year,168416,-1.3527456525864525e-16,1.0000000000000002,-3.508446989271656,-1.5508226919706203,-1.3422785228423313,-0.7502821717684786,-0.21883090205445166,0.5951640806720958,2.1289728084543507,2.5460611467109286,2.5460611467109286,0,0
