outcome,n_schools,n_students_regression,tau2,tau,mean_rel_school
z_year_math_max,3373,561977,0.0603035922599631,0.245567897453969,0.821049419540449
z_year_leng_max,3381,569047,0.0294081012561733,0.171487904110387,0.725264071845802
admission_exam_taker,3682,757999,0.0120347469418297,0.109702994224541,0.786477885053126
higher_ed_enrolled_m1,3685,757456,0.0035946620991558,0.0599555009916171,0.563839510929391
stem_enrollment_m1,3682,757999,0.0029540994138897,0.0543516275183153,0.542617360841613
high_paying_field_m1,3680,715740,0.0037470265991003,0.0612129610384949,0.52781920140513
high_inst_m1,3682,757999,0.0129651603775826,0.113864658158634,0.842168276136907
log_program_income_area_clp_m1,3375,565432,0.0029624055981986,0.0544279854321154,0.456306722090264
log_program_income_institution_clp_m1,3375,565432,0.0030867383139502,0.0555584225293538,0.522780544389175
log_program_income_full_clp_m1,3682,757999,0.0073929455932413,0.0859822399873447,0.665668362126031
program_certified_years_m1,3375,565229,0.0294328794311119,0.17156013357162,0.299150701255955
inst_certified_years_m1,3375,565432,0.0733416450218054,0.270816626191609,0.437492629667865
