school_rbd,analysis_sample,outcome,n_students_regression,n_total,controlled_value_added,controlled_value_added_centered_student,controlled_value_added_se,controlled_value_added_resid_sd,controlled_value_added_se_method,eb_tau2,eb_tau,eb_reliability,eb_method,controlled_value_added_eb,controlled_value_added_eb_centered_student
1,All,z_year_math_max,124,561977,0,-0.12696946,0.064118028,0.55363286,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.936177291861782,stata_normal_normal_weighted_by_n_students_regression,-0.118865922114326,-0.113837857522979
3,All,z_year_math_max,2,561977,-0.29981661,-0.42678607,0.4499568,0.2605373,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.229496534678363,stata_normal_normal_weighted_by_n_students_regression,-0.0979459231992405,-0.092917858607893
4,All,z_year_math_max,793,561977,0.11534242,-0.011627038,0.034978617,0.66511601,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.98011439304901,stata_normal_normal_weighted_by_n_students_regression,-0.0113958273070087,-0.0063677627156611
5,All,z_year_math_max,375,561977,0.10024486,-0.026724597,0.044201639,0.65073502,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.968617617041576,stata_normal_normal_weighted_by_n_students_regression,-0.0258859158964531,-0.0208578513051055
7,All,z_year_math_max,446,561977,-0.11965109,-0.24662055,0.041618347,0.57132107,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.972079183356191,stata_normal_normal_weighted_by_n_students_regression,-0.239734703581141,-0.234706638989794
8,All,z_year_math_max,107,561977,0.12786414,0.00089467329,0.072822288,0.70195919,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.919168509103985,stata_normal_normal_weighted_by_n_students_regression,0.0008223554876091,0.0058504200789567
15,All,z_year_math_max,63,561977,-0.054814022,-0.18178348,0.099081613,0.47691721,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.859996293615892,stata_normal_normal_weighted_by_n_students_regression,-0.156333121170474,-0.151305056579126
25,All,z_year_math_max,84,561977,0.071777388,-0.055192064,0.082708158,0.57856452,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.898120223121432,stata_normal_normal_weighted_by_n_students_regression,-0.0495691093054774,-0.0445410447141299
28,All,z_year_math_max,1,561977,0.45993894,0.33296949,0.63742971,,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.129234842426308,stata_normal_normal_weighted_by_n_students_regression,0.0430312589115234,0.048059323502871
32,All,z_year_math_max,45,561977,-0.10887635,-0.2358458,0.13483834,0.54795593,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.768345729869406,stata_normal_normal_weighted_by_n_students_regression,-0.181211116638768,-0.17618305204742
45,All,z_year_math_max,207,561977,0.1327056,0.0057361419,0.05881441,0.66399121,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.945749891900176,stata_normal_normal_weighted_by_n_students_regression,0.0054249555966747,0.0104530201880222
50,All,z_year_math_max,181,561977,0.23022562,0.10325616,0.097319953,0.73234957,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.864260765240914,stata_normal_normal_weighted_by_n_students_regression,0.0892402465506998,0.0942683111420474
52,All,z_year_math_max,1050,561977,0.035207737,-0.091761716,0.034791823,0.62093329,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.980322044796725,stata_normal_normal_weighted_by_n_students_regression,-0.0899560327843909,-0.0849279681930433
56,All,z_year_math_max,270,561977,0.33307374,0.20610428,0.06371513,0.78527927,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.936926424295211,stata_normal_normal_weighted_by_n_students_regression,0.193104544730195,0.198132609321543
59,All,z_year_math_max,127,561977,0.33123678,0.20426734,0.079084039,0.76180869,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.906032382298373,stata_normal_normal_weighted_by_n_students_regression,0.185072822774309,0.190100887365657
60,All,z_year_math_max,243,561977,0.099775471,-0.02719399,0.063436776,0.64238036,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.937441921762455,stata_normal_normal_weighted_by_n_students_regression,-0.0254927858924308,-0.0204647213010832
67,All,z_year_math_max,146,561977,0.20624654,0.079277083,0.10175397,0.67020702,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.853463874181983,stata_normal_normal_weighted_by_n_students_regression,0.0676601265882106,0.0726881911795582
69,All,z_year_math_max,157,561977,0.72766119,0.60069174,0.081528887,0.75856149,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.900718376898428,stata_normal_normal_weighted_by_n_students_regression,0.541054085209082,0.54608214980043
72,All,z_year_math_max,1,561977,-1.5299503,-1.6569197,0.78026485,,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.0901241593048314,stata_normal_normal_weighted_by_n_students_regression,-0.149328496848587,-0.144300432257239
78,All,z_year_math_max,22,561977,0.041258045,-0.085711412,0.20141095,0.53228116,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.597834981078713,stata_normal_normal_weighted_by_n_students_regression,-0.0512412805593348,-0.0462132159679873
97,All,z_year_math_max,92,561977,-0.0065586152,-0.13352807,0.070195071,0.56472671,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.924463022832081,stata_normal_normal_weighted_by_n_students_regression,-0.123441762008444,-0.118413697417097
103,All,z_year_math_max,94,561977,-0.010452266,-0.13742173,0.083775818,0.6492551,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.895748940540914,stata_normal_normal_weighted_by_n_students_regression,-0.123095366557551,-0.118067301966204
106,All,z_year_math_max,83,561977,-0.11689087,-0.24386033,0.079275399,0.56598663,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.905620053851818,stata_normal_normal_weighted_by_n_students_regression,-0.220844808978089,-0.215816744386742
107,All,z_year_math_max,90,561977,-0.0073301438,-0.13429961,0.072185583,0.59926915,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.920463861795961,stata_normal_normal_weighted_by_n_students_regression,-0.123617934076129,-0.118589869484781
108,All,z_year_math_max,117,561977,-0.039263915,-0.16623338,0.064257629,0.55008787,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.935916901405981,stata_normal_normal_weighted_by_n_students_regression,-0.155580625883359,-0.150552561292012
109,All,z_year_math_max,101,561977,-0.15682711,-0.28379655,0.068693273,0.54563266,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.927428566571546,stata_normal_normal_weighted_by_n_students_regression,-0.263201026511494,-0.258172961920147
110,All,z_year_math_max,113,561977,0.069253229,-0.057716232,0.07499481,0.6795907,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.914691217656599,stata_normal_normal_weighted_by_n_students_regression,-0.0527925303606256,-0.0477644657692781
124,All,z_year_math_max,347,561977,-0.11827259,-0.24524204,0.043814912,0.509772,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.969147484068865,stata_normal_normal_weighted_by_n_students_regression,-0.237675710258364,-0.232647645667016
125,All,z_year_math_max,103,561977,0.1134781,-0.013491354,0.080266558,0.59507269,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.903474513725739,stata_normal_normal_weighted_by_n_students_regression,-0.0121890944769713,-0.0071610298856237
127,All,z_year_math_max,254,561977,-0.011508165,-0.13847762,0.061440896,0.61987787,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.94108820814541,stata_normal_normal_weighted_by_n_students_regression,-0.130319658548736,-0.125291593957389
129,All,z_year_math_max,15,561977,-0.015649049,-0.14261851,0.17856307,0.40554097,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.654134535390848,stata_normal_normal_weighted_by_n_students_regression,-0.0932916910046292,-0.0882636264132816
130,All,z_year_math_max,87,561977,0.087454043,-0.039515417,0.091483831,0.53517526,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.878128149546748,stata_normal_normal_weighted_by_n_students_regression,-0.0346996001026634,-0.0296715355113158
131,All,z_year_math_max,51,561977,-0.089136101,-0.21610555,0.10810851,0.58650076,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.837654100678616,stata_normal_normal_weighted_by_n_students_regression,-0.181021700622953,-0.175993636031605
132,All,z_year_math_max,649,561977,0.24038269,0.11341323,0.043575179,0.70038807,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.969473901936503,stata_normal_normal_weighted_by_n_students_regression,0.109951166208397,0.114979230799745
133,All,z_year_math_max,143,561977,0.10253453,-0.024434926,0.08810728,0.70043665,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.885951318757814,stata_normal_normal_weighted_by_n_students_regression,-0.0216481549340942,-0.0166200903427466
134,All,z_year_math_max,41,561977,-0.049509205,-0.17647865,0.12065287,0.48070565,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.805543983795215,stata_normal_normal_weighted_by_n_students_regression,-0.142161318168592,-0.137133253577244
144,All,z_year_math_max,51,561977,-0.11359359,-0.24056304,0.10024199,0.49800017,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.857168958995047,stata_normal_normal_weighted_by_n_students_regression,-0.206203166332136,-0.201175101740788
