school_rbd,analysis_sample,outcome,va_raw,va_centered,va_se,va_resid_sd,va_se_method,n_students,n_total,noise_var,dev2,eb_tau2,eb_tau,eb_reliability,va_eb,va_eb_centered,eb_method
1,All,higher_ed_enrolled_m1,0,-.06165744,.027227176,.4685964,stata_areg_centered_student_vce_unadjusted,318,757456,.0007413191321756,.003801639890263,.0035946620991558,.0599555009916171,.8290308254060423,-.0511159183166447,-.0504829730845154,stata_normal_normal_weighted_by_n_students_regression
3,All,higher_ed_enrolled_m1,-.38576949,-.44742694,.16605231,.17704573,stata_areg_centered_student_vce_unadjusted,6,757456,.0275733702072509,.2001908710361182,.0035946620991558,.0599555009916171,.1153316983188861,-.0516025094866162,-.0509695642544868,stata_normal_normal_weighted_by_n_students_regression
4,All,higher_ed_enrolled_m1,.1314117,.069754258,.020176405,.32303691,stata_areg_centered_student_vce_unadjusted,849,757456,.0004070873222393,.0048656564887783,.0035946620991558,.0599555009916171,.898272660436251,.0626583427234521,.0632912879555814,stata_normal_normal_weighted_by_n_students_regression
5,All,higher_ed_enrolled_m1,.10267766,.041020218,.025613092,.35469431,stata_areg_centered_student_vce_unadjusted,428,757456,.0006560304759629,.0016826583125675,.0035946620991558,.0599555009916171,.8456650382568329,.0346893644549141,.0353223096870434,stata_normal_normal_weighted_by_n_students_regression
7,All,higher_ed_enrolled_m1,.070251815,.008594376,.021545561,.44899547,stata_areg_centered_student_vce_unadjusted,728,757456,.0004642112001193,.0000738633003928,.0035946620991558,.0599555009916171,.8856305270228041,.0076114417709444,.0082443870030738,stata_normal_normal_weighted_by_n_students_regression
8,All,higher_ed_enrolled_m1,.083723858,.02206642,.037991606,.43625,stata_areg_centered_student_vce_unadjusted,167,757456,.001443362103593,.0004869268916202,.0035946620991558,.0599555009916171,.7135063180511307,.0157445300309121,.0163774752630415,stata_normal_normal_weighted_by_n_students_regression
15,All,higher_ed_enrolled_m1,.095764048,.034106608,.054136936,.42466584,stata_areg_centered_student_vce_unadjusted,85,757456,.0029308077984864,.0011632607458371,.0035946620991558,.0599555009916171,.5508663982121211,.0187881845436117,.0194211297757411,stata_normal_normal_weighted_by_n_students_regression
22,All,higher_ed_enrolled_m1,-.61354011,-.67519754,.40528488,,stata_areg_centered_student_vce_unadjusted,1,757456,.1642558352468768,.4558917202607299,.0035946620991558,.0599555009916171,.0214158561100073,-.0144599334538935,-.0138269882217642,stata_normal_normal_weighted_by_n_students_regression
25,All,higher_ed_enrolled_m1,.17792489,.11626745,.045813117,.42200869,stata_areg_centered_student_vce_unadjusted,107,757456,.0020988417054089,.013518119978276,.0035946620991558,.0599555009916171,.6313620263630695,.0734068529085738,.0740397981407031,stata_normal_normal_weighted_by_n_students_regression
28,All,higher_ed_enrolled_m1,-.22096051,-.28261796,.079789422,.38553593,stata_areg_centered_student_vce_unadjusted,27,757456,.0063663519352955,.079872909248058,.0035946620991558,.0599555009916171,.3608731085734092,-.1019892205004422,-.1013562752683128,stata_normal_normal_weighted_by_n_students_regression
32,All,higher_ed_enrolled_m1,.12423816,.06258072,.067220375,.47759229,stata_areg_centered_student_vce_unadjusted,72,757456,.0045185788073197,.0039163464714246,.0035946620991558,.0599555009916171,.4430611811719748,.0277270875090767,.028360032741206,stata_normal_normal_weighted_by_n_students_regression
45,All,higher_ed_enrolled_m1,.072524689,.010867249,.035398498,.33059064,stata_areg_centered_student_vce_unadjusted,227,757456,.0012530536732245,.0001180971068382,.0035946620991558,.0599555009916171,.741516678769882,.0080582465349768,.0086911917671062,stata_normal_normal_weighted_by_n_students_regression
