school_rbd,analysis_sample,outcome,va_raw,va_centered,va_se,va_resid_sd,va_se_method,n_students,n_total,noise_var,dev2,eb_tau2,eb_tau,eb_reliability,va_eb,va_eb_centered,eb_method
1,All,admission_exam_taker,0,-.21779311,.02433279,.45400742,stata_areg_centered_student_vce_unadjusted,321,757999,.000592084654789,.0474338374599505,.0120347469418297,.1097029942245411,.9531090083637807,-.2075805722736642,-.2067572355165832,stata_normal_normal_weighted_by_n_students_regression
3,All,admission_exam_taker,.069657125,-.14813599,.14896739,.60303974,stata_areg_centered_student_vce_unadjusted,6,757999,.022191281880751,.0219442714974488,.0120347469418297,.1097029942245411,.3516255714098429,-.0520884021129313,-.0512650653558504,stata_normal_normal_weighted_by_n_students_regression
4,All,admission_exam_taker,.34127453,.12348142,.018103709,.24487045,stata_areg_centered_student_vce_unadjusted,849,757999,.0003277442956474,.0152476599090556,.0120347469418297,.1097029942245411,.9734888147258032,.120207776534873,.121031113291954,stata_normal_normal_weighted_by_n_students_regression
5,All,admission_exam_taker,.30412143,.086328335,.022953974,.31113568,stata_areg_centered_student_vce_unadjusted,429,757999,.0005268849262061,.0074525814466141,.0120347469418297,.1097029942245411,.9580560128062046,.0827073805231464,.0835307172802273,stata_normal_normal_weighted_by_n_students_regression
7,All,admission_exam_taker,.17474283,-.043050274,.019296205,.44567055,stata_areg_centered_student_vce_unadjusted,731,757999,.0003723435147153,.001853326111067,.0120347469418297,.1097029942245411,.9699894575590138,-.0417583121710896,-.0409349754140087,stata_normal_normal_weighted_by_n_students_regression
8,All,admission_exam_taker,.23237814,.014585038,.034076773,.43790543,stata_areg_centered_student_vce_unadjusted,167,757999,.0011612264328913,.0002127233259087,.0120347469418297,.1097029942245411,.9120014568144053,.0133015756422113,.0141249123992923,stata_normal_normal_weighted_by_n_students_regression
15,All,admission_exam_taker,.26509559,.047302473,.048595283,.41159448,stata_areg_centered_student_vce_unadjusted,85,757999,.0023615015473906,.002237523986144,.0120347469418297,.1097029942245411,.8359641020951507,.0395431696454347,.0403665064025157,stata_normal_normal_weighted_by_n_students_regression
22,All,admission_exam_taker,-.4992761,-.71706921,.36359274,,stata_areg_centered_student_vce_unadjusted,1,757999,.1321996833975305,.5141882499174035,.0120347469418297,.1097029942245411,.0834387941458492,-.059831390109766,-.059008053352685,stata_normal_normal_weighted_by_n_students_regression
25,All,admission_exam_taker,.3332814,.11548828,.041104686,.36032674,stata_areg_centered_student_vce_unadjusted,107,757999,.0016895951713006,.0133375418728783,.0120347469418297,.1097029942245411,.876890625621743,.1012705864901643,.1020939232472452,stata_normal_normal_weighted_by_n_students_regression
28,All,admission_exam_taker,-.18408778,-.40188089,.072924607,.24379952,stata_areg_centered_student_vce_unadjusted,26,757999,.0053179982334797,.1615082498321114,.0120347469418297,.1097029942245411,.6935356233406512,-.2787187136534637,-.2778953768963828,stata_normal_normal_weighted_by_n_students_regression
32,All,admission_exam_taker,.21737151,-.00042160205,.060302839,.45411217,stata_areg_centered_student_vce_unadjusted,72,757999,.0036364323532434,1.77748263920e-07,.0120347469418297,.1097029942245411,.7679541351181741,-.000323771040571,.0004995657165099,stata_normal_normal_weighted_by_n_students_regression
45,All,admission_exam_taker,.30186903,.084075935,.031756897,.2639097,stata_areg_centered_student_vce_unadjusted,227,757999,.001008500476939,.0070687628814866,.0120347469418297,.1097029942245411,.9226802617047782,.0775752058775692,.0783985426346501,stata_normal_normal_weighted_by_n_students_regression
