school_rbd,analysis_sample,outcome,va_raw,va_centered,va_se,va_resid_sd,va_se_method,n_students,n_total,noise_var,dev2,eb_tau2,eb_tau,eb_reliability,va_eb,va_eb_centered,eb_method
1,All,high_inst_m1,0,-.038581703,.019277731,.080715209,stata_areg_centered_student_vce_unadjusted,321,757999,.0003716309108379,.0014885477960019,.0129651603775826,.113864658158634,.9721349084048007,-.0375066201739636,-.0358606521203525,stata_normal_normal_weighted_by_n_students_regression
3,All,high_inst_m1,.056112956,.017531253,.11801988,.066459633,stata_areg_centered_student_vce_unadjusted,6,757999,.0139286918071413,.0003073448454304,.0129651603775826,.113864658158634,.4820863998407411,.0084515788388565,.0100975468924677,stata_normal_normal_weighted_by_n_students_regression
4,All,high_inst_m1,-.043809447,-.08239115,.014342722,.22766665,stata_areg_centered_student_vce_unadjusted,849,757999,.0002057136882238,.006788301648256,.0129651603775826,.113864658158634,.9843811665652604,-.0811042966426548,-.0794583285890437,stata_normal_normal_weighted_by_n_students_regression
5,All,high_inst_m1,-.038921855,-.077503562,.018185358,.21840195,stata_areg_centered_student_vce_unadjusted,429,757999,.0003307072635742,.0060068021197217,.0129651603775826,.113864658158634,.9751270640999368,-.0755758208443952,-.073929852790784,stata_normal_normal_weighted_by_n_students_regression
7,All,high_inst_m1,-.016273309,-.054855011,.015287479,.093406178,stata_areg_centered_student_vce_unadjusted,731,757999,.0002337070259692,.0030090722768848,.0129651603775826,.113864658158634,.9822934030001438,-.0538837158230861,-.052237747769475,stata_normal_normal_weighted_by_n_students_regression
8,All,high_inst_m1,-.029923821,-.068505526,.02699743,.064173058,stata_areg_centered_student_vce_unadjusted,167,757999,.0007288612401062,.0046930070372228,.0129651603775826,.113864658158634,.9467752234913404,-.0648593342995189,-.0632133662459077,stata_normal_normal_weighted_by_n_students_regression
15,All,high_inst_m1,.0072338455,-.031347856,.038499769,.23024316,stata_areg_centered_student_vce_unadjusted,85,757999,.0014822321994541,.0009826880715869,.0129651603775826,.113864658158634,.8974048644729132,-.0281317183976454,-.0264857503440342,stata_normal_normal_weighted_by_n_students_regression
22,All,high_inst_m1,-.0017726626,-.040354364,.28805751,,stata_areg_centered_student_vce_unadjusted,1,757999,.0829771268115884,.0016284746637865,.0129651603775826,.113864658158634,.13513499372825,-.0054532866684271,-.0038073186148159,stata_normal_normal_weighted_by_n_students_regression
25,All,high_inst_m1,-.023490863,-.062072564,.032565318,.099673636,stata_areg_centered_student_vce_unadjusted,107,757999,.0010604999395674,.0038530031920665,.0129651603775826,.113864658158634,.9243885909406575,-.0573791698942449,-.0557332018406337,stata_normal_normal_weighted_by_n_students_regression
28,All,high_inst_m1,.025663795,-.012917907,.057774749,.083156608,stata_areg_centered_student_vce_unadjusted,26,757999,.0033379215819374,.0001668723208609,.0129651603775826,.113864658158634,.7952582468624446,-.0102730720543559,-.0086271040007448,stata_normal_normal_weighted_by_n_students_regression
