school_rbd,analysis_sample,outcome,va_raw,va_centered,va_se,va_resid_sd,va_se_method,n_students,n_total,noise_var,dev2,eb_tau2,eb_tau,eb_reliability,va_eb,va_eb_centered,eb_method
1,All,high_paying_field_m1,0,.043054622,.030552592,.43718803,stata_areg_centered_student_vce_unadjusted,301,715740,.0009334608857714,.0018537004425129,.0037470265991003,.0612129610384949,.8005633197848412,.034467950863618,.0353020741379877,stata_normal_normal_weighted_by_n_students_regression
3,All,high_paying_field_m1,-.30853537,-.26548076,.18114765,.11854176,stata_areg_centered_student_vce_unadjusted,6,715740,.0328144710585774,.0704800322364782,.0037470265991003,.0612129610384949,.1024855883690378,-.0272079515118592,-.0263738282374895,stata_normal_normal_weighted_by_n_students_regression
4,All,high_paying_field_m1,.0021110941,.045165718,.022626657,.47603369,stata_areg_centered_student_vce_unadjusted,811,715740,.0005119656087572,.0020399420419231,.0037470265991003,.0612129610384949,.8797918418792385,.0397364298847328,.0405705531591025,stata_normal_normal_weighted_by_n_students_regression
5,All,high_paying_field_m1,-.029393977,.013660644,.0283625,.45844734,stata_areg_centered_student_vce_unadjusted,421,715740,.0008044313807229,.0001866131980626,.0037470265991003,.0612129610384949,.8232585285222945,.0112462418360992,.0120803651104689,stata_normal_normal_weighted_by_n_students_regression
7,All,high_paying_field_m1,-.012394366,.030660257,.024378853,.4586018,stata_areg_centered_student_vce_unadjusted,668,715740,.0005943284696338,.0009400513404774,.0037470265991003,.0612129610384949,.8631007000754112,.0264628890666585,.0272970123410282,stata_normal_normal_weighted_by_n_students_regression
8,All,high_paying_field_m1,-.068527482,-.025472861,.042476043,.44666556,stata_areg_centered_student_vce_unadjusted,159,715740,.0018042142378685,.0006488666390593,.0037470265991003,.0612129610384949,.6749890176168871,-.0171939012596295,-.0163597779852598,stata_normal_normal_weighted_by_n_students_regression
15,All,high_paying_field_m1,-.13837911,-.095324494,.060834069,.43576771,stata_areg_centered_student_vce_unadjusted,79,715740,.003700783927369,.0090867591554274,.0037470265991003,.0612129610384949,.5031044473786619,-.0479581768225858,-.0471240535482161,stata_normal_normal_weighted_by_n_students_regression
22,All,high_paying_field_m1,-.21735214,-.17429753,.44206181,,stata_areg_centered_student_vce_unadjusted,1,715740,.1954186453507214,.0303796277542152,.0037470265991003,.0612129610384949,.0188136166359247,-.0032791667942271,-.0024450435198574,stata_normal_normal_weighted_by_n_students_regression
25,All,high_paying_field_m1,.05408838,.097143002,.051761225,.4727723,stata_areg_centered_student_vce_unadjusted,100,715740,.0026792243996197,.0094367627994794,.0037470265991003,.0612129610384949,.583081270844645,.0566422649959866,.0574763882703562,stata_normal_normal_weighted_by_n_students_regression
28,All,high_paying_field_m1,-.18747683,-.14442222,.090644345,.29055691,stata_areg_centered_student_vce_unadjusted,25,715740,.0082163972238194,.0208577771254143,.0037470265991003,.0612129610384949,.3132068757709387,-.0452340317207688,-.0443999084463991,stata_normal_normal_weighted_by_n_students_regression
32,All,high_paying_field_m1,-.098180816,-.055126194,.081541702,.4633919,stata_areg_centered_student_vce_unadjusted,53,715740,.0066490491897311,.0030388972606612,.0037470265991003,.0612129610384949,.3604270183491514,-.0198689696719319,-.0190348463975622,stata_normal_normal_weighted_by_n_students_regression
45,All,high_paying_field_m1,.047504678,.090559304,.039070811,.45576373,stata_areg_centered_student_vce_unadjusted,220,715740,.0015265282817822,.0082009874884481,.0037470265991003,.0612129610384949,.7105314505560278,.0643452334769259,.0651793567512956,stata_normal_normal_weighted_by_n_students_regression
50,All,high_paying_field_m1,-.071708247,-.028653625,.064429201,.46677965,stata_areg_centered_student_vce_unadjusted,186,715740,.0041511219654278,.0008210302513921,.0037470265991003,.0612129610384949,.4744183486151178,-.0135938056170366,-.0127596823426669,stata_normal_normal_weighted_by_n_students_regression
52,All,high_paying_field_m1,-.088952035,-.045897413,.021424796,.44409877,stata_areg_centered_student_vce_unadjusted,1258,715740,.0004590219021636,.0021065725288729,.0037470265991003,.0612129610384949,.8908662365577331,-.040888455621775,-.0400543323474053,stata_normal_normal_weighted_by_n_students_regression
56,All,high_paying_field_m1,.049576286,.092630908,.042962253,.47921935,stata_areg_centered_student_vce_unadjusted,279,715740,.0018457551908888,.0085804850877622,.0037470265991003,.0612129610384949,.6699754683451712,.0620604359156333,.062894559190003,stata_normal_normal_weighted_by_n_students_regression
59,All,high_paying_field_m1,-.145179,-.10212438,.054691259,.48847651,stata_areg_centered_student_vce_unadjusted,129,715740,.0029911337910877,.0104293886095872,.0037470265991003,.0612129610384949,.5560904434030144,-.0567903906692102,-.0559562673948405,stata_normal_normal_weighted_by_n_students_regression
60,All,high_paying_field_m1,-.016666615,.026388006,.043092512,.48054087,stata_areg_centered_student_vce_unadjusted,245,715740,.0018569645555045,.000696326873024,.0037470265991003,.0612129610384949,.6686353521492217,.0176439538915038,.0184780771658735,stata_normal_normal_weighted_by_n_students_regression
67,All,high_paying_field_m1,.062837921,.10589254,.069349602,.48800072,stata_areg_centered_student_vce_unadjusted,149,715740,.0048093672788083,.0112132298103323,.0037470265991003,.0612129610384949,.4379212379147929,.0463725918038613,.047206715078231,stata_normal_normal_weighted_by_n_students_regression
69,All,high_paying_field_m1,.074572332,.11762695,.055914715,.46756315,stata_areg_centered_student_vce_unadjusted,158,715740,.0031264553459762,.0138360993884831,.0037470265991003,.0612129610384949,.5451424225802026,.0641234405856025,.0649575638599722,stata_normal_normal_weighted_by_n_students_regression
72,All,high_paying_field_m1,-.022253215,.020801406,.33176717,.32624978,stata_areg_centered_student_vce_unadjusted,2,715740,.1100694561656121,.000432698504192,.0037470265991003,.0612129610384949,.0329216516631106,.0006848167029019,.0015189399772716,stata_normal_normal_weighted_by_n_students_regression
78,All,high_paying_field_m1,.047879718,.090934336,.13245152,.54272169,stata_areg_centered_student_vce_unadjusted,21,715740,.0175434049834424,.0082690534883079,.0037470265991003,.0612129610384949,.1759958028362705,.0160040615439417,.0168381848183114,stata_normal_normal_weighted_by_n_students_regression
97,All,high_paying_field_m1,-.12689069,-.083836064,.034787633,.40800703,stata_areg_centered_student_vce_unadjusted,193,715740,.0012101793766922,.0070284855923244,.0037470265991003,.0612129610384949,.7558747038953333,-.063369559844892,-.0625354365705224,stata_normal_normal_weighted_by_n_students_regression
103,All,high_paying_field_m1,-.14186729,-.09881267,.048018325,.39449728,stata_areg_centered_student_vce_unadjusted,128,715740,.0023057595473503,.0097639436667781,.0037470265991003,.0612129610384949,.6190581508149949,-.061170788448195,-.0603366651738254,stata_normal_normal_weighted_by_n_students_regression
106,All,high_paying_field_m1,-.030299317,.012755305,.031407263,.44862556,stata_areg_centered_student_vce_unadjusted,272,715740,.0009864161773139,.0001626977935123,.0037470265991003,.0612129610384949,.7916070344762574,.0100971888389512,.0109313121133209,stata_normal_normal_weighted_by_n_students_regression
107,All,high_paying_field_m1,.020596841,.063651465,.041781995,.47847918,stata_areg_centered_student_vce_unadjusted,130,715740,.0017457351434069,.0040515089748811,.0037470265991003,.0612129610384949,.682175338155105,.0434214595942946,.0442555828686642,stata_normal_normal_weighted_by_n_students_regression
108,All,high_paying_field_m1,-.092019416,-.048964795,.031476691,.37728658,stata_areg_centered_student_vce_unadjusted,255,715740,.0009907820993027,.0023975511274229,.0037470265991003,.0612129610384949,.7908775633687637,-.0387251575325444,-.0378910342581747,stata_normal_normal_weighted_by_n_students_regression
109,All,high_paying_field_m1,-.086425275,-.043370649,.037642062,.39495045,stata_areg_centered_student_vce_unadjusted,166,715740,.0014169248098064,.0018810132180184,.0037470265991003,.0612129610384949,.7256122884188078,-.0314702760158359,-.0306361527414662,stata_normal_normal_weighted_by_n_students_regression
110,All,high_paying_field_m1,-.051601108,-.0085464846,.045348447,.47045466,stata_areg_centered_student_vce_unadjusted,149,715740,.0020564816286423,.0000730424004669,.0037470265991003,.0612129610384949,.6456485374119664,-.0055180252862477,-.004683902011878,stata_normal_normal_weighted_by_n_students_regression
124,All,high_paying_field_m1,.030690739,.073745362,.022497816,.45488903,stata_areg_centered_student_vce_unadjusted,728,715740,.0005061517252787,.0054383784770013,.0037470265991003,.0612129610384949,.8809944736204688,.0649692567889465,.0658033800633162,stata_normal_normal_weighted_by_n_students_regression
125,All,high_paying_field_m1,.051707383,.094762005,.045574255,.48433143,stata_areg_centered_student_vce_unadjusted,135,715740,.0020770127450236,.0089798375653549,.0037470265991003,.0612129610384949,.6433724735875611,.0609672655202895,.0618013887946592,stata_normal_normal_weighted_by_n_students_regression
127,All,high_paying_field_m1,.06133591,.10439053,.040068008,.47213584,stata_areg_centered_student_vce_unadjusted,272,715740,.0016054452655384,.0108973831144235,.0037470265991003,.0612129610384949,.7000553564522589,.073079150949466,.0739132742238357,stata_normal_normal_weighted_by_n_students_regression
129,All,high_paying_field_m1,-.06709636,-.02404174,.093886875,.41570294,stata_areg_centered_student_vce_unadjusted,26,715740,.0088147452251879,.0005780052754145,.0037470265991003,.0612129610384949,.2982880640974075,-.0071713641134544,-.0063372408390847,stata_normal_normal_weighted_by_n_students_regression
130,All,high_paying_field_m1,.05771514,.10076976,.062272713,.46277025,stata_areg_centered_student_vce_unadjusted,88,715740,.0038778907331063,.0101545441624471,.0037470265991003,.0612129610384949,.4914186522748748,.0495201388024179,.0503542620767875,stata_normal_normal_weighted_by_n_students_regression
131,All,high_paying_field_m1,-.15339661,-.11034198,.065789253,.42042384,stata_areg_centered_student_vce_unadjusted,67,715740,.0043282257470887,.0121753527939194,.0037470265991003,.0612129610384949,.4640135612441461,-.0512001755562413,-.0503660522818716,stata_normal_normal_weighted_by_n_students_regression
132,All,high_paying_field_m1,.0046422854,.047696907,.029034272,.47688341,stata_areg_centered_student_vce_unadjusted,666,715740,.000842988941063,.0022749949395393,.0037470265991003,.0612129610384949,.8163429004353544,.0389370314712519,.0397711547456216,stata_normal_normal_weighted_by_n_students_regression
133,All,high_paying_field_m1,-.038368005,.0046866168,.055692755,.47035235,stata_areg_centered_student_vce_unadjusted,154,715740,.0031016829245015,.0000219643768081,.0037470265991003,.0612129610384949,.5471142535958684,.0025641148899495,.0033982381643191,stata_normal_normal_weighted_by_n_students_regression
134,All,high_paying_field_m1,-.014515406,.028539216,.068487778,.44125772,stata_areg_centered_student_vce_unadjusted,63,715740,.0046905757772928,.0008144868553393,.0037470265991003,.0612129610384949,.4440866530501366,.01267388500696,.0135080082813297,stata_normal_normal_weighted_by_n_students_regression
144,All,high_paying_field_m1,-.032653138,.010401482,.053920254,.40488899,stata_areg_centered_student_vce_unadjusted,88,715740,.0029073938034261,.000108190821806,.0037470265991003,.0612129610384949,.5630883491637709,.0058569532165763,.006691076490946,stata_normal_normal_weighted_by_n_students_regression
161,All,high_paying_field_m1,.031425264,.074479885,.075488888,.45121279,stata_areg_centered_student_vce_unadjusted,61,715740,.005698572170299,.0055472533215789,.0037470265991003,.0612129610384949,.3966955076727878,.0295458359803602,.0303799592547299,stata_normal_normal_weighted_by_n_students_regression
178,All,high_paying_field_m1,-.18150948,-.13845487,.11978202,.40481845,stata_areg_centered_student_vce_unadjusted,23,715740,.0143477330655584,.0191697508716525,.0037470265991003,.0612129610384949,.2070779976381061,-.0286709570764002,-.0278368338020305,stata_normal_normal_weighted_by_n_students_regression
191,All,high_paying_field_m1,-.10536044,-.062305823,.034565162,.40859839,stata_areg_centered_student_vce_unadjusted,533,715740,.0011947504181157,.0038820155820709,.0037470265991003,.0612129610384949,.7582346564902744,-.0472424342636462,-.0464083109892765,stata_normal_normal_weighted_by_n_students_regression
199,All,high_paying_field_m1,.02327867,.066333294,.041569289,.4492659,stata_areg_centered_student_vce_unadjusted,341,715740,.0017280057730029,.004400105874889,.0037470265991003,.0612129610384949,.6843843733586694,.045397469804627,.0462315930789967,stata_normal_normal_weighted_by_n_students_regression
200,All,high_paying_field_m1,.034573909,.077628531,.040928293,.43090811,stata_areg_centered_student_vce_unadjusted,437,715740,.0016751251694928,.0060261887493655,.0037470265991003,.0612129610384949,.6910589668117262,.0536458921408323,.054480015415202,stata_normal_normal_weighted_by_n_students_regression
208,All,high_paying_field_m1,.019428305,.062482927,.041834638,.47367933,stata_areg_centered_student_vce_unadjusted,386,715740,.0017501368966555,.003904116159499,.0037470265991003,.0612129610384949,.6816290987148697,.0425901812284431,.0434243045028128,stata_normal_normal_weighted_by_n_students_regression
211,All,high_paying_field_m1,.089256577,.1323112,.075426549,.48570535,stata_areg_centered_student_vce_unadjusted,165,715740,.0056891642517209,.0175062523447236,.0037470265991003,.0612129610384949,.3970910146199711,.0525395867522218,.0533737100265915,stata_normal_normal_weighted_by_n_students_regression
217,All,high_paying_field_m1,-.022653487,.020401135,.02157693,.47470334,stata_areg_centered_student_vce_unadjusted,875,715740,.0004655639012109,.0004162063107787,.0037470265991003,.0612129610384949,.8894827538597669,.018146457824641,.0189805810990107,stata_normal_normal_weighted_by_n_students_regression
218,All,high_paying_field_m1,-.026171017,.016883604,.034692492,.44408697,stata_areg_centered_student_vce_unadjusted,199,715740,.0012035690244858,.0002850560900398,.0037470265991003,.0612129610384949,.75688399618994,.0127789298508274,.013613053125197,stata_normal_normal_weighted_by_n_students_regression
219,All,high_paying_field_m1,.099971756,.14302638,.025637588,.47544473,stata_areg_centered_student_vce_unadjusted,494,715740,.0006572858944815,.0204565458566301,.0037470265991003,.0612129610384949,.8507631110555038,.1216815694920401,.1225156927664098,stata_normal_normal_weighted_by_n_students_regression
220,All,high_paying_field_m1,.15582219,.1988768,.022708861,.47853142,stata_areg_centered_student_vce_unadjusted,772,715740,.0005156923750614,.0395519808234784,.0037470265991003,.0612129610384949,.8790226664747814,.1748172134184572,.1756513366928269,stata_normal_normal_weighted_by_n_students_regression
222,All,high_paying_field_m1,-.18632832,-.1432737,.052575152,.33399153,stata_areg_centered_student_vce_unadjusted,78,715740,.0027641466464504,.0205273520668957,.0037470265991003,.0612129610384949,.5754764092110047,-.0824506322616183,-.0816165089872486,stata_normal_normal_weighted_by_n_students_regression
227,All,high_paying_field_m1,-.18603647,-.14298184,.44298396,,stata_areg_centered_student_vce_unadjusted,1,715740,.196234784515803,.0204438072019681,.0037470265991003,.0612129610384949,.0187368370063784,-.0026790274218896,-.0018449041475199,stata_normal_normal_weighted_by_n_students_regression
253,All,high_paying_field_m1,.0058808434,.048935466,.042682838,.47940382,stata_areg_centered_student_vce_unadjusted,211,715740,.0018218246336878,.0023946797801955,.0037470265991003,.0612129610384949,.6728544977173584,.0329264480859473,.033760571360317,stata_normal_normal_weighted_by_n_students_regression
