school_rbd,analysis_sample,outcome,va_raw,va_centered,va_se,va_resid_sd,va_se_method,n_students,n_total,noise_var,dev2,eb_tau2,eb_tau,eb_reliability,va_eb,va_eb_centered,eb_method
1,All,inst_certified_years_m1,0,.18880831,.22460711,2.6370156,stata_areg_centered_student_vce_unadjusted,125,565432,.050448353873108,.0356485768159668,.0733416450218054,.2708166261916085,.5924682581511765,.1118629287987783,.116355835818046,stata_normal_normal_weighted_by_n_students_regression
3,All,inst_certified_years_m1,-3.2077389,-3.0189307,1.5809615,.47773173,stata_areg_centered_student_vce_unadjusted,2,565432,2.499439156456958,9.11394241193037,.0733416450218054,.2708166261916085,.0285067600705239,-.0860599323927815,-.0815670253735139,stata_normal_normal_weighted_by_n_students_regression
4,All,inst_certified_years_m1,-.19184624,-.003037933,.12284347,1.9952432,stata_areg_centered_student_vce_unadjusted,795,565432,.0150905173106586,9.22903701036e-06,.0733416450218054,.2708166261916085,.8293548759564957,-.0025195245710022,.0019733824482655,stata_normal_normal_weighted_by_n_students_regression
5,All,inst_certified_years_m1,-.28064528,-.091836967,.15586789,2.0052414,stata_areg_centered_student_vce_unadjusted,372,565432,.0242947989845119,.0084340284274804,.0733416450218054,.2708166261916085,.7511707925071504,-.0689852469657913,-.0644923399465236,stata_normal_normal_weighted_by_n_students_regression
7,All,inst_certified_years_m1,-.15294185,.035866451,.14609852,2.7961783,stata_areg_centered_student_vce_unadjusted,449,565432,.0213447788120016,.0012864022735946,.0733416450218054,.2708166261916085,.7745740313366802,.027781221165212,.0322741281844796,stata_normal_normal_weighted_by_n_students_regression
8,All,inst_certified_years_m1,-.43001249,-.24120419,.25737941,2.501684,stata_areg_centered_student_vce_unadjusted,106,565432,.0662441620566057,.0581794599530671,.0733416450218054,.2708166261916085,.5254233690149198,-.1267343167033453,-.1222414096840777,stata_normal_normal_weighted_by_n_students_regression
15,All,inst_certified_years_m1,-.42432779,-.23551947,.34989786,2.6015954,stata_areg_centered_student_vce_unadjusted,63,565432,.1224285134687761,.0554694201711484,.0733416450218054,.2708166261916085,.3746313819597477,-.0882329840761441,-.0837400770568764,stata_normal_normal_weighted_by_n_students_regression
25,All,inst_certified_years_m1,.37695095,.56575924,.28842896,2.4873269,stata_areg_centered_student_vce_unadjusted,85,565432,.0831912662534684,.3200835194470117,.0733416450218054,.2708166261916085,.4685381778457381,.265079804143745,.2695727111630126,stata_normal_normal_weighted_by_n_students_regression
28,All,inst_certified_years_m1,-1.4012028,-1.2123946,1.5783317,4.4624028,stata_areg_centered_student_vce_unadjusted,2,565432,2.491130983344704,1.469900654312355,.0733416450218054,.2708166261916085,.0285991139895776,-.034673411237875,-.0301805042186073,stata_normal_normal_weighted_by_n_students_regression
32,All,inst_certified_years_m1,-.21873331,-.029925006,.46439758,2.4535179,stata_areg_centered_student_vce_unadjusted,47,565432,.2156651117818678,.0008955059541263,.0733416450218054,.2708166261916085,.2537713852539009,-.0075941101105227,-.0031012030912551,stata_normal_normal_weighted_by_n_students_regression
45,All,inst_certified_years_m1,-.4759706,-.28716227,.20674881,2.0429902,stata_areg_centered_student_vce_unadjusted,208,565432,.0427450718384756,.0824621716725864,.0733416450218054,.2708166261916085,.6317832651781986,-.1814243191850921,-.1769314121658244,stata_normal_normal_weighted_by_n_students_regression
50,All,inst_certified_years_m1,-.18256526,.0062430492,.33915597,2.1450324,stata_areg_centered_student_vce_unadjusted,179,565432,.1150267733459351,.0000389756630434,.0733416450218054,.2708166261916085,.3893521305605743,.0024307444875253,.0069236515067929,stata_normal_normal_weighted_by_n_students_regression
52,All,inst_certified_years_m1,-.38302848,-.19422016,.12189426,2.4029436,stata_areg_centered_student_vce_unadjusted,1055,565432,.0148582094703864,.0377214687893382,.0733416450218054,.2708166261916085,.8315392972479134,-.1615016915990581,-.1570087845797905,stata_normal_normal_weighted_by_n_students_regression
56,All,inst_certified_years_m1,.25782308,.4466314,.22458892,2.0043993,stata_areg_centered_student_vce_unadjusted,269,565432,.0504401810578534,.1994796090635884,.0733416450218054,.2708166261916085,.5925073764431861,.2646324000996014,.269125307118869,stata_normal_normal_weighted_by_n_students_regression
59,All,inst_certified_years_m1,-.32786912,-.13906083,.27788839,2.2233582,stata_areg_centered_student_vce_unadjusted,127,565432,.0772219558749123,.0193379130769972,.0733416450218054,.2708166261916085,.4871140473859658,-.0677384813576887,-.063245574338421,stata_normal_normal_weighted_by_n_students_regression
60,All,inst_certified_years_m1,-.28450313,-.095694833,.22261862,2.0995243,stata_areg_centered_student_vce_unadjusted,245,565432,.0495590520045417,.0091575009657737,.0733416450218054,.2708166261916085,.5967553219497415,-.0571064005842712,-.0526134935650036,stata_normal_normal_weighted_by_n_students_regression
67,All,inst_certified_years_m1,.35043502,.53924334,.35714993,1.9656218,stata_areg_centered_student_vce_unadjusted,148,565432,.1275560716477111,.2907833802773869,.0733416450218054,.2708166261916085,.3650695798721041,.1968613397551834,.201354246774451,stata_normal_normal_weighted_by_n_students_regression
69,All,inst_certified_years_m1,.075549193,.26435751,.28548405,2.0665076,stata_areg_centered_student_vce_unadjusted,158,565432,.0815011403743293,.0698848916342075,.0733416450218054,.2708166261916085,.4736523231235815,.1252135474281757,.1297064544474434,stata_normal_normal_weighted_by_n_students_regression
72,All,inst_certified_years_m1,2.7475281,2.9363363,2.739104,,stata_areg_centered_student_vce_unadjusted,1,565432,7.502690900948039,8.622070742940918,.0733416450218054,.2708166261916085,.0096807457698714,.0284259249998754,.032918832019143,stata_normal_normal_weighted_by_n_students_regression
78,All,inst_certified_years_m1,-.40352079,-.21471249,.69733512,2.8068626,stata_areg_centered_student_vce_unadjusted,22,565432,.4862762751861425,.0461014514982011,.0733416450218054,.2708166261916085,.1310566412786646,-.0281394972224279,-.0236465902031603,stata_normal_normal_weighted_by_n_students_regression
97,All,inst_certified_years_m1,.36727691,.55608523,.2428627,1.8847294,stata_areg_centered_student_vce_unadjusted,95,565432,.0589822917390848,.3092307818355171,.0733416450218054,.2708166261916085,.5542583361492185,.3082148737333263,.3127077807525939,stata_normal_normal_weighted_by_n_students_regression
103,All,inst_certified_years_m1,-.84976119,-.66095287,.28982139,2.2887313,stata_areg_centered_student_vce_unadjusted,98,565432,.0839964359784631,.4368586911610703,.0733416450218054,.2708166261916085,.4661404572595508,-.3080968712263539,-.3036039642070863,stata_normal_normal_weighted_by_n_students_regression
106,All,inst_certified_years_m1,.16430371,.35311201,.26972628,2.4767897,stata_areg_centered_student_vce_unadjusted,89,565432,.0727522641793712,.1246880931310959,.0733416450218054,.2708166261916085,.5020171300968563,.1772682789356076,.1817611859548752,stata_normal_normal_weighted_by_n_students_regression
107,All,inst_certified_years_m1,-.16081281,.027995501,.25082657,1.9548157,stata_areg_centered_student_vce_unadjusted,92,565432,.062913966919397,.0007837480608351,.0733416450218054,.2708166261916085,.5382651325470109,.0150690018971179,.0195619089163855,stata_normal_normal_weighted_by_n_students_regression
108,All,inst_certified_years_m1,.46588516,.65469348,.22432993,2.0527794,stata_areg_centered_student_vce_unadjusted,119,565432,.0503239190749414,.4286235584079185,.0733416450218054,.2708166261916085,.593064411726035,.3882754061264213,.3927683131456889,stata_normal_normal_weighted_by_n_students_regression
109,All,inst_certified_years_m1,-.52259159,-.33378327,.2370908,2.2302365,stata_areg_centered_student_vce_unadjusted,105,565432,.0562120456580297,.1114112706090946,.0733416450218054,.2708166261916085,.5661100400686688,-.1889580597522674,-.1844651527329998,stata_normal_normal_weighted_by_n_students_regression
110,All,inst_certified_years_m1,-.38494927,-.19614097,.26071554,2.3077519,stata_areg_centered_student_vce_unadjusted,115,565432,.0679725949999046,.0384712819754062,.0733416450218054,.2708166261916085,.5189968471014526,-.1017965474932923,-.0973036404740247,stata_normal_normal_weighted_by_n_students_regression
124,All,inst_certified_years_m1,-.14330867,.045499641,.15213357,2.3259072,stata_areg_centered_student_vce_unadjusted,359,565432,.0231446228536039,.0020702173729452,.0733416450218054,.2708166261916085,.7601252140512882,.0345854246924131,.0390783317116807,stata_normal_normal_weighted_by_n_students_regression
125,All,inst_certified_years_m1,.63578784,.82459617,.28564504,1.9070885,stata_areg_centered_student_vce_unadjusted,101,565432,.0815930876708828,.6799588380076668,.0733416450218054,.2708166261916085,.4733712302410458,.390340101834634,.3948330088539017,stata_normal_normal_weighted_by_n_students_regression
127,All,inst_certified_years_m1,-.35090706,-.16209874,.2122017,1.9918003,stata_areg_centered_student_vce_unadjusted,258,565432,.045029561319293,.0262760000700353,.0733416450218054,.2708166261916085,.6195902473990519,-.100434795679737,-.0959418886604693,stata_normal_normal_weighted_by_n_students_regression
129,All,inst_certified_years_m1,.18112367,.36993197,.63311332,2.239661,stata_areg_centered_student_vce_unadjusted,15,565432,.4008324818394762,.1368496595260565,.0733416450218054,.2708166261916085,.1546723890383443,.0572182609636141,.0617111679828817,stata_normal_normal_weighted_by_n_students_regression
