school_rbd,analysis_sample,outcome,va_raw,va_centered,va_se,va_resid_sd,va_se_method,n_students,n_total,noise_var,dev2,eb_tau2,eb_tau,eb_reliability,va_eb,va_eb_centered,eb_method
1,All,z_year_math_max,0,-.12696946,.064118028,.55363286,stata_areg_centered_student_vce_unadjusted,124,561977,.0041111214744802,.0161212428587383,.0603035922599631,.2455678974539692,.9361772918617822,-.1188659221143261,-.1138378575229785,stata_normal_normal_weighted_by_n_students_regression
3,All,z_year_math_max,-.29981661,-.42678607,.4499568,.2605373,stata_areg_centered_student_vce_unadjusted,2,561977,.2024611259283882,.1821463451329474,.0603035922599631,.2455678974539692,.2294965346783626,-.0979459231992405,-.092917858607893,stata_normal_normal_weighted_by_n_students_regression
4,All,z_year_math_max,.11534242,-.011627038,.034978617,.66511601,stata_areg_centered_student_vce_unadjusted,793,561977,.0012235036460223,.0001351880065537,.0603035922599631,.2455678974539692,.9801143930490096,-.0113958273070087,-.0063677627156611,stata_normal_normal_weighted_by_n_students_regression
5,All,z_year_math_max,.10024486,-.026724597,.044201639,.65073502,stata_areg_centered_student_vce_unadjusted,375,561977,.0019537848504665,.0007142040937595,.0603035922599631,.2455678974539692,.9686176170415763,-.0258859158964531,-.0208578513051055,stata_normal_normal_weighted_by_n_students_regression
7,All,z_year_math_max,-.11965109,-.24662055,.041618347,.57132107,stata_areg_centered_student_vce_unadjusted,446,561977,.0017320868209936,.0608216959190142,.0603035922599631,.2455678974539692,.9720791833561909,-.2397347035811412,-.2347066389897937,stata_normal_normal_weighted_by_n_students_regression
8,All,z_year_math_max,.12786414,.00089467329,.072822288,.70195919,stata_areg_centered_student_vce_unadjusted,107,561977,.005303085582762,8.00440773326e-07,.0603035922599631,.2455678974539692,.9191685091039847,.0008223554876091,.0058504200789567,stata_normal_normal_weighted_by_n_students_regression
15,All,z_year_math_max,-.054814022,-.18178348,.099081613,.47691721,stata_areg_centered_student_vce_unadjusted,63,561977,.0098171660591385,.0330452343864296,.0603035922599631,.2455678974539692,.8599962936158925,-.1563331211704735,-.1513050565791259,stata_normal_normal_weighted_by_n_students_regression
25,All,z_year_math_max,.071777388,-.055192064,.082708158,.57856452,stata_areg_centered_student_vce_unadjusted,84,561977,.0068406393334164,.0030461639530985,.0603035922599631,.2455678974539692,.8981202231214315,-.0495691093054774,-.0445410447141299,stata_normal_normal_weighted_by_n_students_regression
28,All,z_year_math_max,.45993894,.33296949,.63742971,,stata_areg_centered_student_vce_unadjusted,1,561977,.4063166405487664,.1108686792631772,.0603035922599631,.2455678974539692,.1292348424263076,.0430312589115234,.048059323502871,stata_normal_normal_weighted_by_n_students_regression
32,All,z_year_math_max,-.10887635,-.2358458,.13483834,.54795593,stata_areg_centered_student_vce_unadjusted,45,561977,.0181813786530824,.0556232432373795,.0603035922599631,.2455678974539692,.7683457298694063,-.1812111166387678,-.1761830520474202,stata_normal_normal_weighted_by_n_students_regression
