school_rbd,analysis_sample,outcome,va_raw,va_centered,va_se,va_resid_sd,va_se_method,n_students,n_total,noise_var,dev2,eb_tau2,eb_tau,eb_reliability,va_eb,va_eb_centered,eb_method
1,All,program_certified_years_m1,0,.22107889,.20407793,1.7920969,stata_areg_centered_student_vce_unadjusted,125,565229,.0416478012103747,.0488758746245046,.0294328794311119,.1715601335716195,.4140770623675383,.0915436962019868,.1018922539447375,stata_normal_normal_weighted_by_n_students_regression
3,All,program_certified_years_m1,.25354892,.47462782,1.4364611,.022313165,stata_areg_centered_student_vce_unadjusted,2,565229,2.063420466076323,.2252715702150749,.0294328794311119,.1715601335716195,.0140635173956614,.006674936439249,.0170234941819996,stata_normal_normal_weighted_by_n_students_regression
4,All,program_certified_years_m1,-.42180488,-.20072597,.11161546,1.8079221,stata_areg_centered_student_vce_unadjusted,795,565229,.0124580118243165,.0402909160154725,.0294328794311119,.1715601335716195,.7026080980623175,-.1410316939376283,-.1306831361948777,stata_normal_normal_weighted_by_n_students_regression
5,All,program_certified_years_m1,-.16093087,.060148016,.14162168,1.9869561,stata_areg_centered_student_vce_unadjusted,372,565229,.0200566999819296,.0036177838073318,.0294328794311119,.1715601335716195,.5947288253445079,.0357717585929173,.046120316335668,stata_normal_normal_weighted_by_n_students_regression
7,All,program_certified_years_m1,-.40078425,-.17970535,.13274503,1.412606,stata_areg_centered_student_vce_unadjusted,449,565229,.0176212423371567,.0322940133172566,.0294328794311119,.1715601335716195,.6255111842499689,-.1124077073661125,-.1020591496233618,stata_normal_normal_weighted_by_n_students_regression
8,All,program_certified_years_m1,-.59479666,-.37371778,.23385482,1.155936,stata_areg_centered_student_vce_unadjusted,106,565229,.0546880746688763,.1396649825845178,.0294328794311119,.1715601335716195,.3498876082186052,-.1307592220334322,-.1204106642906816,stata_normal_normal_weighted_by_n_students_regression
15,All,program_certified_years_m1,-.6978907,-.4768118,.31791705,1.6604229,stata_areg_centered_student_vce_unadjusted,63,565229,.1010712500010733,.2273494890174309,.0294328794311119,.1715601335716195,.2255321694353461,-.1075363990182884,-.0971878412755377,stata_normal_normal_weighted_by_n_students_regression
25,All,program_certified_years_m1,-.14269394,.078384958,.26206645,1.5680451,stata_areg_centered_student_vce_unadjusted,85,565229,.0686788261524294,.0061442017051494,.0294328794311119,.1715601335716195,.2999935558764706,.0235149821973061,.0338635399400568,stata_normal_normal_weighted_by_n_students_regression
28,All,program_certified_years_m1,-.38368657,-.1626077,1.4340717,.38216636,stata_areg_centered_student_vce_unadjusted,2,565229,2.05656152613507,.0264412639135595,.0294328794311119,.1715601335716195,.0141097595240785,-.00229435573945,.0080542020033006,stata_normal_normal_weighted_by_n_students_regression
32,All,program_certified_years_m1,-.36456728,-.14348838,.4219515,1.4834341,stata_areg_centered_student_vce_unadjusted,47,565229,.178043070513966,.0205889143710977,.0294328794311119,.1715601335716195,.1418616443925345,-.0203554973344726,-.0100069395917219,stata_normal_normal_weighted_by_n_students_regression
45,All,program_certified_years_m1,-.29277903,-.071700118,.18785183,1.9452977,stata_areg_centered_student_vce_unadjusted,208,565229,.0352883105291311,.005140906961132,.0294328794311119,.1715601335716195,.4547641885013547,-.0326066463080579,-.0222580885653073,stata_normal_normal_weighted_by_n_students_regression
50,All,program_certified_years_m1,-.54938626,-.32830739,.308157,1.8300078,stata_areg_centered_student_vce_unadjusted,179,565229,.0949607347787387,.1077857423346977,.0294328794311119,.1715601335716195,.236610855131671,-.0776810924998845,-.0673325347571339,stata_normal_normal_weighted_by_n_students_regression
