school_rbd,analysis_sample,outcome,va_raw,va_centered,va_se,va_resid_sd,va_se_method,n_students,n_total,noise_var,dev2,eb_tau2,eb_tau,eb_reliability,va_eb,va_eb_centered,eb_method
1,All,log_program_income_clp_m1,0,.022466008,.056354538,.55973679,stata_areg_centered_student_vce_unadjusted,125,565432,.003175833908813,.0005047214989061,.0057426020871067,.0757799583472218,.6439023714173627,.0144659155787404,.0172874458055959,stata_normal_normal_weighted_by_n_students_regression
3,All,log_program_income_clp_m1,-.72006863,-.69760263,.39666757,.07914748,stata_areg_centered_student_vce_unadjusted,2,565432,.157345160991107,.4866494288945811,.0057426020871067,.0757799583472218,.0352117288183825,-.024563794629796,-.0217422644029406,stata_normal_normal_weighted_by_n_students_regression
4,All,log_program_income_clp_m1,.00035469391,.0228207,.030821761,.51012087,stata_areg_centered_student_vce_unadjusted,795,565432,.0009499809583155,.0005207843471921,.0057426020871067,.0757799583472218,.8580546626215827,.0195814080033182,.0224029382301736,stata_normal_normal_weighted_by_n_students_regression
5,All,log_program_income_clp_m1,.016783884,.03924989,.03910768,.50910026,stata_areg_centered_student_vce_unadjusted,372,565432,.0015294106600692,.001540553830799,.0057426020871067,.0757799583472218,.7896853714037926,.0309950636064641,.0338165938333195,stata_normal_normal_weighted_by_n_students_regression
7,All,log_program_income_clp_m1,-.059059072,-.036593065,.036656518,.56824374,stata_areg_centered_student_vce_unadjusted,449,565432,.0013437002778266,.0013390523807882,.0057426020871067,.0757799583472218,.8103806176157624,-.0296543103465139,-.0268327801196584,stata_normal_normal_weighted_by_n_students_regression
8,All,log_program_income_clp_m1,-.067380674,-.04491467,.0645772,.57133436,stata_areg_centered_student_vce_unadjusted,106,565432,.0041702146976755,.002017327606091,.0057426020871067,.0757799583472218,.5793108267594068,-.0260195547833609,-.0231980245565054,stata_normal_normal_weighted_by_n_students_regression
15,All,log_program_income_clp_m1,-.20425628,-.18179028,.087790325,.55373609,stata_areg_centered_student_vce_unadjusted,63,565432,.0077071412134713,.0330477049390989,.0057426020871067,.0757799583472218,.4269674118508947,-.0776185242314839,-.0747969940046284,stata_normal_normal_weighted_by_n_students_regression
25,All,log_program_income_clp_m1,.059420895,.081886902,.072367616,.53938758,stata_areg_centered_student_vce_unadjusted,85,565432,.0052370718452038,.0067054647949988,.0057426020871067,.0757799583472218,.5230211864678078,.0428285848708464,.0456501150977019,stata_normal_normal_weighted_by_n_students_regression
28,All,log_program_income_clp_m1,-.44805971,-.4255937,.39600775,1.1108707,stata_areg_centered_student_vce_unadjusted,2,565432,.1568221352547861,.1811300008620058,.0057426020871067,.0757799583472218,.035325016857926,-.0150341047790662,-.0122125745522108,stata_normal_normal_weighted_by_n_students_regression
32,All,log_program_income_clp_m1,.11770857,.14017458,.11651862,.53618228,stata_areg_centered_student_vce_unadjusted,47,565432,.0135765897684284,.0196489136104943,.0057426020871067,.0757799583472218,.2972485666092384,.0416666937449438,.0444882239717993,stata_normal_normal_weighted_by_n_students_regression
45,All,log_program_income_clp_m1,.013527358,.035993364,.05187384,.50732905,stata_areg_centered_student_vce_unadjusted,208,565432,.0026908953169769,.0012955222318678,.0057426020871067,.0757799583472218,.6809277114766223,.0245088787745179,.0273304090013734,stata_normal_normal_weighted_by_n_students_regression
50,All,log_program_income_clp_m1,-.055908974,-.033442967,.08509516,.51561224,stata_areg_centered_student_vce_unadjusted,179,565432,.0072411862059774,.00111843201691,.0057426020871067,.0757799583472218,.4422901819929946,-.014791495808042,-.0119699655811866,stata_normal_normal_weighted_by_n_students_regression
52,All,log_program_income_clp_m1,-.058628935,-.036162928,.030583601,.55600464,stata_areg_centered_student_vce_unadjusted,1055,565432,.0009353566773441,.0013077573423815,.0057426020871067,.0757799583472218,.8599337446760859,-.0310977218773536,-.0282761916504982,stata_normal_normal_weighted_by_n_students_regression
56,All,log_program_income_clp_m1,.11967245,.14213845,.05634997,.54796201,stata_areg_centered_student_vce_unadjusted,269,565432,.0031753191641185,.0202033393520013,.0057426020871067,.0757799583472218,.6439395376268621,.0915285686293507,.0943500988562062,stata_normal_normal_weighted_by_n_students_regression
59,All,log_program_income_clp_m1,-.035636559,-.013170553,.069722958,.64249682,stata_areg_centered_student_vce_unadjusted,127,565432,.0048612908595951,.0001734634758018,.0057426020871067,.0757799583472218,.5415560224882154,-.0071325925030398,-.0043110622761843,stata_normal_normal_weighted_by_n_students_regression
60,All,log_program_income_clp_m1,-.092641778,-.070175774,.055855621,.56011701,stata_areg_centered_student_vce_unadjusted,245,565432,.003119850358469,.0049246393103794,.0057426020871067,.0757799583472218,.6479698618832672,-.0454717868466543,-.0426502566197989,stata_normal_normal_weighted_by_n_students_regression
