school_rbd,analysis_sample,outcome,va_raw,va_centered,va_se,va_resid_sd,va_se_method,n_students,n_total,noise_var,dev2,eb_tau2,eb_tau,eb_reliability,va_eb,va_eb_centered,eb_method
1,All,log_program_income_area_clp_m1,0,.0043270658,.04307536,.44342196,stata_areg_centered_student_vce_unadjusted,125,565432,.001855486669951,.0000187234977309,.0029624055981986,.0544279854321154,.6148758488816005,.0026606082654194,.0045951818330543,stata_normal_normal_weighted_by_n_students_regression
3,All,log_program_income_area_clp_m1,-.44617823,-.44185114,.30319825,.041989405,stata_areg_centered_student_vce_unadjusted,2,565432,.0919291776799946,.1952324291480788,.0029624055981986,.0544279854321154,.0312188446631109,-.0137940820179525,-.0118595084503176,stata_normal_normal_weighted_by_n_students_regression
4,All,log_program_income_area_clp_m1,.036286589,.040613651,.023559034,.42857802,stata_areg_centered_student_vce_unadjusted,795,565432,.0005550280769206,.0016494686651724,.0029624055981986,.0544279854321154,.8422065266371117,.0342050821841627,.0361396557517976,stata_normal_normal_weighted_by_n_students_regression
5,All,log_program_income_area_clp_m1,.049202517,.053529583,.029892487,.41871569,stata_areg_centered_student_vce_unadjusted,372,565432,.0008935608060341,.0028654162410596,.0029624055981986,.0544279854321154,.7682654068113036,.0411249268102971,.043059500377932,stata_normal_normal_weighted_by_n_students_regression
7,All,log_program_income_area_clp_m1,-.049422748,-.045095682,.028018909,.44551063,stata_areg_centered_student_vce_unadjusted,449,565432,.0007850592377441,.0020336205533401,.0029624055981986,.0544279854321154,.7905092450195997,-.0356485536331347,-.0337139800654997,stata_normal_normal_weighted_by_n_students_regression
8,All,log_program_income_area_clp_m1,-.036789753,-.032462686,.049360462,.44188631,stata_areg_centered_student_vce_unadjusted,106,565432,.0024364551627576,.0010538260056401,.0029624055981986,.0544279854321154,.5487093906222325,-.017812580791304,-.0158780072236691,stata_normal_normal_weighted_by_n_students_regression
15,All,log_program_income_area_clp_m1,-.17374879,-.16942173,.067103729,.40292177,stata_areg_centered_student_vce_unadjusted,63,565432,.0045029103990013,.0287037234380056,.0029624055981986,.0544279854321154,.3968225322691925,-.0672303608472008,-.0652957872795659,stata_normal_normal_weighted_by_n_students_regression
25,All,log_program_income_area_clp_m1,.057905786,.062232848,.05531517,.4189809,stata_areg_centered_student_vce_unadjusted,85,565432,.0030597680804852,.0038729273948534,.0029624055981986,.0544279854321154,.4919163339118551,.0306133545932056,.0325479281608405,stata_normal_normal_weighted_by_n_students_regression
28,All,log_program_income_area_clp_m1,-.28540465,-.28107759,.3026939,.83634466,stata_areg_centered_student_vce_unadjusted,2,565432,.0916235991834959,.0790046136372718,.0029624055981986,.0544279854321154,.0313197032165152,-.0088032667544248,-.0068686931867898,stata_normal_normal_weighted_by_n_students_regression
32,All,log_program_income_area_clp_m1,.083520018,.087847084,.089062601,.45216528,stata_areg_centered_student_vce_unadjusted,47,565432,.0079321469552918,.0077171101230827,.0029624055981986,.0544279854321154,.2719162245217208,.0238870474067649,.0258216209743998,stata_normal_normal_weighted_by_n_students_regression
45,All,log_program_income_area_clp_m1,.054874238,.059201304,.039650477,.42191079,stata_areg_centered_student_vce_unadjusted,208,565432,.0015721603635171,.0035047943728992,.0029624055981986,.0544279854321154,.6532941902730055,.0386758678948669,.0406104414625018,stata_normal_normal_weighted_by_n_students_regression
50,All,log_program_income_area_clp_m1,-.034232542,-.029905474,.065043643,.41537467,stata_areg_centered_student_vce_unadjusted,179,565432,.0042306755099253,.0008943373675146,.0029624055981986,.0544279854321154,.4118409835324711,-.0123162997138076,-.0103817261461727,stata_normal_normal_weighted_by_n_students_regression
52,All,log_program_income_area_clp_m1,-.025674067,-.021347001,.023376994,.44076121,stata_areg_centered_student_vce_unadjusted,1055,565432,.0005464838407603,.0004556944625227,.0029624055981986,.0544279854321154,.8442573212217024,-.0180223620358292,-.0160877884681943,stata_normal_normal_weighted_by_n_students_regression
56,All,log_program_income_area_clp_m1,.11495358,.11928064,.04307187,.43501532,stata_areg_centered_student_vce_unadjusted,269,565432,.0018551859646872,.0142278719620773,.0029624055981986,.0544279854321154,.6149142283087384,.0733473650331591,.075281938600794,stata_normal_normal_weighted_by_n_students_regression
59,All,log_program_income_area_clp_m1,.0071359584,.011463025,.05329369,.49449575,stata_areg_centered_student_vce_unadjusted,127,565432,.0028402174029198,.0001314009328613,.0029624055981986,.0544279854321154,.5105287035927691,.005852203144323,.0077867767119579,stata_normal_normal_weighted_by_n_students_regression
60,All,log_program_income_area_clp_m1,-.045316715,-.040989649,.042694002,.44671911,stata_areg_centered_student_vce_unadjusted,245,565432,.0018227778400695,.0016801512931245,.0029624055981986,.0544279854321154,.6190787952887331,-.0253758222217534,-.0234412486541185,stata_normal_normal_weighted_by_n_students_regression
67,All,log_program_income_area_clp_m1,.12370571,.12803279,.068494543,.43604666,stata_areg_centered_student_vce_unadjusted,148,565432,.0046915024801211,.0163923949504493,.0029624055981986,.0544279854321154,.3870448361654404,.0495544297367359,.0514890033043708,stata_normal_normal_weighted_by_n_students_regression
69,All,log_program_income_area_clp_m1,.1089848,.11331186,.05475039,.47891578,stata_areg_centered_student_vce_unadjusted,158,565432,.002997605243567,.0128395786085898,.0029624055981986,.0544279854321154,.4970470149884808,.0563213240100442,.0582558975776791,stata_normal_normal_weighted_by_n_students_regression
72,All,log_program_income_area_clp_m1,-.36149108,-.35716403,.52530789,,stata_areg_centered_student_vce_unadjusted,1,565432,.2759483832392675,.1275661410152036,.0029624055981986,.0544279854321154,.0106213374195607,-.0037935595688534,-.0018589860012185,stata_normal_normal_weighted_by_n_students_regression
78,All,log_program_income_area_clp_m1,-.16595884,-.16163176,.13373557,.52542126,stata_areg_centered_student_vce_unadjusted,22,565432,.0178852019694284,.0261248268234496,.0029624055981986,.0544279854321154,.1420981083123755,-.0229675677125109,-.021032994144876,stata_normal_normal_weighted_by_n_students_regression
97,All,log_program_income_area_clp_m1,.12930475,.13363181,.046576433,.37195852,stata_areg_centered_student_vce_unadjusted,95,565432,.0021693641001735,.0178574607740978,.0029624055981986,.0544279854321154,.5772678378646504,.0771413463685888,.0790759199362237,stata_normal_normal_weighted_by_n_students_regression
103,All,log_program_income_area_clp_m1,-.095613651,-.091286585,.05558221,.42448473,stata_areg_centered_student_vce_unadjusted,98,565432,.0030893821153468,.0083332405632787,.0029624055981986,.0544279854321154,.4895091728957998,-.0446856205601154,-.0427510469924805,stata_normal_normal_weighted_by_n_students_regression
106,All,log_program_income_area_clp_m1,-.0060723475,-.0017452814,.051728357,.44907451,stata_areg_centered_student_vce_unadjusted,89,565432,.0026758228796001,3.04600734131e-06,.0029624055981986,.0544279854321154,.5254142519877386,-.0009169956891196,.0010175778785153,stata_normal_normal_weighted_by_n_students_regression
107,All,log_program_income_area_clp_m1,.10607801,.11040508,.04810375,.44892198,stata_areg_centered_student_vce_unadjusted,92,565432,.0023139707402073,.0121892816813597,.0029624055981986,.0544279854321154,.5614469871369268,.0619865995678151,.06392117313545,stata_normal_normal_weighted_by_n_students_regression
