school_rbd,analysis_sample,outcome,va_raw,va_centered,va_se,va_resid_sd,va_se_method,n_students,n_total,noise_var,dev2,eb_tau2,eb_tau,eb_reliability,va_eb,va_eb_centered,eb_method
1,All,log_program_income_full_clp_m1,0,-.10699192,.029240336,.42428634,stata_areg_centered_student_vce_unadjusted,321,757999,.0008549972651324,.0114472702730191,.0073929455932413,.0859822399873447,.8963381197210453,-.095900933618729,-.0929399727557432,stata_normal_normal_weighted_by_n_students_regression
3,All,log_program_income_full_clp_m1,-.27962872,-.38662064,.17901179,.19581284,stata_areg_centered_student_vce_unadjusted,6,757999,.0320452216551823,.1494755198292847,.0073929455932413,.0859822399873447,.1874566215684587,-.0724745991742365,-.0695136383112508,stata_normal_normal_weighted_by_n_students_regression
4,All,log_program_income_full_clp_m1,.17342407,.066432148,.021754948,.43018806,stata_areg_centered_student_vce_unadjusted,849,757999,.0004732777808575,.0044132303217399,.0073929455932413,.0859822399873447,.9398341798408811,.0624352035334762,.065396164396462,stata_normal_normal_weighted_by_n_students_regression
5,All,log_program_income_full_clp_m1,.15176922,.044777304,.027583435,.43200034,stata_areg_centered_student_vce_unadjusted,429,757999,.0007608458962081,.002005006950883,.0073929455932413,.0859822399873447,.9066880852677484,.0405990479640448,.0435600088270305,stata_normal_normal_weighted_by_n_students_regression
7,All,log_program_income_full_clp_m1,.0513772,-.055614717,.02318795,.44931817,stata_areg_centered_student_vce_unadjusted,731,757999,.0005376810369582,.003092996776813,.0073929455932413,.0859822399873447,.9322019479632665,-.0518441478093543,-.0488831869463686,stata_normal_normal_weighted_by_n_students_regression
8,All,log_program_income_full_clp_m1,.070167229,-.036824692,.040949527,.43004373,stata_areg_centered_student_vce_unadjusted,167,757999,.0016768637757934,.0013560579411965,.0073929455932413,.0859822399873447,.8151158742632063,-.0300163910539779,-.0270554301909921,stata_normal_normal_weighted_by_n_students_regression
15,All,log_program_income_full_clp_m1,.028717114,-.078274801,.058396202,.4056654,stata_areg_centered_student_vce_unadjusted,85,757999,.0034101163590611,.0061269445243305,.0073929455932413,.0859822399873447,.6843379799063077,-.0535664194610448,-.0506054585980591,stata_normal_normal_weighted_by_n_students_regression
22,All,log_program_income_full_clp_m1,-.43076736,-.5377593,.43692377,,stata_areg_centered_student_vce_unadjusted,1,757999,.1909023826231513,.2891850690493677,.0073929455932413,.0859822399873447,.0372825000958856,-.0200490113399039,-.0170880504769182,stata_normal_normal_weighted_by_n_students_regression
25,All,log_program_income_full_clp_m1,.18569957,.078707643,.049394868,.42159751,stata_areg_centered_student_vce_unadjusted,107,757999,.0024398530157837,.0061948930492755,.0073929455932413,.0859822399873447,.7518658611044591,.0591775896602903,.0621385505232761,stata_normal_normal_weighted_by_n_students_regression
28,All,log_program_income_full_clp_m1,-.12996647,-.23695838,.087632366,.31076798,stata_areg_centered_student_vce_unadjusted,26,757999,.0076794314874667,.0561492759740772,.0073929455932413,.0859822399873447,.4904963267342864,-.1162272172115772,-.1132662563485915,stata_normal_normal_weighted_by_n_students_regression
32,All,log_program_income_full_clp_m1,.093754657,-.013237262,.072464988,.50823897,stata_areg_centered_student_vce_unadjusted,72,757999,.0052511744330295,.0001752251081185,.0073929455932413,.0859822399873447,.5846943542042422,-.0077397524563131,-.0047787915933274,stata_normal_normal_weighted_by_n_students_regression
45,All,log_program_income_full_clp_m1,.16792256,.06093064,.038161773,.41973969,stata_areg_centered_student_vce_unadjusted,227,757999,.0014563209364095,.0037125428349938,.0073929455932413,.0859822399873447,.8354303227810067,.0509033038232171,.0538642646862029,stata_normal_normal_weighted_by_n_students_regression
50,All,log_program_income_full_clp_m1,.13018727,.023195358,.062636316,.41302556,stata_areg_centered_student_vce_unadjusted,193,757999,.0039233080598287,.0005380246341321,.0073929455932413,.0859822399873447,.6533032768522027,.0151536033720627,.0181145642350485,stata_normal_normal_weighted_by_n_students_regression
52,All,log_program_income_full_clp_m1,.0983117,-.008680216,.020581245,.43565437,stata_areg_centered_student_vce_unadjusted,1333,757999,.0004235876631355,.0000753461498093,.0073929455932413,.0859822399873447,.945808755717891,-.0082098243310513,-.0052488634680656,stata_normal_normal_weighted_by_n_students_regression
56,All,log_program_income_full_clp_m1,.22375377,.11676186,.042041246,.46482986,stata_areg_centered_student_vce_unadjusted,287,757999,.001767466352447,.013633330973985,.0073929455932413,.0859822399873447,.8070538352504011,.0942331035120143,.0971940643750001,stata_normal_normal_weighted_by_n_students_regression
59,All,log_program_income_full_clp_m1,.14711395,.040122036,.053778093,.50852555,stata_areg_centered_student_vce_unadjusted,131,757999,.0028920833198666,.0016097777669599,.0073929455932413,.0859822399873447,.7188064958980601,.0288399800166871,.0318009408796728,stata_normal_normal_weighted_by_n_students_regression
60,All,log_program_income_full_clp_m1,.1337903,.026798382,.041805796,.44229114,stata_areg_centered_student_vce_unadjusted,256,757999,.0017477246063847,.0007181533012961,.0073929455932413,.0859822399873447,.8087968859814919,.0216744482286518,.0246354090916376,stata_normal_normal_weighted_by_n_students_regression
67,All,log_program_income_full_clp_m1,.26649907,.15950716,.067773536,.42617515,stata_areg_centered_student_vce_unadjusted,156,757999,.0045932521612946,.0254425326413398,.0073929455932413,.0859822399873447,.6167882213059296,.0983821346620607,.1013430955250465,stata_normal_normal_weighted_by_n_students_regression
69,All,log_program_income_full_clp_m1,.25453541,.14754348,.054474212,.49646229,stata_areg_centered_student_vce_unadjusted,162,757999,.0029674397979976,.021769077035271,.0073929455932413,.0859822399873447,.7135782419342296,.1052838135116173,.1082447743746031,stata_normal_normal_weighted_by_n_students_regression
72,All,log_program_income_full_clp_m1,-.26781815,-.37481007,.32768667,.0034811383,stata_areg_centered_student_vce_unadjusted,2,757999,.1073785520194548,.1404825883956229,.0073929455932413,.0859822399873447,.0644144735149254,-.0241431933484517,-.0211822324854659,stata_normal_normal_weighted_by_n_students_regression
78,All,log_program_income_full_clp_m1,.0030390264,-.10395289,.12544653,.52880687,stata_areg_centered_student_vce_unadjusted,25,757999,.0157368314365138,.0108062037734733,.0073929455932413,.0859822399873447,.3196289174655995,-.0332263504021131,-.0302653895391274,stata_normal_normal_weighted_by_n_students_regression
