school_rbd,analysis_sample,outcome,va_raw,va_centered,va_se,va_resid_sd,va_se_method,n_students,n_total,noise_var,dev2,eb_tau2,eb_tau,eb_reliability,va_eb,va_eb_centered,eb_method
1,All,log_program_income_institution_clp_m1,0,.032443743,.037250951,.3799879,stata_areg_centered_student_vce_unadjusted,125,565432,.0013876333453757,.0010525964747536,.0030867383139502,.0555584225293538,.6898707905760396,.0223819907605343,.0240361035975013,stata_normal_normal_weighted_by_n_students_regression
3,All,log_program_income_institution_clp_m1,-.51164812,-.47920439,.26220149,.074180402,stata_areg_centered_student_vce_unadjusted,2,565432,.0687496203188722,.2296368439853769,.0030867383139502,.0555584225293538,.0429690253333618,-.0205909454514634,-.0189368326144964,stata_normal_normal_weighted_by_n_students_regression
4,All,log_program_income_institution_clp_m1,.02524507,.05768881,.020373512,.32692873,stata_areg_centered_student_vce_unadjusted,795,565432,.0004150799936366,.0033279987948146,.0030867383139502,.0555584225293538,.8814672957939365,.0508507992840702,.0525049121210373,stata_normal_normal_weighted_by_n_students_regression
5,All,log_program_income_institution_clp_m1,.033040471,.065484211,.025850592,.32949722,stata_areg_centered_student_vce_unadjusted,372,565432,.0006682531161129,.0042881818744953,.0030867383139502,.0555584225293538,.8220360476024763,.0538303818610806,.0554844946980476,stata_normal_normal_weighted_by_n_students_regression
7,All,log_program_income_institution_clp_m1,-.038376637,-.0059328959,.024230348,.37517315,stata_areg_centered_student_vce_unadjusted,449,565432,.0005871097615981,.0000351992537813,.0030867383139502,.0555584225293538,.8401921501583942,-.0049847725949502,-.0033306597579831,stata_normal_normal_weighted_by_n_students_regression
8,All,log_program_income_institution_clp_m1,.00068019197,.033123933,.042686213,.40849206,stata_areg_centered_student_vce_unadjusted,106,565432,.0018221127638808,.0010971949247622,.0030867383139502,.0555584225293538,.6288107471604332,.0208286849082028,.0224827977451698,stata_normal_normal_weighted_by_n_students_regression
15,All,log_program_income_institution_clp_m1,-.080374971,-.047931232,.058030341,.41181234,stata_areg_centered_student_vce_unadjusted,63,565432,.0033675204557493,.0022974029557667,.0030867383139502,.0555584225293538,.4782483045832264,-.0229230302453057,-.0212689174083387,stata_normal_normal_weighted_by_n_students_regression
25,All,log_program_income_institution_clp_m1,.064000621,.096444361,.047835764,.37336591,stata_areg_centered_student_vce_unadjusted,85,565432,.0022882602738226,.0093015147575917,.0030867383139502,.0555584225293538,.5742770465041644,.0553857827234209,.0570398955603879,stata_normal_normal_weighted_by_n_students_regression
28,All,log_program_income_institution_clp_m1,-.22660805,-.19416432,.26176533,.7738291,stata_areg_centered_student_vce_unadjusted,2,565432,.0685210885291889,.0376997834701553,.0030867383139502,.0555584225293538,.0431061582236238,-.0083696779641865,-.0067155651272195,stata_normal_normal_weighted_by_n_students_regression
32,All,log_program_income_institution_clp_m1,.13985093,.17229466,.077020049,.33423993,stata_areg_centered_student_vce_unadjusted,47,565432,.0059320879626199,.0296854503584071,.0030867383139502,.0555584225293538,.3422549918684215,.0589687079172448,.0606228207542118,stata_normal_normal_weighted_by_n_students_regression
45,All,log_program_income_institution_clp_m1,.017268412,.049712155,.034289159,.32644591,stata_areg_centered_student_vce_unadjusted,208,565432,.0011757464167466,.0024712983592032,.0030867383139502,.0555584225293538,.7241640754090385,.0359997567640711,.0376538696010381,stata_normal_normal_weighted_by_n_students_regression
50,All,log_program_income_institution_clp_m1,-.031878207,.00056553405,.056248803,.35130829,stata_areg_centered_student_vce_unadjusted,179,565432,.0031639278042496,3.19828796415e-07,.0030867383139502,.0555584225293538,.4938254988476652,.0002792751189357,.0019333879559028,stata_normal_normal_weighted_by_n_students_regression
52,All,log_program_income_institution_clp_m1,-.029611649,.0028320921,.020216087,.37350488,stata_areg_centered_student_vce_unadjusted,1055,565432,.0004086901687143,8.02074590363e-06,.0030867383139502,.0555584225293538,.8830786638201226,.0025009601144442,.0041550729514112,stata_normal_normal_weighted_by_n_students_regression
56,All,log_program_income_institution_clp_m1,.093578756,.1260225,.03724793,.35409069,stata_areg_centered_student_vce_unadjusted,269,565432,.0013874082685803,.0158816712146311,.0030867383139502,.0555584225293538,.6899054952742263,.0869436171866256,.0885977300235926,stata_normal_normal_weighted_by_n_students_regression
59,All,log_program_income_institution_clp_m1,-.037363198,-.0049194572,.046087615,.41065115,stata_areg_centered_student_vce_unadjusted,127,565432,.00212406827408,.0000242010593273,.0030867383139502,.0555584225293538,.5923724593886818,-.0029141510021136,-.0012600381651466,stata_normal_normal_weighted_by_n_students_regression
60,All,log_program_income_institution_clp_m1,-.047346152,-.01490241,.036921158,.36645854,stata_areg_centered_student_vce_unadjusted,245,565432,.0013631719400318,.0002220818258005,.0030867383139502,.0555584225293538,.6936630488644254,-.0103372512329703,-.0086831383960033,stata_normal_normal_weighted_by_n_students_regression
67,All,log_program_income_institution_clp_m1,.14699876,.17944251,.059233088,.31505793,stata_areg_centered_student_vce_unadjusted,148,565432,.0035085587195022,.0321996144092349,.0030867383139502,.0555584225293538,.4680211214587882,.0839828847554395,.0856369975924065,stata_normal_normal_weighted_by_n_students_regression
69,All,log_program_income_institution_clp_m1,.042738233,.075181976,.047347348,.36495468,stata_areg_centered_student_vce_unadjusted,158,565432,.0022417713799995,.0056523295139572,.0030867383139502,.0555584225293538,.5792873601140429,.0435519683695869,.0452060812065539,stata_normal_normal_weighted_by_n_students_regression
72,All,log_program_income_institution_clp_m1,-.13873316,-.10628942,.45427868,,stata_areg_centered_student_vce_unadjusted,1,565432,.2063691170146322,.0112974416482139,.0030867383139502,.0555584225293538,.0147369397198656,-.0015663808645022,.0000877319724649,stata_normal_normal_weighted_by_n_students_regression
78,All,log_program_income_institution_clp_m1,-.12868872,-.096244976,.11565259,.5021202,stata_areg_centered_student_vce_unadjusted,22,565432,.0133755218027156,.0092630953848209,.0030867383139502,.0555584225293538,.1875039206084043,-.0180463103495446,-.0163921975125775,stata_normal_normal_weighted_by_n_students_regression
97,All,log_program_income_institution_clp_m1,.040398009,.072841749,.040278628,.29703274,stata_areg_centered_student_vce_unadjusted,95,565432,.0016223679113045,.0053059203428659,.0030867383139502,.0555584225293538,.6554828382074186,.0477465160986646,.0494006289356316,stata_normal_normal_weighted_by_n_students_regression
103,All,log_program_income_institution_clp_m1,-.14778729,-.11534354,.048066694,.38002509,stata_areg_centered_student_vce_unadjusted,98,565432,.002310407099915,.0133041324218902,.0030867383139502,.0555584225293538,.5719205389612784,-.0659673400942679,-.0643132272573009,stata_normal_normal_weighted_by_n_students_regression
106,All,log_program_income_institution_clp_m1,-.065872408,-.033428669,.044733934,.37829098,stata_areg_centered_student_vce_unadjusted,89,565432,.0020011248604606,.0011174759074516,.0030867383139502,.0555584225293538,.6066865810139748,-.0202807249008192,-.0186266120638522,stata_normal_normal_weighted_by_n_students_regression
107,All,log_program_income_institution_clp_m1,-.0064785699,.025965171,.041599426,.31304774,stata_areg_centered_student_vce_unadjusted,92,565432,.0017305122783518,.0006741901032609,.0030867383139502,.0555584225293538,.6407676442829978,.0166376414023118,.0182917542392788,stata_normal_normal_weighted_by_n_students_regression
108,All,log_program_income_institution_clp_m1,.0090728709,.041516613,.037204977,.32976925,stata_areg_centered_student_vce_unadjusted,119,565432,.0013842103228665,.0017236291753998,.0030867383139502,.0555584225293538,.6903989655644838,.0286630268080548,.0303171396450218,stata_normal_normal_weighted_by_n_students_regression
109,All,log_program_income_institution_clp_m1,-.096258529,-.063814789,.039321359,.37056318,stata_areg_centered_student_vce_unadjusted,105,565432,.0015461692930292,.004072327298459,.0030867383139502,.0555584225293538,.6662637323697271,-.0425174795475592,-.0408633667105922,stata_normal_normal_weighted_by_n_students_regression
110,All,log_program_income_institution_clp_m1,-.10364819,-.071204454,.043239508,.36351997,stata_areg_centered_student_vce_unadjusted,115,565432,.0018696550368775,.0050700742233215,.0030867383139502,.0555584225293538,.6227791249527652,-.044344647383757,-.04269053454679,stata_normal_normal_weighted_by_n_students_regression
124,All,log_program_income_institution_clp_m1,-.061092474,-.028648732,.025231257,.35584691,stata_areg_centered_student_vce_unadjusted,359,565432,.0006366163338891,.0008207498566383,.0030867383139502,.0555584225293538,.8290207637731885,-.0237503938797313,-.0220962810427643,stata_normal_normal_weighted_by_n_students_regression
125,All,log_program_income_institution_clp_m1,.067611687,.10005543,.047374051,.32331017,stata_areg_centered_student_vce_unadjusted,101,565432,.0022443007142384,.0100110883500347,.0030867383139502,.0555584225293538,.579012514751558,.0579333440178951,.0595874568548621,stata_normal_normal_weighted_by_n_students_regression
127,All,log_program_income_institution_clp_m1,-.047532547,-.015088806,.035193518,.34880733,stata_areg_centered_student_vce_unadjusted,258,565432,.0012385836954307,.0002276720634351,.0030867383139502,.0555584225293538,.7136435870567703,-.010768029596206,-.009113916759239,stata_normal_normal_weighted_by_n_students_regression
129,All,log_program_income_institution_clp_m1,-.043809071,-.011365331,.10500145,.3789998,stata_areg_centered_student_vce_unadjusted,15,565432,.0110253044149431,.0001291707429998,.0030867383139502,.0555584225293538,.2187307942053176,-.0024859478513778,-.0008318350144108,stata_normal_normal_weighted_by_n_students_regression
130,All,log_program_income_institution_clp_m1,-.060807053,-.02836331,.05322513,.32116681,stata_areg_centered_student_vce_unadjusted,88,565432,.0028329144467785,.0008044773411119,.0030867383139502,.0555584225293538,.5214390841347677,-.0147897383000998,-.0131356254631328,stata_normal_normal_weighted_by_n_students_regression
131,All,log_program_income_institution_clp_m1,-.047654163,-.015210421,.062993579,.33548808,stata_areg_centered_student_vce_unadjusted,51,565432,.0039681909464476,.000231356900731,.0030867383139502,.0555584225293538,.4375293075264897,-.0066550049077649,-.0050008920707979,stata_normal_normal_weighted_by_n_students_regression
132,All,log_program_income_institution_clp_m1,-.022901041,.0095427008,.025358874,.37884703,stata_areg_centered_student_vce_unadjusted,653,565432,.000643072508339,.0000910631398017,.0030867383139502,.0555584225293538,.8275857573000776,.0078974032915963,.0095515161285633,stata_normal_normal_weighted_by_n_students_regression
133,All,log_program_income_institution_clp_m1,-.083621308,-.051177565,.051778514,.35454902,stata_areg_centered_student_vce_unadjusted,145,565432,.0026810145056472,.0026191431570598,.0030867383139502,.0555584225293538,.5351717402767743,-.0273887865428856,-.0257346737059186,stata_normal_normal_weighted_by_n_students_regression
134,All,log_program_income_institution_clp_m1,-.090494536,-.058050796,.069214806,.32439241,stata_areg_centered_student_vce_unadjusted,42,565432,.0047906893641712,.0033698949579148,.0030867383139502,.0555584225293538,.3918459730862736,-.0227469708183014,-.0210928579813344,stata_normal_normal_weighted_by_n_students_regression
144,All,log_program_income_institution_clp_m1,-.13725911,-.10481537,.056191273,.34595531,stata_areg_centered_student_vce_unadjusted,54,565432,.0031574591651387,.010986262061591,.0030867383139502,.0555584225293538,.4943370744258702,-.0518141240358439,-.0501600111988769,stata_normal_normal_weighted_by_n_students_regression
161,All,log_program_income_institution_clp_m1,-.037599996,-.0051562549,.081512988,.33273771,stata_areg_centered_student_vce_unadjusted,48,565432,.0066443671497076,.0000265869638815,.0030867383139502,.0555584225293538,.3172032535746391,-.0016355808392045,.0000185319977625,stata_normal_normal_weighted_by_n_students_regression
