school_rbd,analysis_sample,outcome,va_raw,va_centered,va_se,va_resid_sd,va_se_method,n_students,n_total,noise_var,dev2,eb_tau2,eb_tau,eb_reliability,va_eb,va_eb_centered,eb_method
1,All,stem_enrollment_m1,0,.16318838,.040757436,.41750553,stata_areg_centered_student_vce_unadjusted,125,565432,.0016611686141793,.0266304483511517,.0038608684475311,.0621358869537656,.6991746713005991,.1140971840227031,.1130315182354995,stata_normal_normal_weighted_by_n_students_regression
3,All,stem_enrollment_m1,-.46375164,-.30056328,.28688288,.083964363,stata_areg_centered_student_vce_unadjusted,2,565432,.0823017853165311,.0903382827487786,.0038608684475311,.0621358869537656,.0448090707385045,-.0134679611180132,-.0145336269052168,stata_normal_normal_weighted_by_n_students_regression
4,All,stem_enrollment_m1,-.15559147,.0075969063,.022291299,.40729874,stata_areg_centered_student_vce_unadjusted,795,565432,.0004969020091315,.0000577129854322,.0038608684475311,.0621358869537656,.8859733402497737,.0067306564239732,.0056649906367696,stata_normal_normal_weighted_by_n_students_regression
5,All,stem_enrollment_m1,-.17073379,-.0075454158,.028283946,.39252141,stata_areg_centered_student_vce_unadjusted,372,565432,.0007999816135556,.0000569332987741,.0038608684475311,.0621358869537656,.8283614355598742,-.0062503314510326,-.0073159972382363,stata_normal_normal_weighted_by_n_students_regression
7,All,stem_enrollment_m1,-.06468723,.098501153,.026511187,.44048899,stata_areg_centered_student_vce_unadjusted,449,565432,.0007028430220366,.009702477205838,.0038608684475311,.0621358869537656,.8459931074250843,.0833312967520475,.0822656309648438,stata_normal_normal_weighted_by_n_students_regression
8,All,stem_enrollment_m1,-.1890904,-.025902016,.04670433,.42249,stata_areg_centered_student_vce_unadjusted,106,565432,.0021812943987399,.0006709144357789,.0038608684475311,.0621358869537656,.6389878170718148,-.0165510727296539,-.0176167385168575,stata_normal_normal_weighted_by_n_students_regression
15,All,stem_enrollment_m1,-.24966216,-.086473778,.06349282,.34999141,stata_areg_centered_student_vce_unadjusted,63,565432,.0040313381492487,.0074777142570524,.0038608684475311,.0621358869537656,.4892001242220942,-.0423029829022405,-.0433686486894441,stata_normal_normal_weighted_by_n_students_regression
25,All,stem_enrollment_m1,-.12727614,.035912246,.052338611,.41748083,stata_areg_centered_student_vce_unadjusted,85,565432,.0027393302364304,.0012896893800206,.0038608684475311,.0621358869537656,.5849624583140279,.0210073154049576,.0199416496177539,stata_normal_normal_weighted_by_n_students_regression
28,All,stem_enrollment_m1,-.58481055,-.42162216,.28640568,.15555453,stata_areg_centered_student_vce_unadjusted,2,565432,.0820282150048257,.177765243327941,.0038608684475311,.0621358869537656,.0449517947140836,-.0189526726833872,-.0200183384705908,stata_normal_normal_weighted_by_n_students_regression
32,All,stem_enrollment_m1,-.040997796,.12219059,.08427006,.38274947,stata_areg_centered_student_vce_unadjusted,47,565432,.0071014430229219,.0149305396136434,.0038608684475311,.0621358869537656,.3521947408571097,.0430348821812368,.0419692163940331,stata_normal_normal_weighted_by_n_students_regression
45,All,stem_enrollment_m1,-.14579377,.017394617,.037516847,.34977531,stata_areg_centered_student_vce_unadjusted,208,565432,.0014075138277934,.0003025727086478,.0038608684475311,.0621358869537656,.732837566782933,.0127474289353169,.0116817631481133,stata_normal_normal_weighted_by_n_students_regression
50,All,stem_enrollment_m1,-.18215524,-.018966848,.061543584,.40354168,stata_areg_centered_student_vce_unadjusted,179,565432,.0037876127155556,.0003597413230014,.0038608684475311,.0621358869537656,.5047889071315934,-.009574254505039,-.0106399202922426,stata_normal_normal_weighted_by_n_students_regression
52,All,stem_enrollment_m1,-.18581361,-.022625213,.022119055,.40126055,stata_areg_centered_student_vce_unadjusted,1055,565432,.0004892525751058,.0005119002839673,.0038608684475311,.0621358869537656,.887531272679582,-.0200805845260936,-.0211462503132972,stata_normal_normal_weighted_by_n_students_regression
56,All,stem_enrollment_m1,-.046784978,.11640341,.040754132,.430345,stata_areg_centered_student_vce_unadjusted,269,565432,.0016608992728556,.0135497534826355,.0038608684475311,.0621358869537656,.6992087757108246,.0813902846303078,.0803246188431041,stata_normal_normal_weighted_by_n_students_regression
59,All,stem_enrollment_m1,-.22313103,-.059942648,.050425909,.42411226,stata_areg_centered_student_vce_unadjusted,127,565432,.0025427723448269,.0035931210231946,.0038608684475311,.0621358869537656,.6029177108339112,-.0361404840145404,-.037206149801744,stata_normal_normal_weighted_by_n_students_regression
60,All,stem_enrollment_m1,-.127131,.036057383,.040396601,.38836715,stata_areg_centered_student_vce_unadjusted,245,565432,.0016318853692576,.00130013485829,.0038608684475311,.0621358869537656,.7029021464115651,.0253448117700554,.0242791459828518,stata_normal_normal_weighted_by_n_students_regression
67,All,stem_enrollment_m1,-.1104877,.052700687,.064808786,.45123073,stata_areg_centered_student_vce_unadjusted,148,565432,.0042001787318249,.0027773624347181,.0038608684475311,.0621358869537656,.478953709316905,.0252411896011819,.0241755238139782,stata_normal_normal_weighted_by_n_students_regression
69,All,stem_enrollment_m1,-.064175047,.099013336,.051804222,.46509579,stata_areg_centered_student_vce_unadjusted,158,565432,.0026836774342801,.0098036407127659,.0038608684475311,.0621358869537656,.5899367988635218,.0584116104731416,.057345944685938,stata_normal_normal_weighted_by_n_students_regression
72,All,stem_enrollment_m1,.42729804,.59048641,.4970406,,stata_areg_centered_student_vce_unadjusted,1,565432,.2470493576353983,.3486741972203173,.0038608684475311,.0621358869537656,.0153874495583734,.0090860797753166,.008020413988113,stata_normal_normal_weighted_by_n_students_regression
78,All,stem_enrollment_m1,-.27962726,-.11643887,.12653914,.45491666,stata_areg_centered_student_vce_unadjusted,22,565432,.0160121541897604,.0135580111641633,.0038608684475311,.0621358869537656,.1942768605459267,-.0226213787396102,-.0236870445268138,stata_normal_normal_weighted_by_n_students_regression
97,All,stem_enrollment_m1,-.1748229,-.011634508,.044070113,.39491576,stata_areg_centered_student_vce_unadjusted,95,565432,.0019421748995213,.0001353617790951,.0038608684475311,.0621358869537656,.665317871439335,-.007740646206906,-.0088063119941096,stata_normal_normal_weighted_by_n_students_regression
103,All,stem_enrollment_m1,-.16290987,.00027851932,.052591283,.36809102,stata_areg_centered_student_vce_unadjusted,98,565432,.0027658430343695,7.75730300530e-08,.0038608684475311,.0621358869537656,.5826220830763874,.0001622714935791,-.0009033942936245,stata_normal_normal_weighted_by_n_students_regression
