endogenous_component,endogenous,instrument,beta,se,tstat,n_obs
exam,d_program_income_full_exam_component_adj_eb,z_program_income_full_exam_component_adj_eb,0.426733973375999,0.00664724730696157,64.1970959812321,92958
exam,d_program_income_full_exam_component_adj_eb,z_program_income_full_math_component_adj_eb,-0.0218155376791165,0.0038195977970356,-5.71147509197111,92958
exam,d_program_income_full_exam_component_adj_eb,z_program_income_full_area_component_adj_eb,0.00575457103263416,0.0012071409933573,4.76710762396493,92958
exam,d_program_income_full_exam_component_adj_eb,z_program_income_full_institution_component_adj_eb,0.02293234397815,0.00535175043348792,4.28501744675043,92958
math,d_program_income_full_math_component_adj_eb,z_program_income_full_exam_component_adj_eb,0.0180666667455559,0.00614459906281411,2.94025152184328,92958
math,d_program_income_full_math_component_adj_eb,z_program_income_full_math_component_adj_eb,0.459544313932333,0.00797327354337746,57.6355886239507,92958
math,d_program_income_full_math_component_adj_eb,z_program_income_full_area_component_adj_eb,0.000609566166330779,0.00139802095617652,0.436020764665716,92958
math,d_program_income_full_math_component_adj_eb,z_program_income_full_institution_component_adj_eb,-0.00246980540784782,0.00677990409455018,-0.364283236666002,92958
area,d_program_income_full_area_component_adj_eb,z_program_income_full_exam_component_adj_eb,0.0649941040896519,0.0196674680497052,3.30465029486224,92958
area,d_program_income_full_area_component_adj_eb,z_program_income_full_math_component_adj_eb,0.0150220434790714,0.0142773377179564,1.0521599877951,92958
area,d_program_income_full_area_component_adj_eb,z_program_income_full_area_component_adj_eb,0.459115551204601,0.00631307663975123,72.7245331244217,92958
area,d_program_income_full_area_component_adj_eb,z_program_income_full_institution_component_adj_eb,-0.117629034331541,0.0206412228378751,-5.69874349283708,92958
institution,d_program_income_full_institution_component_adj_eb,z_program_income_full_exam_component_adj_eb,0.0194053578157189,0.00453154940081217,4.28227877472569,92958
institution,d_program_income_full_institution_component_adj_eb,z_program_income_full_math_component_adj_eb,0.0127313657231748,0.00345068864697824,3.68951447831251,92958
institution,d_program_income_full_institution_component_adj_eb,z_program_income_full_area_component_adj_eb,-0.0110086154905659,0.00110235362309608,-9.98646465155802,92958
institution,d_program_income_full_institution_component_adj_eb,z_program_income_full_institution_component_adj_eb,0.32884746756082,0.00690729446911658,47.6087227830144,92958
