school_rbd,analysis_sample,outcome,va_raw,va_centered,va_se,va_resid_sd,va_se_method,n_students,n_total
1,All,higher_ed_enrolled_m1,0,-.0616574397608669,.0272271757694531,.468596410521185,stata_areg_centered_student_vce_unadjusted,318,757456
3,All,higher_ed_enrolled_m1,-.385769491752103,-.447426931512969,.166052310777229,.177045726623768,stata_areg_centered_student_vce_unadjusted,6,757456
4,All,higher_ed_enrolled_m1,.131411696469332,.0697542567084649,.0201764056288083,.323036923821755,stata_areg_centered_student_vce_unadjusted,849,757456
5,All,higher_ed_enrolled_m1,.102677658972309,.0410202192114419,.0256130918252864,.354694292125154,stata_areg_centered_student_vce_unadjusted,428,757456
7,All,higher_ed_enrolled_m1,.070251816111671,.00859437635080411,.0215455607413297,.448995472148454,stata_areg_centered_student_vce_unadjusted,728,757456
8,All,higher_ed_enrolled_m1,.0837238601775412,.0220664204166744,.0379916044856626,.436250000763371,stata_areg_centered_student_vce_unadjusted,167,757456
15,All,higher_ed_enrolled_m1,.0957640492224532,.0341066094615863,.054136936424986,.424665844105465,stata_areg_centered_student_vce_unadjusted,85,757456
22,All,higher_ed_enrolled_m1,-.613540092121561,-.675197531882428,.405284881377444,.,stata_areg_centered_student_vce_unadjusted,1,757456
25,All,higher_ed_enrolled_m1,.177924888511595,.116267448750728,.0458131153547027,.422008678482995,stata_areg_centered_student_vce_unadjusted,107,757456
28,All,higher_ed_enrolled_m1,-.220960505994823,-.282617945755689,.0797894233581846,.385535926914045,stata_areg_centered_student_vce_unadjusted,27,757456
32,All,higher_ed_enrolled_m1,.124238157320483,.062580717559616,.0672203770753399,.477592294935778,stata_areg_centered_student_vce_unadjusted,72,757456
45,All,higher_ed_enrolled_m1,.0725246888412539,.010867249080387,.0353984990461837,.330590628524138,stata_areg_centered_student_vce_unadjusted,227,757456
50,All,higher_ed_enrolled_m1,.112584543262525,.0509271035016578,.0581001413269526,.345631551520522,stata_areg_centered_student_vce_unadjusted,193,757456
52,All,higher_ed_enrolled_m1,.0967323630692433,.0350749233083764,.0191005223868815,.397369018621958,stata_areg_centered_student_vce_unadjusted,1331,757456
56,All,higher_ed_enrolled_m1,.139981646870052,.0783242071091855,.0389966686013756,.346661282088543,stata_areg_centered_student_vce_unadjusted,287,757456
59,All,higher_ed_enrolled_m1,.0386609114840266,-.0229965282768402,.0498835398091666,.36085764660734,stata_areg_centered_student_vce_unadjusted,131,757456
60,All,higher_ed_enrolled_m1,.0825045306842413,.0208470909233745,.0388759947247946,.349766383129882,stata_areg_centered_student_vce_unadjusted,256,757456
67,All,higher_ed_enrolled_m1,.236554985703808,.174897545942941,.0628653162230842,.280551853381397,stata_areg_centered_student_vce_unadjusted,156,757456
69,All,higher_ed_enrolled_m1,.0932717318967995,.0316142921359327,.0505290387676382,.350310335117438,stata_areg_centered_student_vce_unadjusted,162,757456
72,All,higher_ed_enrolled_m1,-.114049225088918,-.175706664849784,.303959823574143,.422278463887621,stata_areg_centered_student_vce_unadjusted,2,757456
78,All,higher_ed_enrolled_m1,.0945427516944394,.0328853119335725,.116362676122701,.485724375885163,stata_areg_centered_student_vce_unadjusted,25,757456
97,All,higher_ed_enrolled_m1,.0590320886552404,-.00262535110562651,.0314998301511774,.457647996775262,stata_areg_centered_student_vce_unadjusted,197,757456
103,All,higher_ed_enrolled_m1,.0141964419339892,-.0474609978268776,.0428584562488134,.441898254277545,stata_areg_centered_student_vce_unadjusted,138,757456
106,All,higher_ed_enrolled_m1,-.00652525376787797,-.0681826935287448,.0283730835575251,.473759314570305,stata_areg_centered_student_vce_unadjusted,280,757456
107,All,higher_ed_enrolled_m1,.112282393370064,.0506249536091974,.0380357255447242,.419501674041719,stata_areg_centered_student_vce_unadjusted,131,757456
108,All,higher_ed_enrolled_m1,.00308718937314803,-.0585702503877188,.0280247122927895,.462646265490797,stata_areg_centered_student_vce_unadjusted,273,757456
109,All,higher_ed_enrolled_m1,.034855396651922,-.0268020431089449,.033556791210485,.455251257415083,stata_areg_centered_student_vce_unadjusted,177,757456
110,All,higher_ed_enrolled_m1,.073628155667972,.0119707159071051,.0403943386235652,.422934922698486,stata_areg_centered_student_vce_unadjusted,159,757456
124,All,higher_ed_enrolled_m1,.0172274561763077,-.0444299835845591,.0202423095331449,.461687265357049,stata_areg_centered_student_vce_unadjusted,752,757456
125,All,higher_ed_enrolled_m1,.124994964723325,.0633375249624579,.0411911148375727,.413120942579534,stata_areg_centered_student_vce_unadjusted,139,757456
127,All,higher_ed_enrolled_m1,.0896669627324969,.0280095229716301,.0363821122590669,.347239597472927,stata_areg_centered_student_vce_unadjusted,277,757456
129,All,higher_ed_enrolled_m1,.065609336364089,.00395189660322211,.0800051526005653,.486933927800723,stata_areg_centered_student_vce_unadjusted,31,757456
130,All,higher_ed_enrolled_m1,.0972167949770359,.035559355216169,.0556380239347789,.352672182017279,stata_areg_centered_student_vce_unadjusted,93,757456
131,All,higher_ed_enrolled_m1,.0167621765479935,-.0448952632128734,.0570678594814465,.462681921597272,stata_areg_centered_student_vce_unadjusted,75,757456
132,All,higher_ed_enrolled_m1,.0733909920822479,.011733552321381,.0261938191696162,.362574919534515,stata_areg_centered_student_vce_unadjusted,685,757456
133,All,higher_ed_enrolled_m1,.148952598147989,.0872951583871216,.049926526442507,.373039584777328,stata_areg_centered_student_vce_unadjusted,160,757456
134,All,higher_ed_enrolled_m1,.0201414661940617,-.0415159735668052,.0624062680820808,.428945875468599,stata_areg_centered_student_vce_unadjusted,64,757456
144,All,higher_ed_enrolled_m1,.0138463685405869,-.04781107122028,.0469597223933625,.409482453355096,stata_areg_centered_student_vce_unadjusted,97,757456
161,All,higher_ed_enrolled_m1,.163151715159262,.101494275398395,.0672975362105349,.387971637473757,stata_areg_centered_student_vce_unadjusted,65,757456
178,All,higher_ed_enrolled_m1,.206774048313595,.145116608552728,.10978592224365,.423908642848223,stata_areg_centered_student_vce_unadjusted,23,757456
191,All,higher_ed_enrolled_m1,-.0178793714549327,-.0795368112157995,.031350902633624,.454824947471652,stata_areg_centered_student_vce_unadjusted,544,757456
199,All,higher_ed_enrolled_m1,.0817837798522758,.0201263400914089,.0373958439220693,.424337348733162,stata_areg_centered_student_vce_unadjusted,357,757456
200,All,higher_ed_enrolled_m1,-.0118075705617603,-.0734650103226272,.0369440272049274,.450657439543072,stata_areg_centered_student_vce_unadjusted,446,757456
208,All,higher_ed_enrolled_m1,.111169547186381,.0495121074255145,.0376793719794741,.32325288694631,stata_areg_centered_student_vce_unadjusted,396,757456
211,All,higher_ed_enrolled_m1,.00225932728912783,-.059398112471739,.0660309185470899,.391686531700656,stata_areg_centered_student_vce_unadjusted,180,757456
217,All,higher_ed_enrolled_m1,.0948320642120046,.0331746244511377,.0192612129421658,.346402713225396,stata_areg_centered_student_vce_unadjusted,923,757456
218,All,higher_ed_enrolled_m1,.016565268496935,-.0450921712639318,.0313029398296194,.479400998973116,stata_areg_centered_student_vce_unadjusted,205,757456
219,All,higher_ed_enrolled_m1,.0998546201514001,.0381971803905333,.0229621765566695,.449385267761567,stata_areg_centered_student_vce_unadjusted,516,757456
220,All,higher_ed_enrolled_m1,.121813157213604,.0601557174527369,.0203087198937565,.412989111581867,stata_areg_centered_student_vce_unadjusted,807,757456
222,All,higher_ed_enrolled_m1,-.11861254661118,-.180269986372046,.0473179579721634,.474462040890511,stata_areg_centered_student_vce_unadjusted,81,757456
227,All,higher_ed_enrolled_m1,-.48418990007443,-.545847339835297,.406068508594588,.,stata_areg_centered_student_vce_unadjusted,1,757456
253,All,higher_ed_enrolled_m1,.133745773383793,.0720883336229262,.0382852008069509,.349571922804704,stata_areg_centered_student_vce_unadjusted,219,757456
254,All,higher_ed_enrolled_m1,.13440823144221,.0727507916813435,.0413253846613946,.34614264380595,stata_areg_centered_student_vce_unadjusted,155,757456
255,All,higher_ed_enrolled_m1,.0377475935730525,-.0239098461878143,.0384575482831719,.403947545121402,stata_areg_centered_student_vce_unadjusted,192,757456
256,All,higher_ed_enrolled_m1,.0826940319141135,.0210365921532466,.0342188142340539,.361525387701838,stata_areg_centered_student_vce_unadjusted,446,757456
257,All,higher_ed_enrolled_m1,.108289294622574,.046631854861707,.0463734918021592,.295167284547587,stata_areg_centered_student_vce_unadjusted,216,757456
270,All,higher_ed_enrolled_m1,.145186421360964,.0835289816000967,.0839371727902968,.368182555988576,stata_areg_centered_student_vce_unadjusted,46,757456
279,All,higher_ed_enrolled_m1,-.0244056290843021,-.0860630688451689,.0162144997482229,.458036707686041,stata_areg_centered_student_vce_unadjusted,1321,757456
280,All,higher_ed_enrolled_m1,.0239359842725467,-.0377214554883202,.0189096898811677,.449749595190764,stata_areg_centered_student_vce_unadjusted,760,757456
283,All,higher_ed_enrolled_m1,.0754087855783838,.0137513458175169,.0190561433668531,.435041604606389,stata_areg_centered_student_vce_unadjusted,723,757456
284,All,higher_ed_enrolled_m1,.0236195914439422,-.0380378483169247,.0451132743211638,.453112863019685,stata_areg_centered_student_vce_unadjusted,102,757456
285,All,higher_ed_enrolled_m1,.0710010528244932,.00934361306362634,.0339741983085326,.423576697639092,stata_areg_centered_student_vce_unadjusted,180,757456
286,All,higher_ed_enrolled_m1,-.00386488542179974,-.0655223251826666,.0235477220250995,.482435530637059,stata_areg_centered_student_vce_unadjusted,404,757456
287,All,higher_ed_enrolled_m1,.084612229628962,.0229547898680952,.018940285580177,.399581294587565,stata_areg_centered_student_vce_unadjusted,784,757456
298,All,higher_ed_enrolled_m1,-.190348380931077,-.252005820691943,.405509218911379,.,stata_areg_centered_student_vce_unadjusted,1,757456
304,All,higher_ed_enrolled_m1,.127564952661669,.0659075129008017,.0358132953918301,.367330224025835,stata_areg_centered_student_vce_unadjusted,428,757456
312,All,higher_ed_enrolled_m1,-.473607882745072,-.535265322505939,.406399050250598,.,stata_areg_centered_student_vce_unadjusted,1,757456
320,All,higher_ed_enrolled_m1,.127067628254713,.065410188493846,.0398778494214789,.410857521893393,stata_areg_centered_student_vce_unadjusted,155,757456
324,All,higher_ed_enrolled_m1,-.439727584759913,-.50138502452078,.236323675574651,.219424739283763,stata_areg_centered_student_vce_unadjusted,3,757456
329,All,higher_ed_enrolled_m1,.118203214733044,.0565457749721769,.058285107716414,.344484240489838,stata_areg_centered_student_vce_unadjusted,103,757456
335,All,higher_ed_enrolled_m1,-.0482511278002277,-.109908567561095,.0517495080863918,.46696717479476,stata_areg_centered_student_vce_unadjusted,97,757456
336,All,higher_ed_enrolled_m1,.104715040310562,.0430576005496948,.0279905990284506,.356442325048726,stata_areg_centered_student_vce_unadjusted,405,757456
337,All,higher_ed_enrolled_m1,.167400113902638,.105742674141771,.0457071395263091,.299563236428968,stata_areg_centered_student_vce_unadjusted,247,757456
341,All,higher_ed_enrolled_m1,.141829338511546,.0801718987506794,.0356268245960912,.344893881992929,stata_areg_centered_student_vce_unadjusted,267,757456
342,All,higher_ed_enrolled_m1,.0955241307210782,.0338666909602113,.0282031856833536,.318082271775351,stata_areg_centered_student_vce_unadjusted,452,757456
344,All,higher_ed_enrolled_m1,.0877764686346128,.026119028873746,.0385003800023073,.356230556126203,stata_areg_centered_student_vce_unadjusted,266,757456
350,All,higher_ed_enrolled_m1,.104450211126224,.0427927713653573,.0429225557974714,.35028964456886,stata_areg_centered_student_vce_unadjusted,236,757456
355,All,higher_ed_enrolled_m1,.0284956764941651,-.0331617632667018,.0990704268167327,.39343512190728,stata_areg_centered_student_vce_unadjusted,18,757456
356,All,higher_ed_enrolled_m1,.159416820667047,.0977593809061803,.0560385255608991,.302539776749154,stata_areg_centered_student_vce_unadjusted,285,757456
357,All,higher_ed_enrolled_m1,.129114481150173,.0674570413893063,.0502034416623322,.285305930329289,stata_areg_centered_student_vce_unadjusted,245,757456
358,All,higher_ed_enrolled_m1,.0876570208987344,.0259995811378675,.0514034382341418,.317875388067958,stata_areg_centered_student_vce_unadjusted,102,757456
361,All,higher_ed_enrolled_m1,.123879397008724,.0622219572478568,.0524635076016356,.280489757029821,stata_areg_centered_student_vce_unadjusted,210,757456
364,All,higher_ed_enrolled_m1,.0928753272868128,.0312178875259459,.0452103450497137,.322996763016109,stata_areg_centered_student_vce_unadjusted,132,757456
365,All,higher_ed_enrolled_m1,.113791149323686,.0521337095628191,.0380265999126756,.330889336970292,stata_areg_centered_student_vce_unadjusted,256,757456
366,All,higher_ed_enrolled_m1,.127964023809819,.0663065840489526,.0389399712334059,.256516969568082,stata_areg_centered_student_vce_unadjusted,234,757456
367,All,higher_ed_enrolled_m1,.0953950228058154,.0337375830449485,.040131918522173,.407425201995842,stata_areg_centered_student_vce_unadjusted,388,757456
371,All,higher_ed_enrolled_m1,.030099197602307,-.0315582421585598,.126844894970503,.374891096270505,stata_areg_centered_student_vce_unadjusted,15,757456
372,All,higher_ed_enrolled_m1,.0241839922475246,-.0374734475133423,.0549937551216222,.430692602693167,stata_areg_centered_student_vce_unadjusted,287,757456
373,All,higher_ed_enrolled_m1,.0285268732027973,-.0331305665580696,.0521125639411972,.361680253857868,stata_areg_centered_student_vce_unadjusted,328,757456
379,All,higher_ed_enrolled_m1,-.0452220570419547,-.106879496802822,.0414890864395078,.409442708543096,stata_areg_centered_student_vce_unadjusted,573,757456
381,All,higher_ed_enrolled_m1,-.592760730307641,-.654418170068508,.410054336141377,.,stata_areg_centered_student_vce_unadjusted,1,757456
384,All,higher_ed_enrolled_m1,.0554578347301447,-.00619960503072214,.0444641926630229,.391858810521258,stata_areg_centered_student_vce_unadjusted,405,757456
392,All,higher_ed_enrolled_m1,.149178259379222,.0875208196183556,.0452386266776263,.374299819933366,stata_areg_centered_student_vce_unadjusted,255,757456
396,All,higher_ed_enrolled_m1,.111321494893484,.0496640551326175,.0248148449340547,.417936523019761,stata_areg_centered_student_vce_unadjusted,463,757456
397,All,higher_ed_enrolled_m1,-.176907049464208,-.238564489225075,.182221155066536,.512801486104155,stata_areg_centered_student_vce_unadjusted,5,757456
399,All,higher_ed_enrolled_m1,.096515062070317,.0348576223094501,.024015130909734,.448606345973079,stata_areg_centered_student_vce_unadjusted,538,757456
400,All,higher_ed_enrolled_m1,.0684282151764102,.00677077541554329,.0307116294278725,.354613213476132,stata_areg_centered_student_vce_unadjusted,532,757456
415,All,higher_ed_enrolled_m1,.113963966054757,.0523065262938901,.0449127422085764,.321687606856741,stata_areg_centered_student_vce_unadjusted,302,757456
416,All,higher_ed_enrolled_m1,-.510511579470149,-.572169019231016,.286936312765667,.00769679848283479,stata_areg_centered_student_vce_unadjusted,2,757456
419,All,higher_ed_enrolled_m1,.0590242001480557,-.00263323961281121,.111289130179846,.505689818817093,stata_areg_centered_student_vce_unadjusted,14,757456
420,All,higher_ed_enrolled_m1,.0261434573233745,-.0355139824374924,.0316030082853773,.455702484760024,stata_areg_centered_student_vce_unadjusted,271,757456
429,All,higher_ed_enrolled_m1,.140429297482901,.0787718577220342,.0340877253427724,.325879087975039,stata_areg_centered_student_vce_unadjusted,544,757456
430,All,higher_ed_enrolled_m1,.0900502487894151,.0283928090285483,.0375494675217307,.378627759110512,stata_areg_centered_student_vce_unadjusted,224,757456
431,All,higher_ed_enrolled_m1,.142680133558301,.0810226937974341,.0353273953640174,.335789586976821,stata_areg_centered_student_vce_unadjusted,192,757456
433,All,higher_ed_enrolled_m1,.141648018494415,.0799905787335486,.0417594522616159,.362365710592509,stata_areg_centered_student_vce_unadjusted,296,757456
437,All,higher_ed_enrolled_m1,.0972340042359989,.035576564475132,.0197131805824824,.332106579561163,stata_areg_centered_student_vce_unadjusted,1048,757456
438,All,higher_ed_enrolled_m1,.0374122237596819,-.0242452160011849,.037422622957478,.47228799847829,stata_areg_centered_student_vce_unadjusted,309,757456
440,All,higher_ed_enrolled_m1,.110633359053426,.0489759192925594,.0407313163248951,.39656259049083,stata_areg_centered_student_vce_unadjusted,337,757456
441,All,higher_ed_enrolled_m1,-.139374331977493,-.20103177173836,.0856064373554003,.410945829587769,stata_areg_centered_student_vce_unadjusted,35,757456
448,All,higher_ed_enrolled_m1,.0725836791124093,.0109262393515425,.0288074115100708,.413383230489035,stata_areg_centered_student_vce_unadjusted,666,757456
449,All,higher_ed_enrolled_m1,.0135011951747536,-.0481562445861132,.0304339803173947,.468216101157985,stata_areg_centered_student_vce_unadjusted,503,757456
478,All,higher_ed_enrolled_m1,.109529187737788,.0478717479769213,.0608779626377799,.313614764943169,stata_areg_centered_student_vce_unadjusted,328,757456
