school_rbd,analysis_sample,outcome,va_raw,va_centered,va_se,va_resid_sd,va_se_method,n_students,n_total
1,All,admission_exam_taker,0,-.217793109213852,.0243327893650595,.454007405462289,stata_areg_centered_student_vce_unadjusted,321,757999
3,All,admission_exam_taker,.0696571237879621,-.14813598542589,.14896737942998,.60303975544314,stata_areg_centered_student_vce_unadjusted,6,757999
4,All,admission_exam_taker,.341274521020633,.12348141180678,.0181037103642335,.24487045221742,stata_areg_centered_student_vce_unadjusted,849,757999
5,All,admission_exam_taker,.304121442887336,.0863283336734834,.0229539741252444,.311135683707234,stata_areg_centered_student_vce_unadjusted,429,757999
7,All,admission_exam_taker,.174742835677392,-.0430502735364607,.0192962042372123,.44567053352505,stata_areg_centered_student_vce_unadjusted,731,757999
8,All,admission_exam_taker,.232378147366574,.0145850381527218,.0340767708214453,.437905416361468,stata_areg_centered_student_vce_unadjusted,167,757999
15,All,admission_exam_taker,.26509558081062,.0473024715967675,.0485952843723844,.411594489653177,stata_areg_centered_student_vce_unadjusted,85,757999
22,All,admission_exam_taker,-.499276094197802,-.717069203411654,.363592738776572,.,stata_areg_centered_student_vce_unadjusted,1,757999
25,All,admission_exam_taker,.333281387700508,.115488278486655,.0411046869207401,.360326723793332,stata_areg_centered_student_vce_unadjusted,107,757999
28,All,admission_exam_taker,-.184087789044225,-.401880898258078,.0729246029789835,.24379952112531,stata_areg_centered_student_vce_unadjusted,26,757999
32,All,admission_exam_taker,.217371507174367,-.000421602039485242,.0603028375748735,.454112183228757,stata_areg_centered_student_vce_unadjusted,72,757999
45,All,admission_exam_taker,.301869046596529,.0840759373826765,.0317568965958101,.263909699011448,stata_areg_centered_student_vce_unadjusted,227,757999
50,All,admission_exam_taker,.421315891635835,.203522782421983,.0521237610725015,.235106677120634,stata_areg_centered_student_vce_unadjusted,193,757999
52,All,admission_exam_taker,.260922059869807,.0431289506559541,.0171269952817177,.374534763071298,stata_areg_centered_student_vce_unadjusted,1333,757999
56,All,admission_exam_taker,.287604849754909,.0698117405410564,.0349852590179529,.243957070559855,stata_areg_centered_student_vce_unadjusted,287,757999
59,All,admission_exam_taker,.295752480083935,.0779593708700829,.0447522542976816,.213323347094221,stata_areg_centered_student_vce_unadjusted,131,757999
60,All,admission_exam_taker,.371627221144439,.153834111930586,.0347893283332998,.214382675547101,stata_areg_centered_student_vce_unadjusted,256,757999
67,All,admission_exam_taker,.296066025060593,.0782729158467401,.0563987776600081,.233106890566571,stata_areg_centered_student_vce_unadjusted,156,757999
69,All,admission_exam_taker,.284662637918685,.0668695287048324,.0453315416342993,.176958321837925,stata_areg_centered_student_vce_unadjusted,162,757999
72,All,admission_exam_taker,.129986793659364,-.0878063155544885,.272689416265581,.478233490140272,stata_areg_centered_student_vce_unadjusted,2,757999
78,All,admission_exam_taker,.282803571190485,.065010461976633,.104392226479603,.315387077970723,stata_areg_centered_student_vce_unadjusted,25,757999
97,All,admission_exam_taker,.0197777957540792,-.198015313459773,.028311277502336,.461691978445339,stata_areg_centered_student_vce_unadjusted,196,757999
103,All,admission_exam_taker,.194334862664107,-.0234582465497453,.0384464379693204,.428926053602486,stata_areg_centered_student_vce_unadjusted,138,757999
106,All,admission_exam_taker,-.118461050398599,-.336254159612452,.0254484242798695,.446574219439116,stata_areg_centered_student_vce_unadjusted,280,757999
107,All,admission_exam_taker,.203500421976193,-.0142926872376595,.0336063787180271,.429293580129651,stata_areg_centered_student_vce_unadjusted,135,757999
108,All,admission_exam_taker,.0305268128008769,-.187266296412976,.025100901226558,.46383511358078,stata_areg_centered_student_vce_unadjusted,273,757999
109,All,admission_exam_taker,.14786418289645,-.0699289263174024,.0301880073357068,.444649349365031,stata_areg_centered_student_vce_unadjusted,176,757999
110,All,admission_exam_taker,.218817423218324,.00102431400447178,.0362356614987185,.431500397032768,stata_areg_centered_student_vce_unadjusted,159,757999
124,All,admission_exam_taker,.0495645659939861,-.168228543219866,.0181414223226512,.4701092689561,stata_areg_centered_student_vce_unadjusted,753,757999
125,All,admission_exam_taker,.292205093168932,.0744119839550795,.0368857117685121,.412732289739083,stata_areg_centered_student_vce_unadjusted,140,757999
127,All,admission_exam_taker,.325832750028021,.108039640814168,.0326372438783603,.258947119948234,stata_areg_centered_student_vce_unadjusted,277,757999
129,All,admission_exam_taker,.0417728322200239,-.176020276993829,.0714882920947236,.474364074647993,stata_areg_centered_student_vce_unadjusted,31,757999
130,All,admission_exam_taker,.327831804087306,.110038694873454,.0497953862738399,.252123711025265,stata_areg_centered_student_vce_unadjusted,92,757999
131,All,admission_exam_taker,.189383526062985,-.0284095831508679,.051192932724417,.445780682033356,stata_areg_centered_student_vce_unadjusted,75,757999
