school_rbd,analysis_sample,outcome,va_raw,va_centered,va_se,va_resid_sd,va_se_method,n_students,n_total
1,All,high_paying_field_m1,0,.043054621805778,.0305525919665574,.437188025466958,stata_areg_centered_student_vce_unadjusted,301,715740
3,All,high_paying_field_m1,-.308535363873857,-.265480742068079,.181147648385665,.118541765717987,stata_areg_centered_student_vce_unadjusted,6,715740
4,All,high_paying_field_m1,.00211109413324976,.0451657159390278,.0226266579551525,.476033695338714,stata_areg_centered_student_vce_unadjusted,811,715740
5,All,high_paying_field_m1,-.0293939773060641,.0136606444997139,.0283624994227809,.458447326735027,stata_areg_centered_student_vce_unadjusted,421,715740
7,All,high_paying_field_m1,-.0123943658571598,.0306602559486182,.0243788529937978,.458601803260636,stata_areg_centered_student_vce_unadjusted,668,715740
8,All,high_paying_field_m1,-.0685274831407036,-.0254728613349256,.0424760421769461,.446665545186145,stata_areg_centered_student_vce_unadjusted,159,715740
15,All,high_paying_field_m1,-.138379117362799,-.0953244955570212,.0608340688760813,.435767723674594,stata_areg_centered_student_vce_unadjusted,79,715740
22,All,high_paying_field_m1,-.217352144191367,-.174297522385589,.442061823071285,.,stata_areg_centered_student_vce_unadjusted,1,715740
25,All,high_paying_field_m1,.0540883815754366,.0971430033812146,.0517612244697165,.472772309202483,stata_areg_centered_student_vce_unadjusted,100,715740
28,All,high_paying_field_m1,-.187476834833641,-.144422213027863,.0906443462144345,.290556922468681,stata_areg_centered_student_vce_unadjusted,25,715740
32,All,high_paying_field_m1,-.098180815577333,-.055126193771555,.0815417041627359,.463391896428844,stata_areg_centered_student_vce_unadjusted,53,715740
45,All,high_paying_field_m1,.0475046792323569,.0905593010381349,.0390708107571498,.455763721828216,stata_areg_centered_student_vce_unadjusted,220,715740
50,All,high_paying_field_m1,-.0717082472502891,-.0286536254445111,.0644292025311262,.466779662820496,stata_areg_centered_student_vce_unadjusted,186,715740
52,All,high_paying_field_m1,-.0889520357551839,-.0458974139494059,.0214247955215249,.44409877168575,stata_areg_centered_student_vce_unadjusted,1258,715740
56,All,high_paying_field_m1,.0495762849766616,.0926309067824396,.0429622513676498,.479219339422326,stata_areg_centered_student_vce_unadjusted,279,715740
59,All,high_paying_field_m1,-.145178998133956,-.102124376328178,.0546912573284637,.488476526445009,stata_areg_centered_student_vce_unadjusted,129,715740
60,All,high_paying_field_m1,-.0166666162117357,.0263880055940423,.043092511550461,.480540862017743,stata_areg_centered_student_vce_unadjusted,245,715740
67,All,high_paying_field_m1,.0628379207619908,.105892542567769,.0693495998456146,.488000726480237,stata_areg_centered_student_vce_unadjusted,149,715740
69,All,high_paying_field_m1,.0745723311966461,.117626953002424,.0559147152214428,.467563143530473,stata_areg_centered_student_vce_unadjusted,158,715740
72,All,high_paying_field_m1,-.0222532148503675,.0208014069554105,.331767158158906,.326249790216929,stata_areg_centered_student_vce_unadjusted,2,715740
78,All,high_paying_field_m1,.0478797165127268,.0909343383185048,.132451514432583,.542721684846296,stata_areg_centered_student_vce_unadjusted,21,715740
97,All,high_paying_field_m1,-.126890686083962,-.0838360642781839,.034787632603225,.408007037681274,stata_areg_centered_student_vce_unadjusted,193,715740
103,All,high_paying_field_m1,-.141867288972801,-.0988126671670229,.0480183251164086,.394497283046951,stata_areg_centered_student_vce_unadjusted,128,715740
106,All,high_paying_field_m1,-.0302993169108588,.0127553048949192,.0314072635319842,.448625569861087,stata_areg_centered_student_vce_unadjusted,272,715740
107,All,high_paying_field_m1,.0205968409105346,.0636514627163126,.0417819938032102,.478479161961022,stata_areg_centered_student_vce_unadjusted,130,715740
