school_rbd,analysis_sample,outcome,va_raw,va_centered,va_se,va_resid_sd,va_se_method,n_students,n_total
1,All,z_year_leng_max,0,-.274665693506429,.0655516831575575,.585069589609455,stata_areg_centered_student_vce_unadjusted,122,563429
3,All,z_year_leng_max,-.0971528822022893,-.371818575708719,.457318019356838,.136584047804119,stata_areg_centered_student_vce_unadjusted,2,563429
4,All,z_year_leng_max,.189627590855857,-.0850381026505724,.035570658737726,.626373629604402,stata_areg_centered_student_vce_unadjusted,793,563429
5,All,z_year_leng_max,.116552507140552,-.158113186365877,.0451026967531524,.646382861812608,stata_areg_centered_student_vce_unadjusted,372,563429
7,All,z_year_leng_max,.0253039555818812,-.249361737924548,.0424760617787213,.639979651627535,stata_areg_centered_student_vce_unadjusted,442,563429
8,All,z_year_leng_max,.173509575761991,-.101156117744438,.0744652988952947,.682830977785747,stata_areg_centered_student_vce_unadjusted,106,563429
15,All,z_year_leng_max,.0865880252536626,-.188077668252767,.101216572956093,.577961881415833,stata_areg_centered_student_vce_unadjusted,63,563429
25,All,z_year_leng_max,.242469860891759,-.0321958326146699,.0835970069472822,.679676249440707,stata_areg_centered_student_vce_unadjusted,84,563429
28,All,z_year_leng_max,-.256559383822963,-.531225077329392,.456595699208884,1.87221151505631,stata_areg_centered_student_vce_unadjusted,2,563429
32,All,z_year_leng_max,.103770774366178,-.170894919140251,.135011241093799,.46894175060039,stata_areg_centered_student_vce_unadjusted,47,563429
45,All,z_year_leng_max,.310448289547644,.035782596041215,.059810715968679,.656427818812471,stata_areg_centered_student_vce_unadjusted,208,563429
50,All,z_year_leng_max,.352783863398885,.0781181698924562,.0981132370508499,.632737396902666,stata_areg_centered_student_vce_unadjusted,179,563429
52,All,z_year_leng_max,.112318043519626,-.162347649986803,.0352980030291843,.655627910665265,stata_areg_centered_student_vce_unadjusted,1053,563429
56,All,z_year_leng_max,.284636136200533,.00997044269410363,.0649688198980537,.670230241396166,stata_areg_centered_student_vce_unadjusted,269,563429
59,All,z_year_leng_max,.422603529328078,.147937835821649,.0803882498941389,.584004897002712,stata_areg_centered_student_vce_unadjusted,127,563429
60,All,z_year_leng_max,.25044519173247,-.0242205017739591,.064402890728832,.631736894535984,stata_areg_centered_student_vce_unadjusted,245,563429
67,All,z_year_leng_max,.274253131160888,-.000412562345540879,.103311237536623,.610942325379432,stata_areg_centered_student_vce_unadjusted,148,563429
69,All,z_year_leng_max,.506888373925304,.232222680418875,.0825869539684498,.621968901113378,stata_areg_centered_student_vce_unadjusted,158,563429
72,All,z_year_leng_max,-.11067633371823,-.385342027224659,.792316079384114,.,stata_areg_centered_student_vce_unadjusted,1,563429
78,All,z_year_leng_max,.063866714844578,-.210798978661851,.201714692869368,.658732753225167,stata_areg_centered_student_vce_unadjusted,22,563429
