school_rbd,analysis_sample,outcome,va_raw,va_centered,va_se,va_resid_sd,va_se_method,n_students,n_total
1,All,z_year_math_max,0,-.112027794317496,.0650590880579013,.543659567791381,stata_areg_centered_student_vce_unadjusted,119,556607
3,All,z_year_math_max,-.290581530428065,-.402609324745561,.448094990402342,.262624045536401,stata_areg_centered_student_vce_unadjusted,2,556607
4,All,z_year_math_max,.0988258125722246,-.0132019817452714,.0350155224399561,.66470672926203,stata_areg_centered_student_vce_unadjusted,789,556607
5,All,z_year_math_max,.0795255683770524,-.0325022259404436,.0442782570926982,.648254801091021,stata_areg_centered_student_vce_unadjusted,372,556607
7,All,z_year_math_max,-.140361650466754,-.25238944478425,.0417083106826093,.570322219263683,stata_areg_centered_student_vce_unadjusted,442,556607
8,All,z_year_math_max,.103331203596854,-.00869659072064195,.0737740515102425,.694167246910381,stata_areg_centered_student_vce_unadjusted,104,556607
15,All,z_year_math_max,-.0562505508900684,-.168278345207564,.0991922492415712,.478129955291868,stata_areg_centered_student_vce_unadjusted,63,556607
25,All,z_year_math_max,.0596432238963247,-.0523845704211713,.0829896893456406,.583034585065595,stata_areg_centered_student_vce_unadjusted,83,556607
28,All,z_year_math_max,.447086173388923,.335058379071427,.634675225866753,.,stata_areg_centered_student_vce_unadjusted,1,556607
32,All,z_year_math_max,-.125230662762635,-.237258457080131,.134315817206777,.549508787987988,stata_areg_centered_student_vce_unadjusted,45,556607
45,All,z_year_math_max,.122512784585326,.0104849902678296,.0587362722538366,.664300935417586,stata_areg_centered_student_vce_unadjusted,207,556607
50,All,z_year_math_max,.214552197816098,.102524403498602,.0969662347180721,.737014989562726,stata_areg_centered_student_vce_unadjusted,178,556607
52,All,z_year_math_max,.0118534875240084,-.100174306793488,.034894525438673,.616843104804828,stata_areg_centered_student_vce_unadjusted,1036,556607
56,All,z_year_math_max,.31337126411894,.201343469801444,.0636720469665648,.78643056176779,stata_areg_centered_student_vce_unadjusted,269,556607
59,All,z_year_math_max,.315777516163066,.20374972184557,.0787690462868502,.759569961495613,stata_areg_centered_student_vce_unadjusted,127,556607
60,All,z_year_math_max,.0822821819013905,-.0297456124161055,.06337688827535,.642087008804991,stata_areg_centered_student_vce_unadjusted,243,556607
67,All,z_year_math_max,.192707884463895,.0806800901463993,.101333834077133,.670483916946446,stata_areg_centered_student_vce_unadjusted,146,556607
69,All,z_year_math_max,.714437354195104,.602409559877608,.0815033335333352,.758881752313911,stata_areg_centered_student_vce_unadjusted,157,556607
72,All,z_year_math_max,-1.48148964689896,-1.59351744121645,.77690657862051,.,stata_areg_centered_student_vce_unadjusted,1,556607
78,All,z_year_math_max,.025259590117718,-.086768204199778,.200566081189288,.528619728139475,stata_areg_centered_student_vce_unadjusted,22,556607
97,All,z_year_math_max,-.0124772668693816,-.124505061186878,.0699743449363822,.566621976006245,stata_areg_centered_student_vce_unadjusted,92,556607
103,All,z_year_math_max,-.029508675387454,-.14153646970495,.0838255096806159,.636383288469398,stata_areg_centered_student_vce_unadjusted,93,556607
106,All,z_year_math_max,-.1492682600167,-.261296054334197,.0795326623324762,.534537452841722,stata_areg_centered_student_vce_unadjusted,82,556607
107,All,z_year_math_max,-.0211073305722998,-.133135124889796,.0727327979414594,.586602357644961,stata_areg_centered_student_vce_unadjusted,88,556607
108,All,z_year_math_max,-.0560949581872364,-.168122752504732,.0648109173082019,.548920498078681,stata_areg_centered_student_vce_unadjusted,114,556607
109,All,z_year_math_max,-.162363582405452,-.274391376722948,.068505817344771,.548973325263473,stata_areg_centered_student_vce_unadjusted,101,556607
110,All,z_year_math_max,.0604088884301699,-.0516189058873261,.0747329774863528,.679288526823432,stata_areg_centered_student_vce_unadjusted,113,556607
124,All,z_year_math_max,-.126170762549412,-.238198556866908,.0440077455975426,.511966990997735,stata_areg_centered_student_vce_unadjusted,342,556607
125,All,z_year_math_max,.0683270570596831,-.0437007372578129,.0816002784458832,.572828032531817,stata_areg_centered_student_vce_unadjusted,100,556607
127,All,z_year_math_max,-.0255458182040896,-.137573612521586,.0612082182463842,.619891604563699,stata_areg_centered_student_vce_unadjusted,254,556607
129,All,z_year_math_max,.0307974038684363,-.0812303904490597,.17946530195084,.420654118827161,stata_areg_centered_student_vce_unadjusted,15,556607
130,All,z_year_math_max,.0629811905770057,-.0490466037404903,.0913796456719641,.538430940822069,stata_areg_centered_student_vce_unadjusted,88,556607
131,All,z_year_math_max,-.117862684235532,-.229890478553028,.109222931849696,.573356897007384,stata_areg_centered_student_vce_unadjusted,50,556607
132,All,z_year_math_max,.224551652137659,.112523857820163,.0435779707414296,.699474874191312,stata_areg_centered_student_vce_unadjusted,647,556607
133,All,z_year_math_max,.074205301159947,-.037822493157549,.0891409874292179,.702762786484077,stata_areg_centered_student_vce_unadjusted,142,556607
134,All,z_year_math_max,-.0212899492917593,-.133317743609255,.120815247358812,.482764967503257,stata_areg_centered_student_vce_unadjusted,41,556607
144,All,z_year_math_max,-.127017124152799,-.239044918470295,.099851170451507,.496505811080346,stata_areg_centered_student_vce_unadjusted,51,556607
161,All,z_year_math_max,-.00280511328176177,-.114832907599258,.143194392418079,.526035743966563,stata_areg_centered_student_vce_unadjusted,47,556607
178,All,z_year_math_max,-.00054686883212037,-.112574663149616,.210952306908003,.567187288531522,stata_areg_centered_student_vce_unadjusted,18,556607
191,All,z_year_math_max,.0112669400574479,-.100760854260048,.0629370624204728,.565456324669154,stata_areg_centered_student_vce_unadjusted,337,556607
199,All,z_year_math_max,-.0887281716183351,-.200755965935831,.0738432994293426,.562904692823777,stata_areg_centered_student_vce_unadjusted,254,556607
200,All,z_year_math_max,-.155592633463352,-.267620427780848,.078243121569562,.480951032595195,stata_areg_centered_student_vce_unadjusted,192,556607
208,All,z_year_math_max,-.092584477264919,-.204612271582415,.0686586065080524,.618173515925286,stata_areg_centered_student_vce_unadjusted,360,556607
211,All,z_year_math_max,.0796087600513129,-.0324190342661831,.116729745442176,.551046946557327,stata_areg_centered_student_vce_unadjusted,144,556607
217,All,z_year_math_max,.110407543056742,-.00162025126075388,.0345490988063474,.680525040896094,stata_areg_centered_student_vce_unadjusted,798,556607
218,All,z_year_math_max,-.055741567925317,-.167769362242813,.0795195968093028,.578685090294537,stata_areg_centered_student_vce_unadjusted,71,556607
219,All,z_year_math_max,-.0753660396163836,-.18739383393388,.0543521381002989,.577232171644053,stata_areg_centered_student_vce_unadjusted,184,556607
220,All,z_year_math_max,-.132463765068676,-.244491559386172,.0427198629557333,.574026462130674,stata_areg_centered_student_vce_unadjusted,386,556607
222,All,z_year_math_max,.026219111829848,-.085808682487648,.258762688362296,.409264826126268,stata_areg_centered_student_vce_unadjusted,6,556607
253,All,z_year_math_max,-.0801508844967987,-.192178678814295,.0681971654398109,.65352428461841,stata_areg_centered_student_vce_unadjusted,186,556607
254,All,z_year_math_max,-.0433668696336401,-.155394663951136,.0717190333630342,.514417687781752,stata_areg_centered_student_vce_unadjusted,132,556607
255,All,z_year_math_max,-.126995929672852,-.239023723990348,.0708273764085508,.602409958490868,stata_areg_centered_student_vce_unadjusted,137,556607
256,All,z_year_math_max,.0905936564121432,-.0214341379053528,.0585197181284282,.59300291113331,stata_areg_centered_student_vce_unadjusted,408,556607
257,All,z_year_math_max,.36390865621709,.251880861899594,.0766070456492543,.677100718945705,stata_areg_centered_student_vce_unadjusted,197,556607
270,All,z_year_math_max,.178349832187039,.0663220378695433,.144997298729312,.525218292854,stata_areg_centered_student_vce_unadjusted,40,556607
279,All,z_year_math_max,-.115343076997351,-.227370871314847,.0390642301742997,.555939677657297,stata_areg_centered_student_vce_unadjusted,406,556607
280,All,z_year_math_max,-.041135927253059,-.153163721570555,.0399835284478883,.573334223527382,stata_areg_centered_student_vce_unadjusted,387,556607
283,All,z_year_math_max,-.0370016912969328,-.149029485614429,.0391825325224744,.538976823917472,stata_areg_centered_student_vce_unadjusted,401,556607
284,All,z_year_math_max,.201680893957699,.0896530996402032,.101744448097046,.517659268202087,stata_areg_centered_student_vce_unadjusted,48,556607
285,All,z_year_math_max,.0198616371146979,-.0921661572027981,.0690866448908071,.517405615721922,stata_areg_centered_student_vce_unadjusted,110,556607
