school_rbd,analysis_sample,outcome,va_raw,va_centered,va_se,va_resid_sd,va_se_method,n_students,n_total
1,All,program_certified_years_m1,0,.221078892820145,.204077929145299,1.79209686967038,stata_areg_centered_student_vce_unadjusted,125,565229
3,All,program_certified_years_m1,.253548920493391,.474627813313536,1.43646112289441,.0223131641480635,stata_areg_centered_student_vce_unadjusted,2,565229
4,All,program_certified_years_m1,-.421804862553432,-.200725969733288,.111615464578078,1.80792206761663,stata_areg_centered_student_vce_unadjusted,795,565229
5,All,program_certified_years_m1,-.160930878160387,.0601480146597574,.14162167329535,1.98695609055014,stata_areg_centered_student_vce_unadjusted,372,565229
7,All,program_certified_years_m1,-.400784251229618,-.179705358409474,.132745021769863,1.41260601142266,stata_areg_centered_student_vce_unadjusted,449,565229
8,All,program_certified_years_m1,-.594796687301193,-.373717794481049,.23385481460743,1.15593603287746,stata_areg_centered_student_vce_unadjusted,106,565229
15,All,program_certified_years_m1,-.697890696554453,-.476811803734308,.317917053360121,1.66042296444417,stata_areg_centered_student_vce_unadjusted,63,565229
25,All,program_certified_years_m1,-.142693931154251,.0783849616658936,.262066455158345,1.56804519868094,stata_areg_centered_student_vce_unadjusted,85,565229
28,All,program_certified_years_m1,-.383686585558077,-.162607692737932,1.43407166441476,.382166343296485,stata_areg_centered_student_vce_unadjusted,2,565229
32,All,program_certified_years_m1,-.364567275103036,-.143488382282891,.42195151200218,1.48343410123498,stata_areg_centered_student_vce_unadjusted,47,565229
45,All,program_certified_years_m1,-.292779014918904,-.0717001220987591,.187851837423681,1.94529767606819,stata_areg_centered_student_vce_unadjusted,208,565229
50,All,program_certified_years_m1,-.549386289122858,-.328307396302713,.308156984861834,1.83000777612514,stata_areg_centered_student_vce_unadjusted,179,565229
52,All,program_certified_years_m1,-.50200154728993,-.280922654469785,.110753046560069,1.53065682520514,stata_areg_centered_student_vce_unadjusted,1055,565229
56,All,program_certified_years_m1,-.23032142483542,-.00924253201527556,.204061385051665,2.06427137888076,stata_areg_centered_student_vce_unadjusted,269,565229
59,All,program_certified_years_m1,-.0560401644067547,.16503872841339,.2524895661286,2.35027774609226,stata_areg_centered_student_vce_unadjusted,127,565229
60,All,program_certified_years_m1,-.42252781125477,-.201448918434626,.202271151555548,2.00574794177238,stata_areg_centered_student_vce_unadjusted,245,565229
67,All,program_certified_years_m1,-.190925603523171,.0301532892969734,.324506215081017,1.75662786800032,stata_areg_centered_student_vce_unadjusted,148,565229
69,All,program_certified_years_m1,.0524285724458712,.273507465266016,.259390892129102,2.36101846458501,stata_areg_centered_student_vce_unadjusted,158,565229
72,All,program_certified_years_m1,-.754748416825438,-.533669524005293,2.48874902530483,.,stata_areg_centered_student_vce_unadjusted,1,565229
78,All,program_certified_years_m1,-.614556603439371,-.393477710619226,.633598451306891,.441602545310708,stata_areg_centered_student_vce_unadjusted,22,565229
97,All,program_certified_years_m1,-.475408439957737,-.254329547137593,.220665057441984,1.51130292398926,stata_areg_centered_student_vce_unadjusted,95,565229
103,All,program_certified_years_m1,-.667101572686871,-.446022679866726,.263331767940657,1.37036928348446,stata_areg_centered_student_vce_unadjusted,98,565229
106,All,program_certified_years_m1,-.850332017160931,-.629253124340786,.24507321466673,.896048911844968,stata_areg_centered_student_vce_unadjusted,89,565229
107,All,program_certified_years_m1,-.472506497117428,-.251427604297284,.22790106097599,1.81984269755519,stata_areg_centered_student_vce_unadjusted,92,565229
108,All,program_certified_years_m1,-.20039133390417,.0206875589159748,.203826137421049,1.84422580779731,stata_areg_centered_student_vce_unadjusted,119,565229
109,All,program_certified_years_m1,-.403146244074475,-.18206735125433,.215420660144338,1.59557997514149,stata_areg_centered_student_vce_unadjusted,105,565229
110,All,program_certified_years_m1,-.771014322169201,-.549935429349056,.23688634086671,1.43231821759291,stata_areg_centered_student_vce_unadjusted,115,565229
124,All,program_certified_years_m1,-.707904207972038,-.486825315151893,.138228588244292,1.12705656218687,stata_areg_centered_student_vce_unadjusted,359,565229
125,All,program_certified_years_m1,-.498771491312161,-.277692598492017,.25953711232648,1.56358894973961,stata_areg_centered_student_vce_unadjusted,101,565229
127,All,program_certified_years_m1,-.446776578804275,-.22569768598413,.192806531061852,1.91987829611005,stata_areg_centered_student_vce_unadjusted,258,565229
129,All,program_certified_years_m1,-.57998891400576,-.358910021185616,.57524660589101,1.31460420999007,stata_areg_centered_student_vce_unadjusted,15,565229
130,All,program_certified_years_m1,-.865897379549981,-.644818486729836,.291592208926369,1.4092290933805,stata_areg_centered_student_vce_unadjusted,88,565229
131,All,program_certified_years_m1,-1.01463871008398,-.79355981726384,.345108121575593,.925333975099363,stata_areg_centered_student_vce_unadjusted,51,565229
132,All,program_certified_years_m1,-.254187205897774,-.0331083130776297,.138953983551379,2.09596330001793,stata_areg_centered_student_vce_unadjusted,652,565229
