school_rbd,analysis_sample,outcome,va_raw,va_centered,va_se,va_resid_sd,va_se_method,n_students,n_total
1,All,log_program_income_clp_m1,0,.0224660068445437,.0563545388673938,.559736806330178,stata_areg_centered_student_vce_unadjusted,125,565432
3,All,log_program_income_clp_m1,-.720068645433437,-.697602638588893,.396667561874826,.0791474839500696,stata_areg_centered_student_vce_unadjusted,2,565432
4,All,log_program_income_clp_m1,.000354693912987882,.0228207007575316,.0308217610087196,.510120846922619,stata_areg_centered_student_vce_unadjusted,795,565432
5,All,log_program_income_clp_m1,.0167838838312532,.0392498906757969,.0391076798420184,.509100241119801,stata_areg_centered_student_vce_unadjusted,372,565432
7,All,log_program_income_clp_m1,-.0590590726861417,-.036593065841598,.0366565183545649,.568243769091816,stata_areg_centered_student_vce_unadjusted,449,565432
8,All,log_program_income_clp_m1,-.067380676360404,-.0449146695158603,.0645771969423305,.571334391618131,stata_areg_centered_student_vce_unadjusted,106,565432
15,All,log_program_income_clp_m1,-.204256283692693,-.181790276848149,.0877903262424489,.553736061942046,stata_areg_centered_student_vce_unadjusted,63,565432
25,All,log_program_income_clp_m1,.0594208953492083,.081886902193752,.0723676143634236,.539387607074502,stata_areg_centered_student_vce_unadjusted,85,565432
28,All,log_program_income_clp_m1,-.448059711024396,-.425593704179853,.396007737227563,1.11087077683133,stata_areg_centered_student_vce_unadjusted,2,565432
32,All,log_program_income_clp_m1,.117708570147234,.140174576991778,.116518623729725,.536182309782937,stata_areg_centered_student_vce_unadjusted,47,565432
45,All,log_program_income_clp_m1,.0135273576186241,.0359933644631678,.0518738408178613,.507329047119383,stata_areg_centered_student_vce_unadjusted,208,565432
50,All,log_program_income_clp_m1,-.0559089726710044,-.0334429658264607,.0850951577133888,.515612238839068,stata_areg_centered_student_vce_unadjusted,179,565432
52,All,log_program_income_clp_m1,-.0586289339789369,-.0361629271343931,.0305836020887279,.556004652847936,stata_areg_centered_student_vce_unadjusted,1055,565432
56,All,log_program_income_clp_m1,.119672449318405,.142138456162949,.0563499717747328,.547962022198458,stata_areg_centered_student_vce_unadjusted,269,565432
59,All,log_program_income_clp_m1,-.0356365599692999,-.0131705531247562,.0697229552325065,.642496842768692,stata_areg_centered_student_vce_unadjusted,127,565432
60,All,log_program_income_clp_m1,-.0926417790456353,-.0701757722010916,.0558556190782728,.560117032371214,stata_areg_centered_student_vce_unadjusted,245,565432
67,All,log_program_income_clp_m1,.152361546858625,.174827553703169,.0896098888436723,.524124638414379,stata_areg_centered_student_vce_unadjusted,148,565432
69,All,log_program_income_clp_m1,.101973787752753,.124439794597297,.0716287238285783,.591209308409019,stata_areg_centered_student_vce_unadjusted,158,565432
72,All,log_program_income_clp_m1,-.290830739323405,-.268364732478861,.687248680186675,.,stata_areg_centered_student_vce_unadjusted,1,565432
