school_rbd,analysis_sample,outcome,va_raw,va_centered,va_se,va_resid_sd,va_se_method,n_students,n_total
1,All,log_program_income_area_clp_m1,0,.00432706592698327,.0430753597841097,.443421960402727,stata_areg_centered_student_vce_unadjusted,125,565432
3,All,log_program_income_area_clp_m1,-.446178214068084,-.441851148141101,.303198256712732,.0419894048006812,stata_areg_centered_student_vce_unadjusted,2,565432
4,All,log_program_income_area_clp_m1,.036286587083932,.0406136530109152,.0235590330666091,.428578032853596,stata_areg_centered_student_vce_unadjusted,795,565432
5,All,log_program_income_area_clp_m1,.049202518382519,.0535295843095022,.0298924880475139,.418715690614684,stata_areg_centered_student_vce_unadjusted,372,565432
7,All,log_program_income_area_clp_m1,-.0494227475157312,-.0450956815887479,.0280189093600993,.445510614843275,stata_areg_centered_student_vce_unadjusted,449,565432
8,All,log_program_income_area_clp_m1,-.0367897512475168,-.0324626853205335,.0493604605422413,.44188631479141,stata_areg_centered_student_vce_unadjusted,106,565432
15,All,log_program_income_area_clp_m1,-.173748793705692,-.169421727778709,.0671037322717914,.402921757485757,stata_areg_centered_student_vce_unadjusted,63,565432
25,All,log_program_income_area_clp_m1,.0579057839401829,.0622328498671662,.0553151722660231,.418980907581052,stata_areg_centered_student_vce_unadjusted,85,565432
28,All,log_program_income_area_clp_m1,-.285404654626589,-.281077588699606,.302693910751494,.836344647086103,stata_areg_centered_student_vce_unadjusted,2,565432
32,All,log_program_income_area_clp_m1,.0835200183444782,.0878470842714615,.0890625979660212,.452165290148644,stata_areg_centered_student_vce_unadjusted,47,565432
45,All,log_program_income_area_clp_m1,.0548742367279117,.0592013026548949,.0396504771669043,.421910796776338,stata_areg_centered_student_vce_unadjusted,208,565432
50,All,log_program_income_area_clp_m1,-.0342325404041875,-.0299054744772043,.0650436434767919,.415374663919873,stata_areg_centered_student_vce_unadjusted,179,565432
52,All,log_program_income_area_clp_m1,-.0256740670218071,-.0213470010948239,.0233769930504788,.440761206710371,stata_areg_centered_student_vce_unadjusted,1055,565432
56,All,log_program_income_area_clp_m1,.114953580386146,.119280646313129,.0430718688645938,.435015334580346,stata_areg_centered_student_vce_unadjusted,269,565432
59,All,log_program_income_area_clp_m1,.00713595840251008,.0114630243294933,.0532936910178376,.494495736188179,stata_areg_centered_student_vce_unadjusted,127,565432
60,All,log_program_income_area_clp_m1,-.0453167133332414,-.0409896474062582,.0426940036440058,.44671910042013,stata_areg_centered_student_vce_unadjusted,245,565432
