school_rbd,analysis_sample,outcome,va_raw,va_centered,va_se,va_resid_sd,va_se_method,n_students,n_total
1,All,log_program_income_full_clp_m1,0,-.106991917364496,.029240336751337,.424286342022565,stata_areg_centered_student_vce_unadjusted,321,757999
3,All,log_program_income_full_clp_m1,-.279628709694707,-.386620627059203,.179011796557594,.195812836664674,stata_areg_centered_student_vce_unadjusted,6,757999
4,All,log_program_income_full_clp_m1,.17342406552429,.0664321481597943,.0217549488288008,.430188055163222,stata_areg_centered_student_vce_unadjusted,849,757999
5,All,log_program_income_full_clp_m1,.151769223122958,.0447773057584625,.0275834357966129,.432000342727318,stata_areg_centered_student_vce_unadjusted,429,757999
7,All,log_program_income_full_clp_m1,.0513772008008462,-.0556147165636496,.023187950277861,.449318168105758,stata_areg_centered_student_vce_unadjusted,731,757999
8,All,log_program_income_full_clp_m1,.0701672255288151,-.0368246918356806,.0409495286080105,.430043726394058,stata_areg_centered_student_vce_unadjusted,167,757999
15,All,log_program_income_full_clp_m1,.0287171128303344,-.0782748045341614,.0583962018598617,.405665402532713,stata_areg_centered_student_vce_unadjusted,85,757999
22,All,log_program_income_full_clp_m1,-.430767362972913,-.537759280337409,.436923772390609,.,stata_areg_centered_student_vce_unadjusted,1,757999
25,All,log_program_income_full_clp_m1,.185699561855472,.0787076444909761,.0493948667203195,.421597507087935,stata_areg_centered_student_vce_unadjusted,107,757999
28,All,log_program_income_full_clp_m1,-.129966466636769,-.236958384001265,.087632367854421,.310767992202489,stata_areg_centered_student_vce_unadjusted,26,757999
32,All,log_program_income_full_clp_m1,.0937546549126387,-.0132372624518571,.0724649875234792,.508238967389526,stata_areg_centered_student_vce_unadjusted,72,757999
45,All,log_program_income_full_clp_m1,.167922555157111,.0609306377926154,.0381617716204896,.419739703681926,stata_areg_centered_student_vce_unadjusted,227,757999
50,All,log_program_income_full_clp_m1,.130187274512067,.0231953571475709,.0626363177538011,.413025555970812,stata_areg_centered_student_vce_unadjusted,193,757999
52,All,log_program_income_full_clp_m1,.0983117012510883,-.00868021611340744,.0205812454159122,.435654357120232,stata_areg_centered_student_vce_unadjusted,1333,757999
56,All,log_program_income_full_clp_m1,.223753772647782,.116761855283286,.0420412448268934,.464829861582717,stata_areg_centered_student_vce_unadjusted,287,757999
59,All,log_program_income_full_clp_m1,.147113951503812,.0401220341393166,.0537780920392429,.508525553052653,stata_areg_centered_student_vce_unadjusted,131,757999
60,All,log_program_income_full_clp_m1,.133790299377674,.0267983820131781,.0418057979525863,.442291155155485,stata_areg_centered_student_vce_unadjusted,256,757999
67,All,log_program_income_full_clp_m1,.266499079083828,.159507161719333,.0677735390875682,.42617515550978,stata_areg_centered_student_vce_unadjusted,156,757999
69,All,log_program_income_full_clp_m1,.254535392568623,.147543475204127,.0544742126748331,.496462297971939,stata_areg_centered_student_vce_unadjusted,162,757999
72,All,log_program_income_full_clp_m1,-.267818141326394,-.374810058690889,.327686655257891,.0034811381563186,stata_areg_centered_student_vce_unadjusted,2,757999
78,All,log_program_income_full_clp_m1,.00303902635937635,-.103952891005119,.125446524469101,.528806849540944,stata_areg_centered_student_vce_unadjusted,25,757999
97,All,log_program_income_full_clp_m1,.114308927173373,.00731700980887695,.0340212244313253,.465107028348298,stata_areg_centered_student_vce_unadjusted,196,757999
103,All,log_program_income_full_clp_m1,.00753974690118242,-.0994521704633134,.0462004900567046,.437143078706427,stata_areg_centered_student_vce_unadjusted,138,757999
106,All,log_program_income_full_clp_m1,.0119635677326051,-.0950283496318907,.0305809779787434,.441998194549447,stata_areg_centered_student_vce_unadjusted,280,757999
107,All,log_program_income_full_clp_m1,.124639854884321,.0176479375198249,.0403842656904402,.5044535268031,stata_areg_centered_student_vce_unadjusted,135,757999
108,All,log_program_income_full_clp_m1,-.00955473477962579,-.116546652144122,.0301633648989101,.403613795086617,stata_areg_centered_student_vce_unadjusted,273,757999
109,All,log_program_income_full_clp_m1,.02662311714787,-.0803688002166257,.036276461654471,.422447106219776,stata_areg_centered_student_vce_unadjusted,176,757999
110,All,log_program_income_full_clp_m1,.0678965669734828,-.039095350391013,.0435438341545598,.473803625169916,stata_areg_centered_student_vce_unadjusted,159,757999
124,All,log_program_income_full_clp_m1,.0914703065077,-.0155216108567958,.0218002667061368,.496732480602946,stata_areg_centered_student_vce_unadjusted,753,757999
125,All,log_program_income_full_clp_m1,.172530056525366,.06553813916087,.0443249895128254,.492377631841508,stata_areg_centered_student_vce_unadjusted,140,757999
