school_rbd,analysis_sample,outcome,va_raw,va_centered,va_se,va_resid_sd,va_se_method,n_students,n_total
1,All,log_program_income_institution_clp_m1,0,.0324437416420215,.0372509493936943,.379987880976117,stata_areg_centered_student_vce_unadjusted,125,565432
3,All,log_program_income_institution_clp_m1,-.511648137530728,-.479204395888707,.262201476056592,.0741804016560056,stata_areg_centered_student_vce_unadjusted,2,565432
4,All,log_program_income_institution_clp_m1,.0252450697467853,.0576888113888068,.0203735117460903,.326928740868167,stata_areg_centered_student_vce_unadjusted,795,565432
5,All,log_program_income_institution_clp_m1,.0330404707226637,.0654842123646852,.025850592196802,.329497207184958,stata_areg_centered_student_vce_unadjusted,372,565432
7,All,log_program_income_institution_clp_m1,-.0383766375268565,-.00593289588483498,.0242303483910678,.375173156615018,stata_areg_centered_student_vce_unadjusted,449,565432
8,All,log_program_income_institution_clp_m1,.000680191952808107,.0331239335948296,.0426862138104944,.408492047535504,stata_areg_centered_student_vce_unadjusted,106,565432
15,All,log_program_income_institution_clp_m1,-.0803749737130324,-.0479312320710109,.0580303390967063,.411812326924977,stata_areg_centered_student_vce_unadjusted,63,565432
25,All,log_program_income_institution_clp_m1,.0640006189567802,.0964443605988017,.0478357625592075,.373365922372578,stata_areg_centered_student_vce_unadjusted,85,565432
28,All,log_program_income_institution_clp_m1,-.226608057345217,-.194164315703195,.261765324949017,.773829098321843,stata_areg_centered_student_vce_unadjusted,2,565432
32,All,log_program_income_institution_clp_m1,.139850926055174,.172294667697196,.0770200491958994,.334239924248121,stata_areg_centered_student_vce_unadjusted,47,565432
45,All,log_program_income_institution_clp_m1,.017268412523795,.0497121541658165,.0342891603409206,.326445899910058,stata_areg_centered_student_vce_unadjusted,208,565432
50,All,log_program_income_institution_clp_m1,-.0318782075808431,.000565534061178416,.0562488040420101,.351308295645451,stata_areg_centered_student_vce_unadjusted,179,565432
52,All,log_program_income_institution_clp_m1,-.0296116495787697,.00283209206325184,.0202160861676974,.373504867419405,stata_areg_centered_student_vce_unadjusted,1055,565432
56,All,log_program_income_institution_clp_m1,.0935787543301349,.126022495972156,.0372479304968847,.354090684703507,stata_areg_centered_student_vce_unadjusted,269,565432
59,All,log_program_income_institution_clp_m1,-.037363198776167,-.00491945713414552,.0460876147537366,.410651137648755,stata_areg_centered_student_vce_unadjusted,127,565432
60,All,log_program_income_institution_clp_m1,-.0473461512791451,-.0149024096371236,.036921158108208,.366458522213665,stata_areg_centered_student_vce_unadjusted,245,565432
67,All,log_program_income_institution_clp_m1,.146998768867089,.17944251050911,.0592330893230248,.315057926078144,stata_areg_centered_student_vce_unadjusted,148,565432
69,All,log_program_income_institution_clp_m1,.0427382328690953,.0751819745111168,.0473473480592543,.364954692949271,stata_areg_centered_student_vce_unadjusted,158,565432
