school_rbd,analysis_sample,outcome,va_raw,va_centered,va_se,va_resid_sd,va_se_method,n_students,n_total
1,All,stem_enrollment_m1,0,.16318838461966,.0407574348793869,.41750553576333,stata_areg_centered_student_vce_unadjusted,125,565432
3,All,stem_enrollment_m1,-.463751646060578,-.300563261440918,.286882878412346,.0839643634152548,stata_areg_centered_student_vce_unadjusted,2,565432
4,All,stem_enrollment_m1,-.155591478294504,.00759690632515633,.0222912997325179,.407298743628878,stata_areg_centered_student_vce_unadjusted,795,565432
5,All,stem_enrollment_m1,-.170733800192203,-.00754541557254343,.0282839456498012,.392521412865749,stata_areg_centered_student_vce_unadjusted,372,565432
7,All,stem_enrollment_m1,-.0646872329853528,.0985011516343071,.0265111859624436,.440489004939584,stata_areg_centered_student_vce_unadjusted,449,565432
8,All,stem_enrollment_m1,-.189090400897182,-.0259020162775218,.046704328559296,.42249000534536,stata_areg_centered_student_vce_unadjusted,106,565432
15,All,stem_enrollment_m1,-.249662162012926,-.0864737773932661,.0634928184451351,.349991419563971,stata_areg_centered_student_vce_unadjusted,63,565432
25,All,stem_enrollment_m1,-.127276139630118,.035912244989542,.0523386117440203,.417480812345843,stata_areg_centered_student_vce_unadjusted,85,565432
28,All,stem_enrollment_m1,-.584810539959429,-.42162215533977,.286405671773216,.155554531340618,stata_areg_centered_student_vce_unadjusted,2,565432
32,All,stem_enrollment_m1,-.0409977939595064,.122190590660153,.0842700572898801,.382749455723375,stata_areg_centered_student_vce_unadjusted,47,565432
45,All,stem_enrollment_m1,-.145793767604247,.0173946170154128,.0375168483598569,.349775312319476,stata_areg_centered_student_vce_unadjusted,208,565432
50,All,stem_enrollment_m1,-.182155232405923,-.0189668477862629,.061543584931387,.403541683445043,stata_areg_centered_student_vce_unadjusted,179,565432
52,All,stem_enrollment_m1,-.185813598365753,-.0226252137460928,.0221190554578316,.401260569188901,stata_areg_centered_student_vce_unadjusted,1055,565432
56,All,stem_enrollment_m1,-.0467849793816577,.116403405238002,.0407541318094752,.430345001174441,stata_areg_centered_student_vce_unadjusted,269,565432
59,All,stem_enrollment_m1,-.223131033248327,-.0599426486286673,.0504259082693247,.424112260643906,stata_areg_centered_student_vce_unadjusted,127,565432
60,All,stem_enrollment_m1,-.127131000184219,.0360573844354409,.040396599865494,.388367148350529,stata_areg_centered_student_vce_unadjusted,245,565432
67,All,stem_enrollment_m1,-.110487698710587,.0527006859090734,.064808785281504,.451230738659256,stata_areg_centered_student_vce_unadjusted,148,565432
69,All,stem_enrollment_m1,-.0641750503971265,.0990133342225334,.0518042220841596,.465095778166014,stata_areg_centered_student_vce_unadjusted,158,565432
72,All,stem_enrollment_m1,.427298037028977,.590486421648637,.497040591434235,.,stata_areg_centered_student_vce_unadjusted,1,565432
78,All,stem_enrollment_m1,-.27962725775446,-.1164388731348,.126539138307562,.454916653832628,stata_areg_centered_student_vce_unadjusted,22,565432
97,All,stem_enrollment_m1,-.174822892829252,-.0116345082095918,.0440701117100586,.394915760489309,stata_areg_centered_student_vce_unadjusted,95,565432
103,All,stem_enrollment_m1,-.162909865302917,.00027851931674297,.0525912811738105,.368091016267463,stata_areg_centered_student_vce_unadjusted,98,565432
106,All,stem_enrollment_m1,.0320983880990379,.195286772718698,.0489448046746655,.475802878412481,stata_areg_centered_student_vce_unadjusted,89,565432
107,All,stem_enrollment_m1,-.18876589418822,-.0255775095685605,.0455152420612587,.363495697548581,stata_areg_centered_student_vce_unadjusted,92,565432
108,All,stem_enrollment_m1,-.0631037455625804,.100084639057079,.0407071362781031,.387794101534741,stata_areg_centered_student_vce_unadjusted,119,565432
109,All,stem_enrollment_m1,-.226828323779223,-.063639939159563,.0430227350573122,.295659501644473,stata_areg_centered_student_vce_unadjusted,105,565432
110,All,stem_enrollment_m1,-.130799779060897,.0323886055587632,.0473097068301043,.420278243177398,stata_areg_centered_student_vce_unadjusted,115,565432
124,All,stem_enrollment_m1,-.0559814415013977,.107206943118262,.0276063121441891,.429680119917881,stata_areg_centered_student_vce_unadjusted,359,565432
