outcome_key,outcome,prep_seconds,va_seconds,eb_seconds,total_seconds,n_obs,n_schools
math,z_year_math_max,0,305.46,0.399,307.684,561977,3373
language,z_year_leng_max,0,294.232,0.276,295.391,569047,3381
exam,admission_exam_taker,0,386.559,0.575,388.114,757999,3682
enrolled,higher_ed_enrolled_m1,0,684.144,0.77,685.802,757456,3685
stem,stem_enrollment_m1,0,390.459,0.366,391.995,757999,3682
highpay,high_paying_field_m1,0,417.244,1.349,421.256,715740,3680
highinst,high_inst_m1,135.11,373.17,0.343,510.215,757999,3682
program_income_area,log_program_income_area_clp_m1,0,428.894,0.889,430.727,565432,3375
program_income_institution,log_program_income_institution_clp_m1,0,371.198,0.728,373.162,565432,3375
program_income_full,log_program_income_full_clp_m1,0,403.338,1.128,406.492,757999,3682
progcert,program_certified_years_m1,0,464.45,0.476,465.336,565229,3375
instcert,inst_certified_years_m1,0,474.007,0.474,474.89,565432,3375
