outcome_label,rank,school_rbd,school_name,comuna_name,region_name,dependency_detail_label,dependency_group_label,private_paid,eb_va,original_va,eb_reliability,n_students_regression,n_total,controlled_value_added_se,outcome
Math,1,9237,INSTITUTO HEBREO DR CHAIM WEIZMANN-ORT,LO BARNECHEA,RM,Particular Pagado,Particular Pagado,TRUE,1.18880935752415,1.7087138,0.692737166460876,264,556607,0.16460736,z_year_math_max
Math,2,8991,COLEGIO PADRE HURTADO Y JUANITA DE LOS ANDES,LAS CONDES,RM,Particular Pagado,Particular Pagado,TRUE,0.997348802713,1.1450684,0.866523759047164,414,556607,0.09700413,z_year_math_max
Math,3,8902,COLEGIO CORDILLERA DE LAS CONDES,LAS CONDES,RM,Particular Pagado,Particular Pagado,TRUE,0.978088707089017,1.3193964,0.737434861938066,239,556607,0.1474807,z_year_math_max
Math,4,8904,COLEGIO SANTA URSULA,VITACURA,RM,Particular Pagado,Particular Pagado,TRUE,0.956448396390357,1.2224121,0.778238833558779,189,556607,0.13193645,z_year_math_max
Math,5,8871,COLEGIO LOS ANDES DE VITACURA,VITACURA,RM,Particular Pagado,Particular Pagado,TRUE,0.950209512912908,1.2309756,0.767756622658416,229,556607,0.13593721,z_year_math_max
Math,6,8972,COLEGIO SAN BENITO,VITACURA,RM,Particular Pagado,Particular Pagado,TRUE,0.947446421125372,1.0787301,0.873551774732803,386,556607,0.094035216,z_year_math_max
Math,7,9046,COLEGIO THE GRANGE SCHOOL,LA REINA,RM,Particular Pagado,Particular Pagado,TRUE,0.937253172767785,1.2210205,0.763405185206526,467,556607,0.13759528,z_year_math_max
Math,8,8953,COLEGIO HUELEN,VITACURA,RM,Particular Pagado,Particular Pagado,TRUE,0.932993864850543,1.0710131,0.866351726843746,197,556607,0.09707626,z_year_math_max
Math,9,8906,COLEGIO SAINT GEORGE S COLLEGE,VITACURA,RM,Particular Pagado,Particular Pagado,TRUE,0.905904102559905,1.0706737,0.84132474423192,668,556607,0.10733745,z_year_math_max
Math,10,16453,COLEGIO ALBORADA,LINARES,MAULE,Particular Pagado,Particular Pagado,TRUE,0.900816598810431,1.0756092,0.8327343895825,105,556607,0.11077163,z_year_math_max
Math,11,24624,COLEGIO TABOR Y NAZARETH,LO BARNECHEA,RM,Particular Pagado,Particular Pagado,TRUE,0.879395178246009,1.0804658,0.809165233323088,457,556607,0.12002967,z_year_math_max
Math,12,4688,CHARLES DE GAULLE,CONCEPCIÓN,BBIO,Particular Pagado,Particular Pagado,TRUE,0.869910974407287,1.2179775,0.710022258411154,235,556607,0.15795189,z_year_math_max
Math,13,22144,COLEGIO PUERTO VARAS,PUERTO VARAS,LAGOS,Particular Pagado,Particular Pagado,TRUE,0.858594884964622,1.0348268,0.824751639003023,177,556607,0.11393151,z_year_math_max
Math,14,8873,COLEGIO VILLA MARIA ACADEMY,LAS CONDES,RM,Particular Pagado,Particular Pagado,TRUE,0.85782766196488,1.1473078,0.743225030123464,426,556607,0.14527626,z_year_math_max
Math,15,24979,COLEGIO LOS ALERCES,LO BARNECHEA,RM,Particular Pagado,Particular Pagado,TRUE,0.852423435312636,1.0702333,0.791699882071291,247,556607,0.12677772,z_year_math_max
Math,16,7414,LICEO ALIANZA FRANCESA CLAUDE GAY,OSORNO,LAGOS,Particular Pagado,Particular Pagado,TRUE,0.840416300789871,1.0798411,0.773536448982272,129,556607,0.13373259,z_year_math_max
Math,17,8867,COLEGIO SAN FRANCISCO DE ASIS,LAS CONDES,RM,Particular Pagado,Particular Pagado,TRUE,0.809109206433418,0.90619314,0.887216368337189,226,556607,0.088122487,z_year_math_max
Math,18,8878,COLEGIO DEL SAGRADO CORAZON DE APOQUINDO,LAS CONDES,RM,Particular Pagado,Particular Pagado,TRUE,0.807533311475875,0.90677381,0.884910309761753,250,556607,0.089134753,z_year_math_max
Math,19,361,COL. THE ANTOFAGASTA BRITISH SCHOOL,ANTOFAGASTA,ANTOF,Particular Pagado,Particular Pagado,TRUE,0.802201469249807,0.88880014,0.896806388019738,200,556607,0.083840825,z_year_math_max
Math,20,11968,COLEGIO CUMBRES,LAS CONDES,RM,Particular Pagado,Particular Pagado,TRUE,0.795446157484998,0.89559525,0.882459272762161,457,556607,0.090203904,z_year_math_max
Math,21,8995,COLEGIO SANTIAGO COLLEGE,LO BARNECHEA,RM,Particular Pagado,Particular Pagado,TRUE,0.792250005473666,1.0014729,0.785972485053959,411,556607,0.12897621,z_year_math_max
Math,22,25654,COLEGIO EVEREST,LO BARNECHEA,RM,Particular Pagado,Particular Pagado,TRUE,0.787473123580363,0.92677635,0.844166234607252,531,556607,0.10619285,z_year_math_max
Math,23,5266,COLEGIO SAN JOSE,ANGOL,ARAUC,Particular Pagado,Particular Pagado,TRUE,0.784533432076128,0.99533999,0.783062690044669,106,556607,0.13009103,z_year_math_max
Math,24,12036,COLEGIO PINARES,CHIGUAYANTE,BBIO,Particular Pagado,Particular Pagado,TRUE,0.780497331203669,1.071808,0.723429497653788,66,556607,0.15282109,z_year_math_max
Math,25,2789,ALIANZA FRANCESA JEAN MERMOZ,CURICÓ,MAULE,Particular Pagado,Particular Pagado,TRUE,0.77476365886846,1.1552734,0.666200582151236,148,556607,0.17495194,z_year_math_max
Math,26,8903,COLEGIO LINCOLN INTERNATIONAL ACADEMY,LO BARNECHEA,RM,Particular Pagado,Particular Pagado,TRUE,0.752202308841178,1.0418206,0.717093186745885,89,556607,0.15524313,z_year_math_max
Math,27,8917,COLEGIO CRAIGHOUSE,LO BARNECHEA,RM,Particular Pagado,Particular Pagado,TRUE,0.751234404614092,0.92496467,0.806641171800321,303,556607,0.12100973,z_year_math_max
Math,28,24314,COLEGIO CRUZ DEL SUR,PUNTA ARENAS,MAG,Particular Pagado,Particular Pagado,TRUE,0.743722844041825,0.89697045,0.82344186595717,66,556607,0.11444739,z_year_math_max
Math,29,25669,COLEGIO HIGHLANDS,COLINA,RM,Particular Pagado,Particular Pagado,TRUE,0.742002886660745,0.85297459,0.86389802216074,181,556607,0.098102361,z_year_math_max
Math,30,25329,COLEGIO SANTA CRUZ DE CHICUREO,COLINA,RM,Particular Pagado,Particular Pagado,TRUE,0.739501949175813,0.8438589,0.870266497073466,278,556607,0.095428571,z_year_math_max
Verbal,1,25961,COLEGIO PALMARES,QUILICURA,RM,Particular Subvencionado,Particular Subvencionado,FALSE,0.622302325004013,0.67859846,0.90981508008031,409,563429,0.054088309,z_year_leng_max
Verbal,2,8903,COLEGIO LINCOLN INTERNATIONAL ACADEMY,LO BARNECHEA,RM,Particular Pagado,Particular Pagado,TRUE,0.602528854773534,1.0562085,0.565821663200756,90,563429,0.15048988,z_year_leng_max
Verbal,3,9237,INSTITUTO HEBREO DR CHAIM WEIZMANN-ORT,LO BARNECHEA,RM,Particular Pagado,Particular Pagado,TRUE,0.554235647373938,1.0746336,0.511181149286012,264,563429,0.16799624,z_year_leng_max
Verbal,4,16453,COLEGIO ALBORADA,LINARES,MAULE,Particular Pagado,Particular Pagado,TRUE,0.539940476340968,0.76117074,0.702913597756619,106,563429,0.11168721,z_year_leng_max
Verbal,5,8953,COLEGIO HUELEN,VITACURA,RM,Particular Pagado,Particular Pagado,TRUE,0.538156057824928,0.71084142,0.750171325549661,198,563429,0.099141143,z_year_leng_max
Verbal,6,8904,COLEGIO SANTA URSULA,VITACURA,RM,Particular Pagado,Particular Pagado,TRUE,0.503264193988693,0.80485088,0.619196672469079,189,563429,0.13472527,z_year_leng_max
Verbal,7,2194,INSTITUTO INGLES RANCAGUA,RANCAGUA,LGBO,Particular Pagado,Particular Pagado,TRUE,0.496126370209907,0.7016142,0.700132864931687,277,563429,0.1124313,z_year_leng_max
Verbal,8,8966,COLEGIO SAINT GABRIEL´S SCHOOL LOCAL SEDE,PROVIDENCIA,RM,Particular Pagado,Particular Pagado,TRUE,0.465931093451099,0.55745411,0.827023922323644,422,563429,0.078568235,z_year_leng_max
Verbal,9,8867,COLEGIO SAN FRANCISCO DE ASIS,LAS CONDES,RM,Particular Pagado,Particular Pagado,TRUE,0.464118671829209,0.58510607,0.784841385266491,227,563429,0.089950055,z_year_leng_max
Verbal,10,366,HRVATSKA SKOLA S. ESTEBAN (EX-J. SKOLA),ANTOFAGASTA,ANTOF,Particular Pagado,Particular Pagado,TRUE,0.464071038044583,0.52378345,0.876636771468866,224,563429,0.06444601,z_year_leng_max
Verbal,11,9071,LICEO AUGUSTO D HALMAR,ÑUÑOA,RM,Corporacion Municipal,Municipal,FALSE,0.461233464760993,0.49345598,0.924763863777904,399,563429,0.049001664,z_year_leng_max
Verbal,12,361,COL. THE ANTOFAGASTA BRITISH SCHOOL,ANTOFAGASTA,ANTOF,Particular Pagado,Particular Pagado,TRUE,0.459265035054298,0.5669958,0.801349544163432,200,563429,0.085535578,z_year_leng_max
Verbal,13,25329,COLEGIO SANTA CRUZ DE CHICUREO,COLINA,RM,Particular Pagado,Particular Pagado,TRUE,0.458831175299496,0.59979856,0.756800692630943,279,563429,0.097387545,z_year_leng_max
Verbal,14,26238,COLEGIO DEL VERBO DIVINO DE CHICUREO,COLINA,RM,Particular Pagado,Particular Pagado,TRUE,0.447997728598057,0.54272223,0.816429654954485,201,563429,0.081461966,z_year_leng_max
Verbal,15,1788,THE MACKAY SCHOOL,VIÑA DEL MAR,VALPO,Particular Pagado,Particular Pagado,TRUE,0.446724690372983,0.63712943,0.693456404308557,209,563429,0.11422195,z_year_leng_max
Verbal,16,8885,COLEGIO REDLAND SCHOOL,LAS CONDES,RM,Particular Pagado,Particular Pagado,TRUE,0.444451072502374,0.68781298,0.639051418337871,189,563429,0.12911235,z_year_leng_max
Verbal,17,1776,SAINT PETER´S SCHOOL,VIÑA DEL MAR,VALPO,Particular Pagado,Particular Pagado,TRUE,0.444367795635465,0.62622231,0.701770884491284,75,563429,0.11199287,z_year_leng_max
Verbal,18,15521,COLEGIO INGLES SAINT JOHN,RANCAGUA,LGBO,Particular Pagado,Particular Pagado,TRUE,0.433270999949723,0.53217208,0.804942242173634,198,563429,0.084569208,z_year_leng_max
Verbal,19,24314,COLEGIO CRUZ DEL SUR,PUNTA ARENAS,MAG,Particular Pagado,Particular Pagado,TRUE,0.432046201202334,0.62457377,0.683895184375452,66,563429,0.11679757,z_year_leng_max
Verbal,20,8822,LICEO JUAN PABLO II DE LAS CONDES,LAS CONDES,RM,Corporacion Municipal,Municipal,FALSE,0.424185281908173,0.51083213,0.820782497786431,119,563429,0.080276638,z_year_leng_max
Verbal,21,9249,COLEGIO SAINT GASPAR COLLEGE,ÑUÑOA,RM,Particular Pagado,Particular Pagado,TRUE,0.424065874201114,0.59043396,0.709923033685636,188,563429,0.10981559,z_year_leng_max
Verbal,22,9051,COLEGIO ANDREE ENGLISH SCHOOL,LA REINA,RM,Particular Pagado,Particular Pagado,TRUE,0.421377265106955,0.56132239,0.741951616783563,488,563429,0.10131548,z_year_leng_max
Verbal,23,7435,COLEGIO ALEMAN,PUERTO VARAS,LAGOS,Particular Pagado,Particular Pagado,TRUE,0.416413353605973,0.58735406,0.700616832840579,188,563429,0.11230172,z_year_leng_max
Verbal,24,8972,COLEGIO SAN BENITO,VITACURA,RM,Particular Pagado,Particular Pagado,TRUE,0.414977441565051,0.53806973,0.762120990903177,386,563429,0.095979638,z_year_leng_max
Verbal,25,25055,COLEGIO INSTITUCION TERESIANA,LAS CONDES,RM,Particular Pagado,Particular Pagado,TRUE,0.413054687850023,0.53742296,0.759460448200782,316,563429,0.096683793,z_year_leng_max
Verbal,26,16604,INSTITUTO LATINOAMERICANO-EUROPEO DE,TALCA,MAULE,Particular Subvencionado,Particular Subvencionado,FALSE,0.410755472186183,0.50640094,0.801444524157132,63,563429,0.08551006,z_year_leng_max
Verbal,27,8991,COLEGIO PADRE HURTADO Y JUANITA DE LOS ANDES,LAS CONDES,RM,Particular Pagado,Particular Pagado,TRUE,0.405054185980295,0.53549016,0.747261126158806,414,563429,0.099910893,z_year_leng_max
Verbal,28,8871,COLEGIO LOS ANDES DE VITACURA,VITACURA,RM,Particular Pagado,Particular Pagado,TRUE,0.404917470523259,0.67287177,0.594488102691725,228,563429,0.1418872,z_year_leng_max
Verbal,29,12884,COL. INTERNACIONAL ANTOFAGASTA LTDA.,ANTOFAGASTA,ANTOF,Particular Pagado,Particular Pagado,TRUE,0.401745831501404,0.49733335,0.797940905652406,144,563429,0.086450368,z_year_leng_max
Verbal,30,25654,COLEGIO EVEREST,LO BARNECHEA,RM,Particular Pagado,Particular Pagado,TRUE,0.401480753920384,0.55452979,0.715160040657285,531,563429,0.10842061,z_year_leng_max
Program income,1,8978,COLEGIO DUNALASTAIR,LAS CONDES,RM,Particular Pagado,Particular Pagado,TRUE,0.225845844339509,0.45215625,0.493246120639268,345,565432,0.076810583,log_program_income_clp_m1
Program income,2,1631,"COLEGIO DE LOS SAGRADOS CORAZONES, PADRES FRANCESES",VIÑA DEL MAR,VALPO,Particular Pagado,Particular Pagado,TRUE,0.197866466598189,0.30522087,0.639028828509654,309,565432,0.056954809,log_program_income_clp_m1
Program income,3,1225,INSTITUTO CHACABUCO,LOS ANDES,VALPO,Particular Pagado,Particular Pagado,TRUE,0.181247852113727,0.25202098,0.707982003837853,376,565432,0.048668511,log_program_income_clp_m1
Program income,4,366,HRVATSKA SKOLA S. ESTEBAN (EX-J. SKOLA),ANTOFAGASTA,ANTOF,Particular Pagado,Particular Pagado,TRUE,0.175749364464714,0.26701459,0.647634394708099,224,565432,0.055896699,log_program_income_clp_m1
Program income,5,1783,COLEGIO BRITANICO ST. MARGARET`S S.A.,CONCÓN,VALPO,Particular Pagado,Particular Pagado,TRUE,0.172126458457382,0.39657143,0.42692165007633,214,565432,0.087798536,log_program_income_clp_m1
Program income,6,399,LICEO JOSÉ ANTONIO CARVAJAL,COPIAPÓ,ATCMA,Servicio Local de Educacion,Servicio Local de Educacion,FALSE,0.165158653604965,0.22275805,0.728759835758241,238,565432,0.046231624,log_program_income_clp_m1
Program income,7,361,COL. THE ANTOFAGASTA BRITISH SCHOOL,ANTOFAGASTA,ANTOF,Particular Pagado,Particular Pagado,TRUE,0.163654004505932,0.31499282,0.510590929364426,200,565432,0.074191444,log_program_income_clp_m1
Program income,8,25329,COLEGIO SANTA CRUZ DE CHICUREO,COLINA,RM,Particular Pagado,Particular Pagado,TRUE,0.160870744281894,0.35443592,0.445917597015761,279,565432,0.084472284,log_program_income_clp_m1
Program income,9,12830,LICEO DE ESTUDIOS CONTABLES Y ADMINISTR.,ANTOFAGASTA,ANTOF,Particular Subvencionado,Particular Subvencionado,FALSE,0.16046624488087,0.18950318,0.831884279299979,383,565432,0.034066465,log_program_income_clp_m1
Program income,10,437,ESCUELA TÉCNICO PROFESIONAL,COPIAPÓ,ATCMA,Particular Subvencionado,Particular Subvencionado,FALSE,0.160054472280224,0.18527918,0.848627167692849,886,565432,0.03200515,log_program_income_clp_m1
Program income,11,12864,COLEGIO UNIVERSITARIO ANTONIO RENDIC,ANTOFAGASTA,ANTOF,Particular Pagado,Particular Pagado,TRUE,0.157552936634522,0.27514923,0.562354503249218,151,565432,0.0668514,log_program_income_clp_m1
Program income,12,3015,COLEGIO PARTICULAR MONTESSORI,TALCA,MAULE,Particular Pagado,Particular Pagado,TRUE,0.155016893754628,0.28243026,0.538877678308794,234,565432,0.07009989,log_program_income_clp_m1
